name,url,category,brand,specifications,prices,image_links,features,needs
Màn hình Gaming LG UltraGear 24GS50F-B 24 inch,https://cellphones.com.vn/man-hinh-gaming-lg-ultragear-24gs50f-b-24-inch.html,màn hình,LG,"{'Kích thước thực tế (bao gồm viền)': '23.7 inches', 'Kiểu màn hình': 'Màn hình phẳng', 'Tấm nền': 'VA', 'Tỉ lệ màn hình': '16:9', 'Tần số quét': '180 Hz', 'Thời gian phản hồi': '1ms', 'Số lượng màu': '16.7 triệu màu', 'Độ phủ màu ': 'NTSC 72%', 'Độ sáng': '250 nits', 'Góc nhìn': '178º(R/L), 178º(U/D)', 'Độ tương phản động': '3000:1', 'Công nghệ màn hình': ['FreeSync', ' Tương thích G-SYNC', ' HDR 10', 'AMD FreeSync', ' Motion Blur Reduction Tech', 'Dynamic Action Sync'], 'Treo tường': '100 x 100 mm', 'Độ phân giải màn hình': '1920 x 1080 pixels', 'Cổng kết nối': 'HDMI 1.4, DisplayPort 1.4, Audio 3.5mm', 'Tính năng màn hình': 'Hạn chế ánh sáng xanh, Chống nháy, Chế độ tiết kiệm điện, AMD FreeSync', 'Công suất tiêu thụ': '18W', 'Kích thước': ['Có chân đế: 539.5 x 414.2 x 195.6 mm ', ' Không có chân đế: 539.5 x 322.2 x 39 mm'], 'Trọng lượng': ['Có chân đế: 3.55 kg', ' Không có chân đế: 2.95 kg']}","[{'color': 'default', 'price': 2490000}]","['https://cdn2.cellphones.com.vn/x/media/catalog/product/m/_/m_n_h_nh_gaming_lg_ultragear_24gs50f-b_24_inch.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-gaming-lg-ultragear-24gs50f-b-24-inch.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-gaming-lg-ultragear-24gs50f-b-24-inch_1_.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-gaming-lg-ultragear-24gs50f-b-24-inch_2_.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-gaming-lg-ultragear-24gs50f-b-24-inch_3_.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-gaming-lg-ultragear-24gs50f-b-24-inch_5_.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-gaming-lg-ultragear-24gs50f-b-24-inch_4_.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-gaming-lg-ultragear-24gs50f-b-24-inch_6_.png']","['Tốc độ làm mới 180Hz siêu nhanh cho phép bạn trải nghiệm hình ảnh mượt mà, không bị xé hình trong các trò chơi hành động nhanh.', 'Thời gian phản hồi 1ms (GTG) cho phép bạn phản ứng nhanh chóng với các chuyển động của đối thủ trong các trò chơi hành động.', 'Hỗ trợ HDR10 cho phép bạn trải nghiệm hình ảnh với dải màu rộng hơn và độ tương phản cao hơn.', 'Công nghệ AMD FreeSync Premium giúp loại bỏ hiện tượng xé hình và giật hình, cho phép bạn trải nghiệm hình ảnh mượt mà.']",['Gaming']
Màn hình Gaming ASUS TUF VG249Q3A 24 inch,https://cellphones.com.vn/man-hinh-gaming-asus-tuf-vg249q3a-24-inch.html,màn hình,ASUS,"{'Kích thước thực tế (bao gồm viền)': '24 inches', 'Kiểu màn hình': 'Màn hình phẳng', 'Tấm nền': 'IPS', 'Tỉ lệ màn hình': '16:9', 'Tần số quét': '180 Hz', 'Thời gian phản hồi': '1ms', 'Số lượng màu': '16. 7 triệu', 'Độ phủ màu ': '99% sRGB', 'Độ sáng': '250cd/㎡', 'Góc nhìn': '178°/ 178°', 'Độ tương phản tĩnh': '1000 : 1', 'Nghiêng': '+23° ~ -5°', 'Điều chỉnh độ cao': 'Không hỗ trợ', 'Treo tường': '100 x 100 mm', 'Độ phân giải màn hình': '1920 x 1080', 'Cổng kết nối': 'DisplayPort 1.2 x 1, HDMI (v2.0) x 2, Jack tai nghe', 'Hệ thống âm thanh': '2W x 2', 'Tính năng màn hình': 'Hạn chế ánh sáng xanh, Chống chói, Chế độ chơi game, Chống nháy, Chế độ tiết kiệm điện, AMD FreeSync Premium', 'Công suất tiêu thụ': ['Thông thường: <18W', 'Chế độ tiết kiệm điện: <0,5W'], 'Kích thước': ['Có chân đế : 541 x 394 x 174 mm', 'Không chân đế: 541 x 323 x 58 mm'], 'Trọng lượng': ['Có chân đế : 3.5 kg', 'Không chân đế: 2.9 kg']}","[{'color': 'default', 'price': 2990000}]","['https://cdn2.cellphones.com.vn/x/media/catalog/product/m/_/m_n_h_nh_gaming_asus_tuf_vg249q3a_24_inch_1.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-gaming-asus-tuf-vg249q3a-24-inch_6_.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-gaming-asus-tuf-vg249q3a-24-inch_3_.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-gaming-asus-tuf-vg249q3a-24-inch_4_.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-gaming-asus-tuf-vg249q3a-24-inch_2_.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-gaming-asus-tuf-vg249q3a-24-inch_5_.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-gaming-asus-tuf-vg249q3a-24-inch_1_.png']","['Kích thước 24 inch FullHD với tấm nền IPS cho góc nhìn rõ nét, sinh động', 'Trang bị tần số quét 180Hz khung hình chuyển động liền mạch, mượt mà', 'Tốc độ 1ms hỗ trợ chơi game mượt mà, ASUS ELMP giúp giảm bóng mờ', 'FreeSync Premium mang lại trải nghiệm game liền mạch, không bị xé hình']",['Gaming']
Màn hình Gaming ViewSonic VX2479 HD PRO 180HZ 24 inch,https://cellphones.com.vn/man-hinh-gaming-viewsonic-vx2479-hd-pro-180hz-24-inch.html,màn hình,ViewSonic,"{'Kích thước thực tế (bao gồm viền)': '24 inches', 'Kiểu màn hình': 'Màn hình phẳng', 'Độ phân giải màn hình': '1920 x 1080', 'Tấm nền': 'IPS', 'Tỉ lệ màn hình': '16:9', 'Tần số quét': '180 Hz', 'Thời gian phản hồi': '1ms', 'Số lượng màu': '16.7M', 'Độ phủ màu ': ['NTSC: 72% size (Typ) ', ' sRGB: 104% size (Typ)'], 'Độ sáng': '250 cd/m² (typ)', 'Góc nhìn': 'Ngang 178 độ, dọc 178 độ', 'Độ tương phản tĩnh': '1,000:1 (typ)', 'Độ tương phản động': '50M:1', 'Công nghệ màn hình': ['HDR10 ', 'FreeSync', 'Variable Refresh Rate'], 'Nghiêng': '-5º / 20º', 'Treo tường': '100 x 100 mm', 'Cổng kết nối': ['1x Đầu ra âm thanh 3,5 mm', ' 2x HDMI 1.4', ' 1x DisplayPort', ' 1x Cổng cắm nguồn DC Socket (Center Positive)'], 'Tính năng màn hình': 'Hạn chế ánh sáng xanh, Chống chói, Chế độ chơi game, Chống nháy, AMD FreeSync', 'Công suất tiêu thụ': ['Chế độ Eco (giữ nguyên): 17W', ' Eco Mode (optimized): 20W', ' Tiêu thụ (điển hình): 24W', ' Mức tiêu thụ (tối đa): 28W'], 'Kích thước': ['Có chân đế: 542 x 412 x 180 mm', 'Không chân đế: 542 x 323 x 44 mm'], 'Trọng lượng': ['Có chân đế: 3.2 kg', 'Không chân đế: 2.8 kg']}","[{'color': 'default', 'price': 2690000}]","['https://cdn2.cellphones.com.vn/x/media/catalog/product/m/_/m_n_h_nh_gaming_viewsonic_vx2479_hd_pro_180hz_24_inch.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7_60.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__5_38.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__5_41.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_1__4_58.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__4_37.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__5_41.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__2_38.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__2_32.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__4_32.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__4_30.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_10__4_13.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_11__5_24.png']","['Màn hình IPS 24-inch với độ phân giải Full HD 1920 x 1080 mang đến hình ảnh sắc nét và sống động, tạo cho bạn trải nghiệm xem tuyệt vời.', 'Hỗ trợ độ sâu màu 8 bit và gam màu rộng (NTSC: 72% và sRGB: 104%), màn hình cho ra màu sắc giàu sắc và chính xác, tạo nên hình ảnh và video chân thực.', 'Thời gian phản hồi 1ms và tốc độ làm mới cao 180Hz giảm thiểu hiện tượng mờ và trễ đầu vào, mang đến trải nghiệm chơi game mượt mà và liền mạch.', 'Trang bị nhiều tùy chọn kết nối bao gồm HDMI 1.4, DisplayPort và đầu ra âm thanh 3.5mm, màn hình cho phép kết nối dễ dàng với nhiều thiết bị.']",['Gaming']
Màn hình Gaming LG UltraGear 24GS60F-B 24 inch,https://cellphones.com.vn/man-hinh-gaming-lg-ultragear-24gs60f-b-24-inch.html,màn hình,LG,"{'Kích thước thực tế (bao gồm viền)': '23.8 inches', 'Kiểu màn hình': 'Màn hình phẳng', 'Tấm nền': 'IPS', 'Tỉ lệ màn hình': '16:9', 'Tần số quét': '180 Hz', 'Thời gian phản hồi': '1ms', 'Số lượng màu': '16.7 triệu màu', 'Độ phủ màu ': 'sRGB 99%', 'Độ sáng': '300 nits', 'Góc nhìn': '178/178', 'Độ tương phản tĩnh': '1000:1', 'Công nghệ màn hình': 'FreeSync, Tương thích G-SYNC, HDR 10', 'Nghiêng': 'Có', 'Điều chỉnh độ cao': 'Có', 'Treo tường': '100 x 100 mm', 'Độ phân giải màn hình': '1920 x 1080 pixels', 'Cổng kết nối': 'HDMI 2.0 x 1, DisplayPort 1.4, Cổng âm thanh', 'Tính năng màn hình': 'Hạn chế ánh sáng xanh, Chế độ chơi game, Chống nháy, Chế độ tiết kiệm điện, Tương thích NVIDIA G-Sync, AMD FreeSync', 'Công suất tiêu thụ': '18W', 'Kích thước': ['Có chân đế: 540.8 x 408.9 x 180.5 mm ', ' Không có chân đế: 540.8 x 323.8 x 42.8 mm'], 'Trọng lượng': ['Có chân đế: 4 kg', ' Không có chân đế: 3.5 kg']}","[{'color': 'default', 'price': 3090000}]","['https://cdn2.cellphones.com.vn/x/media/catalog/product/m/_/m_n_h_nh_gaming_lg_ultragear_24gs60f-b_24_inch.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/i/m/image_1371.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/i/m/image_1372.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/i/m/image_1373.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/i/m/image_1374.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/i/m/image_1375.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/i/m/image_1376.png']","['Kích thước màn 24 inch 1920 x 1080 mang đến chất lượng rõ nét.', 'HDR10 với sRGB 99% trải nghiệm game với màu sắc trung thực.', 'Tần số quét 180Hz và tốc độ 1ms trải nghiệm hình ảnh liền mạch.', 'AMD FreeSync chặn xé hình giúp chơi game mượt mà.']",['Gaming']
Màn hình Monitor Xiaomi 27 inch A27i ELA5345EU,https://cellphones.com.vn/man-hinh-xiaomi-a27i-ela5345eu-27-inch.html,màn hình,Xiaomi,"{'Kích thước thực tế (bao gồm viền)': '27 inches', 'Kiểu màn hình': 'Màn hình phẳng', 'Tấm nền': 'IPS', 'Tỉ lệ màn hình': '16:9', 'Tần số quét': '100 Hz', 'Thời gian phản hồi': '6ms', 'Số lượng màu': '16.7 triệu', 'Độ phủ màu ': '100% sRGB', 'Độ sáng': '250 cd/m²', 'Góc nhìn': '178 (H) / 178 (V)', 'Độ tương phản tĩnh': '1000:1', 'Công nghệ màn hình': 'công nghệ đèn nền WLE', 'Nghiêng': '-5° ± 2 ~+ 15° ± 2', 'Treo tường': '75 x 75 mm', 'Độ phân giải màn hình': '1920 x 1080 pixels (FullHD)', 'Cổng kết nối': 'Display port ×1, HDMI 2.0 port ×1, DC IN cable port ×1', 'Tính năng màn hình': 'Hạn chế ánh sáng xanh, Chống chói, Chống nháy', 'Công suất tiêu thụ': '24W', 'Kích thước': '612.3 x 451.7 x 170 mm', 'Trọng lượng': '3.6 kg', 'Tính năng đặc biệt': 'Viền màn hình siêu mỏng', 'Kích thước màn hình': '27 inches'}","[{'color': 'default', 'price': 2390000}]","['https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-xiaomi-a27i-ela5345eu-27-inch.jpg', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-xiaomi-a27i-ela5345eu-27-inch-2.jpg', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-xiaomi-a27i-ela5345eu-27-inch-1.jpg', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-xiaomi-a27i-ela5345eu-27-inch-3.jpg', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-xiaomi-a27i-ela5345eu-27-inch-5.jpg', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-xiaomi-a27i-ela5345eu-27-inch-4.jpg', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-xiaomi-a27i-ela5345eu-27-inch-7.jpg', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-xiaomi-a27i-ela5345eu-27-inch-8.jpg']","['Gam màu sRGB 99% giúp hiển thị màu sắc rực rỡ, chân thực, hạn chế tình trạng lệch màu', 'Trải nghiệm giải trí và làm việc mượt mà, nhanh chóng với tốc độ làm mới lên đến 100 Hz', 'Thiết kế viền mỏng cùng màn hình có kích thước 27 inch mang đến không gian hiển thị rộng', 'Độ phân giải Full HD cùng tấm nền IPS mang đến hình ảnh đẹp mắt, trải nghiệm sống động']",['Văn phòng']
Màn hình Xiaomi A27QI 27 inch,https://cellphones.com.vn/man-hinh-xiaomi-a27qi-27-inch.html,màn hình,Xiaomi,"{'Kích thước thực tế (bao gồm viền)': '27 inches', 'Kích thước hiển thị': '27 inch', 'Kiểu màn hình': 'Màn hình phẳng', 'Tấm nền': 'IPS', 'Tỉ lệ màn hình': '16:9', 'Tần số quét': '100 Hz', 'Thời gian phản hồi': '6ms', 'Số lượng màu': '16.7 triệu màu', 'Độ phủ màu ': ['95% DCI-P3 ', ' 100% sRGB'], 'Độ chính xác màu': ['ΔE<2 ', 'Độ sâu màu cao 8-bit'], 'Độ sáng': '250 nits (điển hình)', 'Góc nhìn': '178°', 'Độ tương phản tĩnh': '1000:1 (điển hình)', 'Độ phân giải màn hình': '2560 x 1440 pixels', 'Cổng kết nối': ['1x Cổng DP ', ' 1x Cổng HDMI ', ' 1x Cổng nguồn DC IN ', ' 1x Cổng âm thanh'], 'Tính năng màn hình': 'Hạn chế ánh sáng xanh', 'Công suất tiêu thụ': '36W', 'Kích thước': 'Có chân đế: 612.5 x 170.0 x 453.0 mm', 'Trọng lượng': '4.2 kg'}","[{'color': 'default', 'price': 3690000}]","['https://cdn2.cellphones.com.vn/x/media/catalog/product/m/_/m_n_h_nh_xiaomi_a27qi_27_inch_-_1_1.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/_/m_n_h_nh_xiaomi_a27qi_27_inch_-_2.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/_/m_n_h_nh_xiaomi_a27qi_27_inch_-_3.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_14_5.png']","['Màn hình với kích thước 27 inch, mang đến trải nghiệm hình ảnh sắc nét với độ phân giải 2K.', 'Công nghệ IPS giúp tái hiện màu sắc một cách chân thực và góc nhìn rộng, lý tưởng cho cả công việc lẫn giải trí.', 'Tần số quét 100Hz giúp hình ảnh mượt mà trong các trò chơi và video chuyển động nhanh.', 'Thời gian phản hồi chỉ 6ms giảm thiểu hiện tượng mờ và buồn ngủ ở những cảnh chuyển động.']",['Văn phòng']
Màn hình MSI MP251 E2 25 inch 120Hz,https://cellphones.com.vn/man-hinh-msi-mp251-e2-25-inch-120hz.html,màn hình,MSI,"{'Kích thước thực tế (bao gồm viền)': '24.5 inches', 'Kiểu màn hình': 'Màn hình phẳng', 'Tấm nền': 'IPS', 'Tỉ lệ màn hình': '16:9', 'Tần số quét': '120 Hz', 'Thời gian phản hồi': '1ms', 'Số lượng màu': '16.7 triệu màu', 'Độ phủ màu ': 'sRGB 99%', 'Độ sáng': '300 cd/m2', 'Góc nhìn': '178°(H) / 178°(V)', 'Độ tương phản động': '1500:1', 'Công nghệ màn hình': ['HDR Ready', 'Màn hình chống chói'], 'Nghiêng': '-5°~20°', 'Treo tường': '100 x 100 mm', 'Độ phân giải màn hình': '1920 x 1080 pixels', 'Cổng kết nối': ['1x HDMI (2.0)', ' 1x DP (1.4a)', ' 1x D-Sub (VGA)', ' 1x Headphone-out', ' 1x Line-in'], 'Hệ thống âm thanh': '2x 2W', 'Tính năng màn hình': 'Chống chói, Chống nháy', 'Kích thước': ['Có chân đế: 556.89 x 188.2 x 413.91 mm (Rộng x Sâu x Cao)', ' Không có chân đế: 556.89 x 42.94 x 321.49 mm (Rộng x Sâu x Cao)'], 'Trọng lượng': '2.7 kg / 4.9 kg'}","[{'color': 'default', 'price': 2390000}]","['https://cdn2.cellphones.com.vn/x/media/catalog/product/m/_/m_n_h_nh_h_a_-_c_t_th_ng_tin_1_2.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__6_70.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__5_64.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__2_100.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__6_60.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__7_57.png']","['Màn hình kích thước màn hình 25 inch, độ phân giải Full HD (1920 x 1080) để hiển thị hình ảnh sắc nét và chi tiết.', 'Công nghệ IPS mang đến góc nhìn rộng 178 độ, giúp xem màn hình từ nhiều góc độ khác nhau mà không bị méo màu hay mất độ sáng.', 'Tần số quét 120Hz cho phép người dùng trải nghiệm hình ảnh mượt mà, giảm thiểu hiệu ứng mờ ảnh khi xem phim, chơi game.', 'Thời gian phản hồi siêu nhanh 1ms giúp loại bỏ hiện tượng tồn dư ảnh, mang lại trải nghiệm chơi game sống động và chính xác.', 'Thiết kế viền mỏng, đẹp mắt và phù hợp với nhiều không gian làm việc và giải trí khác nhau.']",['Văn phòng']
Màn hình Asus TUF Gaming VG247Q1A 24 inch,https://cellphones.com.vn/man-hinh-asus-tuf-gaming-vg247q1a-24-inch.html,màn hình,ASUS,"{'Kích thước thực tế (bao gồm viền)': '24 inches', 'Kích thước hiển thị': '23.8 inch', 'Kiểu màn hình': 'Màn hình phẳng', 'Tấm nền': 'VA', 'Tỉ lệ màn hình': '16:9', 'Tần số quét': '165 Hz', 'Thời gian phản hồi': '1ms', 'Số lượng màu': '16.7 triệu màu', 'Độ sáng': '350cd / m2', 'Góc nhìn': '178 ° độ dọc / 178 ° độ ngang', 'Độ tương phản tĩnh': ['3000: 1 (Typ.) ', ' Tỷ lệ tương phản thông minh ASUS (ASCR): 100000000: 1'], 'Công nghệ màn hình': ['Trace Free Technology ', 'GameVisual ', 'Color Temp (4 chế độ) ', 'GamePlus ', 'HDCP ', 'Extreme Low Motion Blur ', 'FreeSync™ Premium ', 'GameFast Input technology ', 'Hạn chế ánh sáng xanh dương'], 'Treo tường': '100 x 100 mm', 'Độ phân giải màn hình': '1920 x 1080 pixels', 'Cổng kết nối': ['1x DisplayPort 1.2 ', '2x HDMI (v1.4) ', 'Giắc cắm tai nghe'], 'Hệ thống âm thanh': 'Loa 2W x 2', 'Tính năng màn hình': 'Hạn chế ánh sáng xanh, Chống chói, Chế độ chơi game, Chống nháy', 'Công suất tiêu thụ': 'Nhỏ hơn 14.52 W', 'Kích thước': 'Có chân đế: 541.04 x 394.36 x 173.98 mm (W x H x D)', 'Trọng lượng': 'Có chân đế: 3.33 kg'}","[{'color': 'Đen', 'price': 2590000}]","['https://cdn2.cellphones.com.vn/x/media/catalog/product/1/8/18_2_111.jpg', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/1/2/12_5_119.jpg', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/1/4/14_2_122.jpg', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/1/3/13_5_115.jpg', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/1/6/16_2_118.jpg', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/1/5/15_3_122.jpg', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/1/7/17_2_106.jpg']","['Màn hình 23.8 inch Full HD mang đến hình ảnh tuyệt đẹp từ mọi góc độ cùng góc nhìn rộng 178 độ', 'Tốc độ làm mới 165Hz loại bỏ độ trễ và nhòe chuyển động để mang đến cho bạn ưu thế khi chơi game', 'Thời gian phản hồi 1ms khắc phục hiện tượng nhòe do chuyển động, giúp chơi game mượt mà hơn', 'Hỗ trợ Adaptive-Sync với card đồ họa NVIDIA GeForce và FreeSync với card đồ họa AMD Radeon', 'Thiết kế lấy cảm hứng từ máy bay chiến đấu tàng hình mang đến vẻ ngoài năng động, tương lai']",['Gaming']
Màn hình LG UltraWide 29WQ600 29 inch,https://cellphones.com.vn/man-hinh-lg-ultrawide-29wq600-29-inch.html,màn hình,LG,"{'Kích thước thực tế (bao gồm viền)': '29 inches', 'Kiểu màn hình': 'Màn hình phẳng', 'Tấm nền': 'IPS', 'Tỉ lệ màn hình': '21:9', 'Tần số quét': '100 Hz', 'Thời gian phản hồi': '5ms', 'Số lượng màu': '16.7 triệu', 'Độ phủ màu ': 'sRGB 99%', 'Độ sáng': '250 cd/m2', 'Góc nhìn': '178º ngang, 178º dọc', 'Độ tương phản tĩnh': '1000:1', 'Công nghệ màn hình': ['AMD FreeSync', 'Chống nháy bảo vệ mắt'], 'Treo tường': '100 x 100 mm', 'Độ phân giải màn hình': '2560 x 1080', 'Cổng kết nối': 'HDMI, DisplayPort, USB-C', 'Hệ thống âm thanh': '7W', 'Tính năng màn hình': 'Chống chói, Chế độ chơi game, Chống nháy', 'Công suất tiêu thụ': '22W', 'Kích thước': ['Có chân đế: 688.5 x 406.6 x 223.8 mm', 'Không chân đế: 688.5 x 313.4 x 45.3 mm'], 'Trọng lượng': ['Có chân đế: 4.5kg', 'Không chân đế: 4.0kg'], 'Loại màn hình': 'Màn hình'}","[{'color': 'default', 'price': 4490000}]","['https://cdn2.cellphones.com.vn/x/media/catalog/product/m/_/m_n_h_nh_lg_ultrawide_29wq600_29_inch.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-lg-ultrawide-29wq600-29-inch-3.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-lg-ultrawide-29wq600-29-inch-1.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-lg-ultrawide-29wq600-29-inch-2.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-lg-ultrawide-29wq600-29-inch-4.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-lg-ultrawide-29wq600-29-inch-5.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-lg-ultrawide-29wq600-29-inch-6.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-lg-ultrawide-29wq600-29-inch-7.png']","['Màn hình UltraWide với kích thước 29 inch, trang bị độ phân giải 2560 x 1080', 'Công nghệ HDR10 cho giúp bạn thưởng thức nội dung với màu sắc ấn tượng', 'Tấm nên IPS và sRGB 99% hiển thị chính xác màu sắc và cho góc nhìn rộng', 'Màn hình hỗ trợ cổng USB-C với chế độ thấy thế được cho cổng Display Port', 'Hỗ trợ công nghệ AMD FreeSync giảm thiểu xé hình, chuyển động liền mạch']",['Văn phòng']
Màn hình Dell UltraSharp U2723QE 27 inch,https://cellphones.com.vn/man-hinh-dell-ultrasharp-u2723qe-27-inch.html,màn hình,Dell,"{'Kích thước thực tế (bao gồm viền)': '27 inches', 'Kiểu màn hình': 'Màn hình phẳng', 'Độ phân giải màn hình': '3840 x 2160 pixels', 'Tấm nền': 'IPS', 'Tỉ lệ màn hình': '16:9', 'Tần số quét': '60 Hz', 'Thời gian phản hồi': '5ms', 'Số lượng màu': '1.07 tỷ màu', 'Độ phủ màu ': ['100% Rec 709 ', ' 100% sRGB ', ' 98% DCI-P3'], 'Độ sáng': '400 cd/m²', 'Góc nhìn': '178 độ ngang / 178 độ dọc', 'Độ tương phản động': '2000:1 / 2000:1', 'Công nghệ màn hình': ['Màn hình LCD có đèn nền LED / TFT ', ' Màn hình chống chói ', ' ComfortView Plus ', ' VESA DisplayHDR ™ 400'], 'Treo tường': '100 x 100 mm', 'Cổng kết nối': ['1x HDMI (HDCP 2.2)', '1x DisplayPort 1.4', '1x Đầu ra DisplayPort ', '1x USB-C 3.2 Gen 2 upstream', '1x USB-C 3.2 Gen 2 (15W)', '4 x USB 3.2 Gen 2', '1x USB 3.2 Gen 2 (Sạc 1.2)', '1x Đường ra âm thanh', '1x USB-C 3.2 Gen 2 (DisplayPort 1.4)', '1x RJ-45'], 'Tính năng màn hình': 'Hạn chế ánh sáng xanh, Chống chói', 'Tiện ích': 'Tích hợp bộ chia USB 3.2 thế hệ 2 / USB-C', 'Công suất tiêu thụ': '25.9 W', 'Kích thước': ['Có chân đế: 24.1 x 7.3 x 15.2 inch ', ' Không có chân đế: 24.1 x 2.1 x 13.9 inch'], 'Trọng lượng': ['Có chân đế: 6.62 kg ', ' Không có chân đế: 4.49 kg']}","[{'color': 'Trắng', 'price': 12690000}]","['https://cdn2.cellphones.com.vn/x/media/catalog/product/1/_/1_75_29.jpg', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/5/4/54_1_20.jpg', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/5/5/55_1_23.jpg', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/5/6/56_1_26.jpg', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/5/7/57_1_19.jpg', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/5/8/58_1_18.jpg', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/5/9/59_1_15.jpg', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/6/0/60_1_19.jpg']","['Thiết kế tinh tế với màu bạc bạch kim cao cấp, phù hợp mọi không gian làm việc', 'Kích thước 27 inch 4K mang đến trải nghiệm xem mãn nhãn và sắc màu rực rỡ', 'VESA DisplayHDR 400 và 98% DCI-P3 giúp rõ nét từng chi tiết cùng màu sắc chân thực', 'Tối ưu hóa không gian với các cổng kết nối mở rộng USB-C, RJ45 (Ethernet), DP1.4 và HDMI', 'Dễ dàng nghiêng, xoay, điều chỉnh độ cao màn hình tạo sự thoải mái']",['Đồ họa']
