name,url,category,brand,specifications,prices,image_links,features,needs
PC CPS X ASUS Gaming Intel i3 Gen 12 Kèm màn hình,https://cellphones.com.vn/pc-cps-asus-gaming-intel-i3-gen-12.html,pc,Hãng khác,"{'Dung lượng RAM': '8GB', 'RAM': 'RAM PC Kingston Fury 8GB 3200MHz KF432C16BB/8', 'SSD': 'SSD ADATA LEGEND 710 PCIE GEN3 X4 M.2 2280 (R 2400/W 1800) 256GB', 'Màn hình': 'Màn hình Asus TUF Gaming VG247Q1A 24 inch (FHD/VA/165Hz/1ms/FreeSync Premium)', 'CPU': 'Intel Core i3 12100F', 'VGA': 'Asus Dual Radeon RX 6500 XT OC 4GB DUAL-RX6500XT-O4G-V2', 'Mainboard': 'Asus PRIME H610M-K D4', 'Nguồn': 'Xigmatek X-Power III 500 450W', 'Chipset (PC lắp ráp)': 'H610M', 'Loại case (PC)': 'Case máy tính Xigmatek Sky II 3F ATX', 'Loại PC': 'PC Intel'}","[{'color': 'default', 'price': 12190000}]","['https://cdn2.cellphones.com.vn/x/media/catalog/product/1/2/12_5_119.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/1/4/14_2_122.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/1/3/13_5_115.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/1/6/16_2_118.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_11__5_44_1.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_13__6_36_1.png']","['Sử dụng CPU i3-12100F kết hợp VGA RX 6500 XT, mang lại hiệu suất ổn định cho gaming và các tác vụ phổ thông.', 'RAM 8GB DDR4 tốc độ 3200MHz và SSD 256GB PCIe Gen3 cung cấp khả năng xử lý nhanh và không gian lưu trữ cơ bản.', 'Mainboard hỗ trợ đầy đủ các tính năng cần thiết, đảm bảo hiệu năng và tính tương thích tốt.', 'Case thiết kế hiện đại với 3 quạt tản nhiệt và nguồn 450W đảm bảo hệ thống hoạt động ổn định.', 'Đi kèm màn hình 24 inch tần số quét 165Hz, thời gian phản hồi 1ms, mang lại trải nghiệm hình ảnh mượt mà và sắc nét.']",['PC ráp sẵn CellphoneS']
PC CPS X MSI Gaming Intel i5 Gen 12 Kèm màn hình,https://cellphones.com.vn/pc-cps-msi-gaming-intel-i5-gen-12.html,pc,Hãng khác,"{'Dung lượng RAM': '16GB', 'RAM': 'RAM PC ADATA XPG D50 RGB 16GB (1x16GB) 3200MHz DDR4', 'SSD': 'Ổ cứng SSD ADATA LEGEND 710 PCIE GEN3 X4 M.2 2280 (R 2400/W 1800) 512GB', 'Màn hình': 'Màn hình Gaming MSI G255F 25 inch (FHD/IPS/180HZ/1MS)', 'CPU': 'Intel Core i5 12400F', 'VGA': 'VGA MSI GeForce RTX 3060 VENTUS 2X 12G OC', 'Mainboard': 'Mainboard MSI Pro B760M-E DDR4', 'Nguồn': 'Nguồn máy tính MSI MAG A650BN 650W', 'Chipset (PC lắp ráp)': 'B760M', 'Loại case (PC)': 'Case máy tính MSI MAG FORGE 120A AIRFLOW', 'Loại PC': 'PC Intel'}","[{'color': 'default', 'price': 20490000}]","['https://cdn2.cellphones.com.vn/x/media/catalog/product/c/a/case-may-tinh-msi-mag-forge-120a_2.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/c/a/case-may-tinh-msi-mag-forge-120a_1__1.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-gaming-msi-g255f-25-inc.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-gaming-msi-g255f-25-inc_1_.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-gaming-msi-g255f-25-inc_2_.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/man-hinh-gaming-msi-g255f-25-inc_3_.png']","['Trang bị bộ vi xử lý Intel Core i5-12400F và VGA MSI GeForce RTX 3060, đảm bảo hiệu suất vượt trội cho gaming và đồ họa.', 'RAM 16GB DDR4 tốc độ 3200MHz cùng SSD ADATA LEGEND 710 512GB mang lại khả năng xử lý nhanh và không gian lưu trữ lớn.', 'Case MSI MAG FORGE 120A Airflow với thiết kế tản nhiệt tốt và nguồn MSI MAG A650BN 650W đảm bảo sự ổn định và bền bỉ cho hệ thống.', 'Màn hình Gaming MSI G255F 25 inch, tần số quét 180Hz và thời gian phản hồi 1ms, mang đến hình ảnh mượt mà và sắc nét.', 'Mainboard B760M-E DDR4 kết hợp hoàn hảo với các linh kiện cao cấp, tạo nên một hệ thống mạnh mẽ và ổn định dành cho game thủ.']",['PC ráp sẵn CellphoneS']
PC CPS Văn Phòng AMD R3 3200G Kèm Màn Hình,https://cellphones.com.vn/pc-cps-van-phong-amd-r3-3200g.html,pc,Hãng khác,"{'Màn hình': 'Màn hình Dahua LM22-A200Y 22 inch (FHD/VA/100HZ/8MS)', 'CPU': 'CPU AMD Ryzen 3 3200G', 'VGA': 'Onboard', 'RAM': 'RAM PC Kingston Fury 8GB 3200MHz KF432C16BB/8', 'SSD': 'Ổ cứng SSD ADATA SU650 SATA III 2.5"" 256GB', 'Mainboard': 'Mainboard ASRock A520M/AC D4 AM4 Wifi', 'Nguồn': 'Nguồn máy tính Xigmatek X-Power III 350 250W', 'Chipset (PC lắp ráp)': 'A520M', 'Loại case (PC)': 'CASE MÁY TÍNH XIGMATEK XS-09 M-ATX', 'Loại PC': 'PC AMD'}","[{'color': 'default', 'price': 6490000}]","['https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_13__7_7.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_14__8_8.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_15__7_153.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_12__7_3.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__2_89_1_2.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__4_87_1_2.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__4_90_1_2.png']","['PC được trang bị CPU AMD Ryzen 3 3200G, tích hợp đồ họa Vega 8, đáp ứng tốt các nhu cầu làm việc và giải trí cơ bản.', 'Mainboard ASRock A520M/AC hỗ trợ kết nối WiFi tiện lợi, phù hợp cho môi trường làm việc hiện đại.', 'Ổ cứng SSD ADATA SU650 256GB và RAM Kingston Fury 8GB 3200MHz đảm bảo tốc độ xử lý nhanh và khả năng đa nhiệm mượt mà.', 'Màn hình 22 inch với tấm nền VA, độ phân giải Full HD, tần số quét 100Hz, mang lại hình ảnh sắc nét và trải nghiệm hiển thị ổn định.']",
PC CPS văn phòng Intel i5 Gen 12 - Kèm màn hình,https://cellphones.com.vn/may-tinh-pc-cps-van-phong-intel-i5-gen-12.html,pc,Hãng khác,"{'Màn hình': 'Màn hình Dahua LM24-A200Y 24 inch (FHD/VA/100HZ/8MS)', 'CPU': 'CPU Intel Core i5 12400', 'VGA': 'Onboard', 'Socket': 'LGA 1700', 'RAM': '8GB DDR4 3200MHz', 'SSD': 'SSD 256GB', 'Mainboard': 'Mainboard ASRock H610M LGA 1700 DDR4 64GB', 'Nguồn': 'Nguồn máy tính Xigmatek X-Power III 350 250W', 'Chipset (PC lắp ráp)': 'H610M', 'Loại case (PC)': 'Case máy tính XIGMATEK XS-09 M-ATX', 'Loại PC': 'PC Intel'}","[{'color': 'default', 'price': 8990000}]","['https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__6_31_1_1.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__7_30_1_1.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_13__7_12.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_14__8_13.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_15__7_158.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_12__7_8.png']","['Trang bị mainboard H610M-HVS với công nghệ M.2 R2.0 hỗ trợ kết nối SSD nhanh chóng và hiệu quả.', 'Bộ vi xử lý Intel Core i5 12400 mang lại sức mạnh xử lý tốt cho các ứng dụng văn phòng, giải trí và chơi game nhẹ.', 'RAM 8GB giúp máy hoạt động mượt mà trong các tác vụ đa nhiệm.', 'Ổ cứng SSD 256GB cung cấp tốc độ truy cập nhanh, giúp khởi động hệ điều hành và ứng dụng nhanh chóng.']",['Máy tính All In One']
PC CPS Gaming G01 i3 12100F / 16GB - 256GB / RX 6500,https://cellphones.com.vn/pc-cps-gaming-g1.html,pc,Hãng khác,"{'Dung lượng RAM': '16GB', 'RAM': 'RAM PC Kingston Fury 8GB 3200MHz KF432C16BB/8', 'SSD': 'SSD ADATA SU650 SATA III 2.5"" 256GB', 'CPU': 'Intel Core i3 12100F', 'VGA': 'VGA Gigabyte Radeon RX 6500 XT Eagle 4GB GV-R65XTEAGLE-4GD', 'Socket': 'LGA 1700', 'Mainboard': 'Mainboard ASRock H610M-HVS/M.2 R2.0', 'Nguồn': '400W', 'Chipset (PC lắp ráp)': 'H610M', 'Loại case (PC)': 'Case máy tính Xigmatek Sky II 3F ATX', 'Loại PC': 'PC Intel'}","[{'color': 'default', 'price': 9990000}]","['https://cdn2.cellphones.com.vn/x/media/catalog/product/p/c/pc-cps-gaming-g1_2_.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/p/c/pc-cps-gaming-g1_3_.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/p/c/pc-cps-gaming-g1_2__1_1.jpg']","['PC G01 được chế tác từ linh kiện chất lượng cao.', 'Cấu hình đủ đáp ứng cho những tựa game mạnh.', 'Hỗ trợ card màn hình RX 6500 cho việc chơi game.', 'Thiết kế case gọn nhẹ phù hợp đặt mọi không gian.']",['PC ráp sẵn CellphoneS']
PC CPS X ASUS Gaming Intel i5 Gen 14 Kèm màn hình,https://cellphones.com.vn/pc-cps-asus-gaming-intel-i5-gen-14.html,pc,Hãng khác,"{'Dung lượng RAM': '8GB', 'RAM': 'RAM PC ADATA XPG D50 RGB 8GB (1x8GB) 3200MHz DDR4', 'SSD': 'SSD ADATA LEGEND 710 PCIE GEN3 X4 M.2 2280 (R 2400/W 1800) 256GB', 'Màn hình': 'Màn hình Asus TUF Gaming VG247Q1A 24 inch (FHD/VA/165Hz/1ms/FreeSync Premium)', 'CPU': 'Intel Core i5 14400F', 'VGA': 'ASUS Dual Geforce RTX 3060 OC 12GB DUAL-RTX3060-O12G-V2', 'Mainboard': 'Asus Prime B760M-A DDR4', 'Nguồn': 'Nguồn máy tính Xigmatek X-Power III 650 600W', 'Chipset (PC lắp ráp)': 'B760M', 'Loại case (PC)': 'Case máy tính Xigmatek MYX 3F (3 FAN) M-ATX', 'Loại PC': 'PC Intel'}","[{'color': 'default', 'price': 19690000}]","['https://cdn2.cellphones.com.vn/x/media/catalog/product/1/2/12_5_119_1.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/1/4/14_2_122_1.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/1/3/13_5_115_1.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/1/6/16_2_118_1.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__2_165_2.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__4_176_2.png']","['PC trang bị CPU i5-14400F kết hợp VGA RTX 3060 12GB, đáp ứng tốt nhu cầu gaming và đồ họa chuyên nghiệp.', 'RAM 8GB DDR4 tốc độ 3200MHz và SSD 256GB PCIe Gen3 mang lại khả năng xử lý nhanh và lưu trữ hiệu quả.', 'Mainboard hiện đại hỗ trợ đầy đủ các cổng kết nối và tính năng nâng cấp.', 'Case nhỏ gọn M-ATX với 3 quạt tản nhiệt kết hợp nguồn 600W đảm bảo hệ thống hoạt động ổn định.', 'Đi kèm màn hình 24 inch tần số quét 165Hz, thời gian phản hồi 1ms, mang lại trải nghiệm hình ảnh mượt mà và sắc nét.']",['PC ráp sẵn CellphoneS']
PC Mini ASUS NUC 14 Essential RNUC14MNK9700000,https://cellphones.com.vn/pc-mini-asus-nuc-14-essential-intel-core-n97.html,pc,ASUS,"{'Loại card đồ họa': 'Intel Graphics', 'Loại CPU': 'Intel N97, cTDP 12W', 'Công nghệ âm thanh': 'Realtek ALC3251', 'Hệ điều hành': 'No OS', 'Cổng I/O mặt trước': ['1 x USB 3.2 Gen2 Type-C', '\r', '2 x USB 3.2 Gen2 Type-A', '\r', '1 x 3.5mm Headset Jack', '\r', '1 x Kensington Lock'], 'Cổng I/O mặt sau': ['1 x USB 3.2 Gen2 Type-C w/ DisplayPort 1.4', '\r', '2 x USB 3.2 Gen 2 Type-A', '\r', '1 x USB 2.0 Type-A', '\r', '1 x HDMI 2.1 (TMDS)', '\r', '1 x DisplayPort 1.4', '\r', '1 x RJ45 LAN', '\r', '1 x DC-in'], 'Kích thước': '135 x 115 x 36 mm', 'Trọng lượng': '470g', 'Wi-Fi': 'Intel Wi-Fi 6E AX211 (Gig+)', 'Bluetooth': 'Bluetooth 5.3', 'Cổng giao tiếp': 'LAN: 1 x Realtek Ethernet Controller RTL8125BG-CG, 2.5G'}","[{'color': 'default', 'price': 4890000}]","['https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__8_17.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__5_3.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__4_227.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_10__4_188.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__2_233.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__2_254.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__8_72.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__7_72.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__7_13.png']","['Được trang bị vi xử lý Intel Core N97, máy đảm bảo khả năng xử lý tốt cho nhiều tác vụ đa dạng.', 'Hỗ trợ RAM DDR5, giúp cải thiện tốc độ và hiệu suất tổng thể, lý tưởng cho cả công việc và giải trí.', 'Tích hợp Wi-Fi 6, mang lại khả năng kết nối internet nhanh và ổn định hơn.', 'Với kích thước mini, sản phẩm dễ dàng bố trí trong bất kỳ không gian nào mà không chiếm nhiều diện tích.']",['Máy tính đồng bộ']
PC CPS X MSI Gaming Intel i3 Gen 12 Kèm màn hình,https://cellphones.com.vn/pc-cps-msi-gaming-intel-i3-gen-12.html,pc,Hãng khác,"{'Dung lượng RAM': '8GB', 'RAM': 'RAM PC ADATA XPG D50 RGB 8GB (1x8GB) 3200MHz DDR4', 'SSD': 'SSD ADATA LEGEND 710 PCIE GEN3 X4 M.2 2280 (R 2400/W 1800) 256GB', 'Màn hình': 'MSI MP251 E2 25 inch 120Hz (FHD/IPS/120HZ/1MS/LOA)', 'CPU': 'Intel Core i3 12100F', 'VGA': 'MSI GeForce RTX 3050 VENTUS 2X 6G OC', 'Mainboard': 'MAINBOARD MSI PRO H610M-S DDR4', 'Nguồn': 'MSI Mag A500N-H 500W', 'Chipset (PC lắp ráp)': 'H610M', 'Loại case (PC)': 'MSI MAG FORGE 120A AIRFLOW', 'Loại PC': 'PC Intel'}","[{'color': 'default', 'price': 13590000}]","['https://cdn2.cellphones.com.vn/x/media/catalog/product/c/a/case-may-tinh-msi-mag-forge-120a_1.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/c/a/case-may-tinh-msi-mag-forge-120a_1_.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__6_70_3.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__5_64_3.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__6_60_3.png']","['Bộ PC gaming entry-level với CPU Intel i3-12100F và card đồ họa MSI RTX 3050 6GB, phù hợp chơi game, thiết kế.', 'RAM 8GB DDR4 3200MHz và SSD PCIe Gen3 256GB đáp ứng đủ nhu cầu học tập, làm việc văn phòng.', 'Bo mạch chủ MSI H610M-S DDR4 và nguồn MSI 500W cung cấp nền tảng ổn định.', 'Case MSI MAG Forge 120A Airflow thiết kế thoáng khí, dễ nâng cấp.', 'Màn hình MSI MP251 25 inch IPS, 120Hz, 1ms cho trải nghiệm gaming mượt mà với tấm nền chất lượng.']",['PC ráp sẵn CellphoneS']
PC CPS Gaming Intel i5 Gen 12 kèm màn hình - Trắng Hồng,https://cellphones.com.vn/pc-cps-gaming-intel-i5-gen-12.html,pc,Hãng khác,"{'Màn hình': 'Màn hình ViewSonic VA2436-H-PN 24 inch', 'CPU': 'CPU Intel Core i5 12400F', 'VGA': 'VGA MSI GeForce RTX 3050 VENTUS 2X 6G OC', 'Socket': 'LGA 1700', 'RAM': 'RAM PC ADATA XPG D50 RGB 8GB (1x8GB) 3200MHz DDR4', 'SSD': 'Ổ cứng SSD ADATA LEGEND 710 PCIE GEN3 X4 M.2 2280 (R 2400/W 1800) 256GB', 'Mainboard': 'Mainboard MSI Pro B760M-E DDR4', 'Nguồn': 'Nguồn máy tính Xigmatek X-Power III 650 600W', 'Chipset (PC lắp ráp)': 'B760M', 'Tản nhiệt': 'Tản nhiệt khí Xigmatek EPIX II', 'Loại case (PC)': 'Case máy tính Xigmatek Pano M NANO 3GF Arctic M-ATX', 'Loại PC': 'PC Intel'}","[{'color': 'default', 'price': 14890000}]","['https://cdn2.cellphones.com.vn/x/media/catalog/product/p/c/pc_cps_gaming_intel_i5_gen_12_k_m_m_n_h_nh_-_1.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/p/c/pc_cps_gaming_intel_i5_gen_12_k_m_m_n_h_nh_-_2.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/p/c/pc_cps_gaming_intel_i5_gen_12_k_m_m_n_h_nh_-_3.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__8_12.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__7_7.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__7_69.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__8_67.png']","['Sử dụng bộ vi xử lý Intel Core i5-12400F, máy tính này mang đến hiệu suất mạnh mẽ cho các tác vụ đa nhiệm và chơi game mượt mà.', 'Mainboard MSI PRO B760M-E DDR4 hỗ trợ các tính năng tiên tiến, giúp tối ưu hóa hiệu suất và độ ổn định của hệ thống.', 'VGA MSI GeForce RTX 3050 cung cấp khả năng xử lý đồ họa xuất sắc, phù hợp cho các game thủ và người làm đồ họa.', 'Ổ cứng SSD 256GB giúp khởi động hệ điều hành nhanh và tải ứng dụng tức thì, nâng cao trải nghiệm sử dụng.']",['PC ráp sẵn CellphoneS']
PC CPS Văn Phòng AMD R5 4600G Kèm màn hình,https://cellphones.com.vn/pc-cps-van-phong-amd-r5-4600g.html,pc,Hãng khác,"{'Dung lượng RAM': '8GB', 'RAM': 'RAM PC Kingston Fury 8GB 3200MHz KF432C16BB/8', 'SSD': 'SSD ADATA SU650 SATA III 2.5"" 256GB', 'Màn hình': 'Màn hình Dahua LM24-A200Y 24 inch (FHD/VA/100HZ/8MS)', 'CPU': 'CPU AMD Ryzen 5 4600G', 'Mainboard': 'Mainboard ASRock A520M/AC D4 AM4 Wifi', 'Nguồn': 'Nguồn máy tính Xigmatek X-Power III 350 250W', 'Chipset (PC lắp ráp)': 'A520M', 'Loại case (PC)': 'Case máy tính XIGMATEK XS-09 M-ATX', 'Loại PC': 'PC AMD'}","[{'color': 'default', 'price': 7790000}]","['https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__2_89_3.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__4_87_3.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_15__7_154_1.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_13__7_8_1.png', 'https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_12__7_4_1.png']","['Máy sử dụng CPU Ryzen 5 4600G với đồ họa tích hợp, đáp ứng tốt các tác vụ văn phòng và giải trí cơ bản.', 'RAM 8GB DDR4 tốc độ 3200MHz và SSD 256GB SATA III mang lại khả năng xử lý nhanh và lưu trữ vừa đủ.', 'Mainboard có tích hợp Wi-Fi, tiện lợi cho kết nối mạng không dây trong không gian làm việc.', 'Case nhỏ gọn M-ATX thiết kế tinh tế, kết hợp nguồn 250W đảm bảo hệ thống hoạt động ổn định.', 'Đi kèm màn hình 24 inch tần số quét 100Hz, độ phân giải Full HD, mang lại trải nghiệm hiển thị rõ nét, phù hợp cho văn phòng.']",
