name,url,brand,prices,specifications
"Laptop HP 15-fd0235TU i5 1334U/16GB/512GB SSD/15.6""FHD//Win11",https://fptshop.com.vn/may-tinh-xach-tay/hp-15-fd0235tu-i5-1334u,HP,"[{'color': 'Bạc', 'price': 15890000}]","{'Hãng CPU': 'Intel', 'Công nghệ CPU': 'Core i5', 'Loại CPU': '1334U', 'Tốc độ CPU tối thiểu': '1.3', 'Hãng (Card Oboard)': 'Intel', 'Model (Card Oboard)': 'UHD', 'Tên đầy đủ (Card onbroad)': 'Intel UHD Graphics', 'Dung lượng RAM': '16 GB (2 thanh 8 GB)', 'Loại RAM': 'DDR4', 'Số khe cắm rời': '2', 'Số khe RAM còn lại': '0', 'Số RAM onboard': '0', 'Hỗ trợ RAM tối đa': 'Không nâng cấp', 'Kiểu ổ cứng': 'SSD', 'Tổng số khe cắm SSD/HDD': '1', 'Số khe SSD/HDD còn lại': '0', 'Dung lượng nâng cấp tối đa ổ cứng': 'Nâng cấp tối đa 2TB (SSD M2 PCIe)', 'Loại SSD': '1 M.2 NVMe', 'Dung lượng SSD': '512', 'Kích thước màn hình': '15.6 inch', 'Công nghệ màn hình': 'Anti-Glare', 'Độ phân giải': '1920 x 1080 Pixels', 'Loại màn hình': 'LED', 'Tần số quét': '60 Hz', 'Tấm nền': 'SVA', 'Độ phủ màu': '45% NTSC', 'Tỷ lệ màn hình': '16:09', 'Cổng giao tiếp': '2 Type C', 'Wifi': 'Wifi 6', 'Bluetooth': 'v5.3', 'Webcam': 'HD 720p DualAryMic', 'OS': 'Windows', 'Version': 'Windows 11 Home Single Language', 'Bảo mật': 'Mật khẩu', 'Kiểu bàn phím': '6-row, multimedia Fn keys, numeric keypad', 'Bàn phím số': 'Có', 'Đèn bàn phím': 'Không', 'TouchPad': 'Multi-touch touchpad', 'Dung lượng pin': '41 Wh', 'Power Supply': '45 W', 'Phụ kiện trong hộp': 'Dây cáp sạc', 'Kích thước': '35.98 x 23.6 x 1.86 cm', 'Trọng lượng sản phẩm': '1.59 kg', 'Chất liệu': 'Vỏ máy: Nhựa', 'P/N': '9Q970PA', 'Xuất xứ': 'Trung Quốc', 'Thời điểm ra mắt': '2023', 'Thời gian bảo hành': '12', 'Màu sắc': 'Bạc'}"
"Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/15.6""FHD/Win11/Office HS24/OS365",https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-15-3520-i5-1235u-71061229,Dell,"[{'color': 'Bạc', 'price': 16490000}]","{'Hãng CPU': 'Intel', 'Công nghệ CPU': 'Core i5', 'Loại CPU': '1235U', 'Tốc độ tối đa': '4.4 GHz', 'Số nhân': '10', 'Số luồng': '12', 'Hãng (Card Oboard)': 'Intel', 'Model (Card Oboard)': 'UHD', 'Tên đầy đủ (Card onbroad)': 'Intel UHD Graphics', 'Dung lượng RAM': '16 GB (2 thanh 8 GB)', 'Loại RAM': 'DDR4', 'Tốc độ RAM': '2666 MHz', 'Số khe cắm rời': '2', 'Số khe RAM còn lại': '0', 'Số RAM onboard': '0', 'Hỗ trợ RAM tối đa': '16 GB', 'Kiểu ổ cứng': 'SSD', 'Loại SSD': '1 M.2 NVMe', 'Dung lượng SSD': '512', 'Kích thước màn hình': '15.6 inch', 'Công nghệ màn hình': 'Wide-Viewing Angle (WVA)', 'Độ phân giải': '1920 x 1080 Pixels', 'Loại màn hình': 'FHD', 'Tần số quét': '120', 'Tấm nền': 'WVA', 'Độ sáng': '250 nits', 'Độ phủ màu': '45% NTSC', 'Cổng giao tiếp': '2 USB 3.2 Gen 1\n2 USB 3.2 Gen 1 Type-C\n1 USB 2.0', 'Wifi': '802.11 ac', 'Bluetooth': 'v5.0', 'Webcam': 'HD Webcam (720p Webcam)', 'OS': 'Windows', 'Version': 'Windows 11 Home Single Language', 'Bảo mật': 'Mật khẩu', 'Kiểu bàn phím': 'English International Non-backlit Keyboard', 'Bàn phím số': 'Có', 'Đèn bàn phím': 'Không', 'TouchPad': 'Multi-touch touchpad', 'Loại PIN': 'Lithium polymer', 'Dung lượng pin': '3 Cell', 'Power Supply': '41 W', 'Phụ kiện trong hộp': 'Cáp\nSạc', 'Kích thước': '358.50 (W) x 235.56 (D) x 18.99 (H) mm', 'Trọng lượng sản phẩm': '1.9 kg', 'Chất liệu': 'Nhựa', 'P/N': '71061229', 'Xuất xứ': 'Trung Quốc', 'Thời điểm ra mắt': '2024', 'Thời gian bảo hành': '12', 'Màu sắc': 'Bạc'}"
"Laptop Lenovo Ideapad Slim 3 - 15ABR8 R5 5625U/16GB/512GB/15.6""FHD/Win 11",https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-slim-3-15abr8-82xm00mdvn,Lenovo,"[{'color': 'Xám', 'price': 11990000}]","{'Hãng CPU': 'AMD', 'Công nghệ CPU': 'Ryzen 5', 'Loại CPU': '5625U', 'Tốc độ CPU tối thiểu': '2.3', 'Tốc độ tối đa': '4.3 GHz', 'Số nhân': '6', 'Số luồng': '12', 'Bộ nhớ đệm': '16 MB', 'Hãng (Card Oboard)': 'AMD', 'Model (Card Oboard)': 'Radeon', 'Tên đầy đủ (Card onbroad)': 'AMD Radeon Graphics', 'Dung lượng RAM': '16 GB (1 thanh 16 GB)', 'Loại RAM': 'DDR4', 'Tốc độ RAM': '3200 MHz', 'Số khe cắm rời': '0', 'Số khe RAM còn lại': '0', 'Số RAM onboard': '1', 'Hỗ trợ RAM tối đa': '16 GB', 'Kiểu ổ cứng': 'SSD', 'Loại SSD': '1 M2. PCIe', 'Dung lượng SSD': '512', 'Kích thước màn hình': '15.6 inch', 'Công nghệ màn hình': 'IPS FHD', 'Độ phân giải': '1920 x 1080 Pixels', 'Loại màn hình': 'Màn hình phẳng', 'Tần số quét': '60 Hz', 'Tấm nền': 'IPS', 'Độ sáng': '300 nits', 'Độ phủ màu': '45% NTSC', 'Cổng giao tiếp': '2 USB 3.2 Gen 1\n1 USB 3.2 Gen 1 Type-C\n1 HDMI 1.4\n1 headphone/microphone combo\n1 Power connector\n1 SD Card', 'Wifi': 'Wifi 6', 'Bluetooth': 'v5.2', 'Webcam': 'HD Webcam (720p Webcam)', 'OS': 'Windows', 'Version': 'Windows 11 Home Single Language', 'Bảo mật': 'Mở khóa vân tay', 'Kiểu bàn phím': 'English International Non-backlit Keyboard', 'Bàn phím số': 'Có', 'Đèn bàn phím': 'Không', 'TouchPad': 'Multi-touch touchpad', 'Phụ kiện trong hộp': 'Bộ sạc điện\nSách HDSD', 'Kích thước': '359.3 x 235 x 17.9 mm', 'Trọng lượng sản phẩm': '1.62 kg', 'Chất liệu': 'Nhựa', 'P/N': '82XM00MDVN', 'Xuất xứ': 'Trung Quốc', 'Thời điểm ra mắt': '2024', 'Thời gian bảo hành': '24', 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Hướng dẫn sử dụng': 'Xem trong sách hướng dẫn sử dụng', 'Màu sắc': 'Xám'}"
"Laptop Asus Vivobook 15 X1502VA-BQ886W i7-13620H/16GB/512GB/15.6"" FHD/Win11",https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-15-x1502va-bq886w-i7-13620h,Asus,"[{'color': 'Bạc', 'price': 16390000}]","{'Hãng CPU': 'Intel', 'Công nghệ CPU': 'Core i7', 'Loại CPU': '13620H', 'Tốc độ CPU tối thiểu': '2.4', 'Tốc độ tối đa': '4.9 GHz', 'Bộ nhớ đệm': '24 MB', 'Hãng (Card Oboard)': 'Intel', 'Model (Card Oboard)': 'Iris Xe', 'Tên đầy đủ (Card onbroad)': 'Intel Iris Xe Graphics', 'Dung lượng RAM': '16 GB (2 thanh 8 GB)', 'Loại RAM': 'DDR4', 'Tốc độ RAM': '3200 MHz', 'Số khe cắm rời': '1', 'Số khe RAM còn lại': '0', 'Số RAM onboard': '1', 'Hỗ trợ RAM tối đa': 'Không nâng cấp', 'Kiểu ổ cứng': 'SSD', 'Tổng số khe cắm SSD/HDD': '1', 'Số khe SSD/HDD còn lại': '0', 'Dung lượng nâng cấp tối đa ổ cứng': 'Không hỗ trợ nâng cấp', 'Loại SSD': '1 M.2 NVMe', 'Dung lượng SSD': '512', 'Kích thước màn hình': '15.6 inch', 'Công nghệ màn hình': 'Led', 'Độ phân giải': '1920 x 1200 Pixels', 'Loại màn hình': 'Màn hình phẳng', 'Tần số quét': '60 Hz', 'Tấm nền': 'IPS', 'Độ sáng': '250 nits', 'Độ phủ màu': '45% NTSC color gamut', 'Tỷ lệ màn hình': '16:10', 'Cổng giao tiếp': 'Cổng sạc:\n1 USB 3.2 Gen 1 Type-C\n2 USB 3.2 Gen 1 Type-A\n1 HDMI 1.4\n1 Jack 3.5 mm\n1 DC-in jack\n1 USB 2.0', 'Wifi': 'Wifi 6E', 'Bluetooth': 'v5.3', 'Webcam': '720P HD camera With privacy shutter', 'OS': 'Windows', 'Version': 'Windows 11 Home', 'Bảo mật': 'Mật khẩu', 'Kiểu bàn phím': 'Chiclet Keyboard', 'Bàn phím số': 'Có', 'Đèn bàn phím': 'Không', 'TouchPad': 'Precision touchpad', 'Dung lượng pin': '42 WHrs', 'Power Supply': '65 W', 'Phụ kiện trong hộp': 'Sạc', 'Kích thước': '35.97 x 23.25 x 1.99 ~ 1.99 cm', 'Trọng lượng sản phẩm': '1.7 kg', 'Chất liệu': 'Mặt lưng máy: Plastic', 'P/N': '90NB10T2-M016E0', 'Xuất xứ': 'Trung Quốc', 'Thời điểm ra mắt': '2025', 'Thời gian bảo hành': '24', 'Màu sắc': 'Bạc'}"
Laptop HP 14s-em0086AU R5 7520U/16GB/512GB/14'FHD/AMD Radeon Graphics/Win11,https://fptshop.com.vn/may-tinh-xach-tay/hp-14s-em0086au-r5-7520u,HP,"[{'color': 'Bạc', 'price': 12790000}]","{'Hãng CPU': 'AMD', 'Công nghệ CPU': 'Ryzen 5', 'Loại CPU': '7520U', 'Tốc độ CPU tối thiểu': '2.8 Ghz', 'Tốc độ tối đa': '4.3 GHz', 'Số nhân': '4', 'Số luồng': '8', 'Bộ nhớ đệm': '4 MB', 'Hãng (Card Oboard)': 'AMD', 'Tên đầy đủ (Card onbroad)': 'AMD Radeon Graphics', 'Dung lượng RAM': '16 GB', 'Loại RAM': 'LPDDR5', 'Tốc độ RAM': '5500 MHz', 'Số khe cắm rời': '0', 'Số khe RAM còn lại': '0', 'Số RAM onboard': '1', 'Hỗ trợ RAM tối đa': 'Không nâng cấp', 'Kiểu ổ cứng': 'SSD', 'Loại SSD': 'M2. PCIe', 'Dung lượng SSD': '512 GB', 'Kích thước màn hình': '14 inch', 'Công nghệ màn hình': 'FHD', 'Độ phân giải': '1920 x 1080 Pixels', 'Loại màn hình': 'LED', 'Tần số quét': '60 Hz', 'Tấm nền': 'SVA', 'Độ sáng': '250 nits', 'Độ phủ màu': '45% NTSC', 'Tỷ lệ màn hình': '16:09', 'Hỗ trợ cảm ứng': 'Không', 'Cổng giao tiếp': '1 Type C\n2 USB 3.2 Gen 1\n1 HDMI 1.4\n1 Jack 3.5 mm', 'Wifi': 'Wifi 6', 'Bluetooth': 'v5.2', 'Webcam': '5.0 MP', 'OS': 'Windows', 'Version': 'Windows 11 Home', 'Bảo mật': 'Mật khẩu', 'Kiểu bàn phím': 'Chiclet Keyboard', 'Bàn phím số': 'Không', 'Đèn bàn phím': 'Không', 'TouchPad': 'Multi-touch touchpad', 'Dung lượng pin': '3 Cell', 'Power Supply': '45 W', 'Phụ kiện trong hộp': 'Adapter', 'Kích thước': '32.37 x 21.5 x 1.79 cm', 'Trọng lượng sản phẩm': '1.4 kg', 'Chất liệu': 'Vỏ máy: Nhựa', 'P/N': '835T9PA', 'Xuất xứ': 'Trung Quốc', 'Thời điểm ra mắt': '2023', 'Thời gian bảo hành': '12', 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Hướng dẫn sử dụng': 'Xem trong sách hướng dẫn sử dụng', 'Màu sắc': 'Bạc'}"
Laptop HP Pavilion 15-eg3111TU i5 1335U/16GB/512GB/15.6'FHD/Win11,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-15-eg3111tu-i5-1335u,HP,"[{'color': 'Bạc', 'price': 17490000}]","{'Hãng CPU': 'Intel', 'Công nghệ CPU': 'Core i5', 'Loại CPU': '1335U', 'Tốc độ CPU tối thiểu': '3.40 Ghz', 'Tốc độ tối đa': '4.60 GHz', 'Dung lượng RAM': '16 GB (2 thanh 8 GB)', 'Loại RAM': 'DDR4', 'Tốc độ RAM': '3200 MHz', 'Số khe cắm rời': '2', 'Số khe RAM còn lại': '0', 'Số RAM onboard': '0', 'Hỗ trợ RAM tối đa': '32 GB', 'Kiểu ổ cứng': 'SSD', 'Loại SSD': 'M2. PCIe', 'Dung lượng SSD': '512 GB', 'Kích thước màn hình': '15.6 inch', 'Công nghệ màn hình': 'LCD', 'Độ phân giải': 'FHD (1920 x 1080)', 'Tần số quét': '0 Hãng không công bố', 'Tấm nền': 'IPS', 'Hỗ trợ cảm ứng': 'Không', 'Cổng giao tiếp': '1 USB 3.2 Gen 2\n2 USB 3.2 Gen 1\n1 HDMI', 'Wifi': '802.11 ax', 'Bluetooth': 'v5.2', 'Webcam': 'HP TrueVision Webcam', 'OS': 'Windows', 'Version': 'Windows 11 Home Single Language', 'Bảo mật': 'Mật khẩu', 'Kiểu bàn phím': 'English International Non-backlit Keyboard', 'Bàn phím số': 'Có', 'Đèn bàn phím': 'Không', 'TouchPad': 'Multi-touch touchpad', 'Dung lượng pin': '3 Cell', 'Phụ kiện trong hộp': 'Adapter', 'Kích thước': '36.02 x 23.4 x 1.8 (W x D x H) cm', 'Trọng lượng sản phẩm': '1.68 kg', 'Chất liệu': 'Nhôm', 'P/N': '8U6L8PA', 'Xuất xứ': 'Việt Nam / Trung Quốc', 'Thời điểm ra mắt': '2023', 'Thời gian bảo hành': '12', 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Hướng dẫn sử dụng': 'Xem trong sách hướng dẫn sử dụng', 'Màu sắc': 'Bạc'}"
Laptop Asus Vivobook 15 OLED A1505VA-MA466W i5-13500H/16GB/512GB/15.6'' 2.8K/Win11,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-15-oled-a1505va-ma466w-i-5-13500h,Asus,"[{'color': 'Bạc', 'price': 16990000}]","{'Hãng CPU': 'Intel', 'Công nghệ CPU': 'Core i5', 'Loại CPU': '13500H', 'Tốc độ CPU tối thiểu': '2.6', 'Tốc độ tối đa': '4.7 GHz', 'Hãng (Card Oboard)': 'Intel', 'Model (Card Oboard)': 'Iris Xe', 'Tên đầy đủ (Card onbroad)': 'Intel Iris Xe Graphics', 'Dung lượng RAM': '16 GB (2 thanh 8 GB)', 'Loại RAM': 'DDR4', 'Tốc độ RAM': '3200 MHz', 'Số khe cắm rời': '1', 'Số khe RAM còn lại': '0', 'Số RAM onboard': '1', 'Hỗ trợ RAM tối đa': 'Không nâng cấp', 'Kiểu ổ cứng': 'SSD', 'Tổng số khe cắm SSD/HDD': '1', 'Số khe SSD/HDD còn lại': '0', 'Dung lượng nâng cấp tối đa ổ cứng': 'Không hỗ trợ nâng cấp', 'Loại SSD': '1 M.2 NVMe', 'Dung lượng SSD': '512', 'Kích thước màn hình': '15.6 inch', 'Công nghệ màn hình': 'OLED', 'Độ phân giải': '2880 x 1620 Pixels', 'Loại màn hình': 'OLED', 'Tần số quét': '120 Hz', 'Tấm nền': 'OLED', 'Độ sáng': '600 nits', 'Độ phủ màu': '100% DCI-P3 color gamut', 'Tỷ lệ màn hình': '16:09', 'Độ tương phản': '1000:1', 'Cổng giao tiếp': '1 DC-in jack\n1 Jack 3.5 mm\n1 HDMI 1.4\n2 USB 3.2 Gen 1 Type-A\n1 USB 3.2 Gen 1 Type-C\n1 USB 2.0', 'Wifi': 'Wifi 6E', 'Bluetooth': 'v5.3', 'Webcam': '720P HD camera', 'Công nghệ âm thanh': 'Asus SonicMaster stereo', 'OS': 'Windows', 'Version': 'Windows 11 Home', 'Bảo mật': 'Mật khẩu', 'Kiểu bàn phím': 'Chiclet Keyboard', 'Bàn phím số': 'Có', 'Đèn bàn phím': 'Không', 'TouchPad': 'Multi-touch touchpad', 'Dung lượng pin': '50 WHrs', 'Power Supply': '65 W', 'Phụ kiện trong hộp': 'Dây cáp sạc', 'Kích thước': '35.68 x 22.76 x 1.99 ~ 1.99 cm', 'Trọng lượng sản phẩm': '1.7 kg', 'Chất liệu': 'Vỏ máy: Nhựa', 'P/N': '90NB10P2-M00KK0', 'Xuất xứ': 'Trung Quốc', 'Thời điểm ra mắt': '2024', 'Thời gian bảo hành': '24', 'Màu sắc': 'Bạc'}"
"Laptop Acer Aspire Lite 14 Gen2 AL14-52M-32KV i3-1305U/8GB/256GB/14"" WUXGA/Win11",https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-lite-14-gen-2-al14-52m-32kv,Acer,"[{'color': 'Xám', 'price': 9790000}]","{'Hãng CPU': 'Intel', 'Công nghệ CPU': 'Core i3', 'Loại CPU': '1305U', 'Tốc độ tối đa': '4.5 GHz', 'Dung lượng RAM': '8 GB', 'Loại RAM': 'DDR5', 'Số khe cắm rời': '2', 'Số khe RAM còn lại': '1', 'Số RAM onboard': '2', 'Hỗ trợ RAM tối đa': '64 GB', 'Kiểu ổ cứng': 'SSD', 'Dung lượng nâng cấp tối đa ổ cứng': 'Nâng cấp tối đa 2TB (SSD M2 PCIe)', 'Loại SSD': '1 M.2 NVMe', 'Dung lượng SSD': '256', 'Kích thước màn hình': '14 inch', 'Công nghệ màn hình': 'FHD+', 'Độ phân giải': '1920 x 1200 Pixels', 'Tần số quét': '60 Hz', 'Tấm nền': 'IPS', 'Độ phủ màu': '45% NTSC', 'Cổng giao tiếp': '1 USB Type-C\n3 USB Type-A\n1 MicroSD card reader\n1 HDMI 1.4\n1 Jack 3.5 mm', 'Wifi': 'Wifi 6 AX201', 'Bluetooth': 'v5.1', 'Webcam': 'Full HD Webcam (1080p Webcam)', 'OS': 'Windows', 'Version': 'Windows 11 Home Single Language', 'Bảo mật': 'Mật khẩu', 'Kiểu bàn phím': 'English International Non-backlit Keyboard', 'Bàn phím số': 'Không', 'Đèn bàn phím': 'Không', 'TouchPad': 'Multi-touch touchpad', 'Loại PIN': 'Pin Li-ion', 'Dung lượng pin': '3 Cell', 'Phụ kiện trong hộp': 'Cáp\nSạc', 'Kích thước': '313.3 (W) x 218 (D) x 16.9 (H) mm', 'Trọng lượng sản phẩm': '1.5 kg', 'Chất liệu': 'Kim loại\nNhựa', 'P/N': 'NX.J38SV.003', 'Xuất xứ': 'Trung Quốc', 'Thời điểm ra mắt': '2025', 'Thời gian bảo hành': '12', 'Màu sắc': 'Xám'}"
"Laptop Dell Inspiron N3530 i5 1334U/16GB/512GB/15.6""FHD/Win11/Office HS21",https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3530-i5-1334u-71043885,Dell,"[{'color': 'Bạc', 'price': 18490000}]","{'Hãng CPU': 'Intel', 'Công nghệ CPU': 'Core i5', 'Loại CPU': '1334U', 'Tốc độ CPU tối thiểu': '3.4', 'Hãng (Card Oboard)': 'Intel', 'Tên đầy đủ (Card onbroad)': 'Intel Iris Xe Graphics', 'Dung lượng RAM': '16 GB (2 thanh 8 GB)', 'Loại RAM': 'DDR4', 'Số khe cắm rời': '0', 'Số khe RAM còn lại': '0', 'Số RAM onboard': '0', 'Hỗ trợ RAM tối đa': '16 GB', 'Kiểu ổ cứng': 'SSD', 'Loại SSD': 'M.2 PCIe NVMe', 'Dung lượng SSD': '512', 'Kích thước màn hình': '15.6 inch', 'Công nghệ màn hình': 'Anti-Glare LED Backlit', 'Độ phân giải': 'FHD (1920 x 1080)', 'Tần số quét': '120 Hz', 'Tấm nền': 'WVA', 'Độ sáng': '250 nits', 'Cổng giao tiếp': '2 USB 3.2 Gen 1 Type-C\n1 USB 2.0\n1 USB 3.2 Gen 1\n1 headphone/microphone combo\n1 RJ45 Gigabit Ethernet\n1 HDMI', 'Wifi': '802.11 ax', 'Bluetooth': 'v5.2', 'Webcam': 'HD Webcam (720p Webcam)', 'OS': 'Windows', 'Version': 'Windows 11 Home', 'Phần mềm khác': 'Microsoft Office Home&Student 2021 vĩnh viễn', 'Bảo mật': 'Mật khẩu', 'Kiểu bàn phím': 'English International Non-backlit Keyboard', 'Bàn phím số': 'Có', 'Đèn bàn phím': 'Không', 'TouchPad': 'Multi-touch touchpad', 'Loại PIN': 'Pin Li-ion', 'Dung lượng pin': '3 Cell', 'Phụ kiện trong hộp': 'Adapter\nDây nguồn', 'Kích thước': '358.50 x 235.56 x 18.99 mm', 'Trọng lượng sản phẩm': '1.66 kg', 'Chất liệu': 'Nhựa', 'P/N': '71043885', 'Xuất xứ': 'Trung Quốc', 'Thời điểm ra mắt': '2024', 'Thời gian bảo hành': '12', 'Màu sắc': 'Bạc'}"
"Laptop MSI Gaming Thin A15 B7UC-261VN R5 7535HS/16GB/512GB/15.6"" FHD/RTX3050_4GB/Win11_Balo",https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-thin-a15-b7uc-261vn-r5-7535hs,MSI,"[{'color': 'Xám', 'price': 17490000}]","{'Hãng CPU': 'AMD', 'Công nghệ CPU': 'Ryzen 5', 'Loại CPU': '7535HS', 'Tốc độ CPU tối thiểu': '3.3', 'Tốc độ tối đa': '4.5 GHz', 'Số nhân': '6', 'Số luồng': '12', 'Hãng (Card rời)': 'NVIDIA', 'Model (Card rời)': 'GeForce RTX 3050', 'Tên đầy đủ (Card rời)': 'NVIDIA GeForce RTX 3050 4GB', 'Bộ nhớ': '4 GB GDDR6', 'Hiệu suất AI (TOPS)': '143', 'Dung lượng RAM': '16 GB (2 thanh 8 GB)', 'Loại RAM': 'DDR5', 'Tốc độ RAM': '4800 MHz', 'Số khe cắm rời': '2', 'Số khe RAM còn lại': '0', 'Số RAM onboard': '0', 'Hỗ trợ RAM tối đa': '64 GB', 'Kiểu ổ cứng': 'SSD', 'Loại SSD': '1 M.2 NVMe', 'Dung lượng SSD': '512', 'Kích thước màn hình': '15.6 inch', 'Công nghệ màn hình': 'Anti-Glare LED-Backlit Display', 'Độ phân giải': '1920 x 1080 Pixels', 'Loại màn hình': 'LED', 'Tần số quét': '144 Hz', 'Tấm nền': 'IPS', 'Độ sáng': '250 nits', 'Độ phủ màu': '45% NTSC', 'Cổng giao tiếp': '1 USB 3.2 Gen 2 Type-C\n3 USB 3.2 Gen 1 Type-A\n1 HDMI 2.1\n1 RJ45 Gigabit Ethernet', 'Wifi': 'Wifi 6E', 'Bluetooth': 'v5.3', 'Webcam': 'HD Webcam (720p Webcam)', 'OS': 'Windows', 'Version': 'Windows 11 Home Single Language', 'Bảo mật': 'Mật khẩu', 'Kiểu bàn phím': 'Single Backlit Keyboard', 'Bàn phím số': 'Không', 'Đèn bàn phím': 'LED', 'Màu đèn LED': 'Xanh', 'TouchPad': 'Multi-touch touchpad', 'Loại PIN': 'Lithium-ion', 'Dung lượng pin': '52.4 Wh', 'Power Supply': '120 W', 'Phụ kiện trong hộp': 'Bộ sạc điện\nBalo', 'Kích thước': '359 x 254 x 21.7 mm', 'Trọng lượng sản phẩm': '1.86 kg', 'Chất liệu': 'Kim loại\nNhựa', 'P/N': 'Thin A15 B7UC-261VN', 'Xuất xứ': 'Trung Quốc', 'Thời điểm ra mắt': '01/2024', 'Thời gian bảo hành': '24', 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Hướng dẫn sử dụng': 'Xem trong sách hướng dẫn sử dụng', 'Màu sắc': 'Xám'}"
