name,url,brand,prices,specifications
Màn hình LG 24MR400-B/23.8 inch FullHD (1920x1080)/IPS 100Hz,https://fptshop.com.vn/man-hinh/lg-24mr400-b-23-8-inch-fhd-ips-100hz,LG,"[{'color': 'Đen', 'price': 2250000}]","{'Model': '24MR400-B', 'Xuất xứ': 'Trung Quốc', 'Thời gian bảo hành': '24', 'Màu sắc': 'Đen', 'Kích thước có chân đế': '540,0 x 414,0 x 200,0 mm', 'Kích thước không chân đế': '540,0 x 320,6 x 50,5 mm', 'Trọng lượng sản phẩm có chân đế': '2.9 kg', 'Kiểu chân đế': 'Vuông', 'Thời gian phản hồi': '5ms', 'Điện áp': '220 - 240 V', 'Loại màn hình': 'Màn hình phẳng', 'Kích thước màn hình': '23.8 inch', 'Công nghệ màn hình': 'IPS', 'Độ phân giải': '1920 x 1080 Pixels', 'Chuẩn màn hình': 'FHD', 'Độ sáng': '250 nits', 'Độ tương phản': '1300:1', 'Tấm nền': 'IPS', 'Tần số quét': '100 Hz', 'Tỷ lệ màn hình': '16:09', 'Màu màn hình': '16.7 Triệu', 'Cổng giao tiếp': 'Đầu vào: HDMI\nĐầu vào: VGA/D-sub', 'Phụ kiện trong hộp': 'Dây nguồn'}"
Màn hình MSI Pro MP225V/21.5inch FHD(1920x1080)/VA 100Hz,https://fptshop.com.vn/man-hinh/msi-pro-mp225v-21-5-inch-fhd-va-100hz,MSI,"[{'color': 'Đen', 'price': 1590000}]","{'Model': 'MP225V', 'Xuất xứ': 'Trung Quốc', 'Thời điểm ra mắt': '2024', 'Thời gian bảo hành': '24', 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Hướng dẫn sử dụng': 'Xem trong sách hướng dẫn sử dụng', 'Màu sắc': 'Đen', 'Kích thước có chân đế': '492.9 x 182.4 x 377.8 mm', 'Trọng lượng sản phẩm có chân đế': '4.3 kg', 'Kiểu chân đế': 'Vuông', 'Góc nhìn': '178°(Dọc) / 178°(Ngang)', 'Thời gian phản hồi': '1ms', 'Điện áp': '100 - 240 V / 50 - 60 Hz', 'Loại màn hình': 'LED', 'Kích thước màn hình': '21.5 inch', 'Công nghệ màn hình': 'VA', 'Độ phân giải': '1920 x 1080 Pixels', 'Chuẩn màn hình': 'FHD', 'Độ sáng': '300 nits', 'Độ tương phản': '1000:1', 'Tấm nền': 'VA', 'Tần số quét': '100 Hz', 'Tỷ lệ màn hình': '16:09', 'Màu màn hình': '1.07 tỷ', 'Phụ kiện trong hộp': 'Dây nguồn'}"
"Màn hình Đồ họa Samsung ViewFinity S7 S70D LS27D700EAEXXV/27 inch/4K(3,840 x 2,160)/IPS 60Hz",https://fptshop.com.vn/man-hinh/samsung-viewfinity-s7-s70d-ls27d700eaexxv,Samsung,"[{'color': 'Đen', 'price': 5690000}]","{'Model': 'LS27D700EAEXXV', 'Xuất xứ': 'Việt Nam', 'Thời gian bảo hành': '24', 'Màu sắc': 'Đen', 'Kích thước có chân đế': '612.9 x 473.2 x 180 mm', 'Trọng lượng sản phẩm có chân đế': '6.6 kg', 'Kiểu chân đế': 'Vuông', 'Góc nhìn': '178°(Dọc) / 178°(Ngang)', 'Thời gian phản hồi': '5ms', 'Điện áp': '220 - 240 V', 'Loại màn hình': 'LED', 'Kích thước màn hình': '27 inch', 'Công nghệ màn hình': 'IPS LCD', 'Độ phân giải': '3840 x 2160 Pixels', 'Chuẩn màn hình': '4K', 'Độ sáng': '350 nits', 'Độ tương phản': '1000:1', 'Tấm nền': 'IPS', 'Tần số quét': '60 Hz', 'Tỷ lệ màn hình': '16:09', 'Màu màn hình': '1.07 tỷ', 'Cổng giao tiếp': 'Đầu vào: HDMI\nĐầu vào: DisplayPort 1.2', 'Phụ kiện trong hộp': 'Dây nguồn\nDây HDMI'}"
Màn hình Gaming LG 24GS50F-B.ATVQ/FullHD (1920x1080)/VA 180Hz,https://fptshop.com.vn/man-hinh/man-hinh-gaming-lg-24gs50f-batvq-fhd,LG,"[{'color': 'Đen', 'price': 2650000}]","{'Model': '24GS50F-B.ATVQ', 'Xuất xứ': 'Trung Quốc', 'Thời gian bảo hành': '24', 'Màu sắc': 'Đen', 'Kích thước có chân đế': '714.3 x 420.0 x 45.7 mm', 'Trọng lượng sản phẩm có chân đế': '6.7 kg', 'Kiểu chân đế': 'Chân chữ V', 'Góc nhìn': '178°(Dọc) / 178°(Ngang)', 'Thời gian phản hồi': '1ms', 'Điện áp': '220 - 240 V', 'Loại màn hình': 'Màn hình phẳng', 'Kích thước màn hình': '24 inch', 'Công nghệ màn hình': 'VA', 'Độ phân giải': '1920 x 1080 Pixels', 'Chuẩn màn hình': 'FHD', 'Độ sáng': '250 nits', 'Độ tương phản': '3000:1', 'Tấm nền': 'VA', 'Tần số quét': '180 Hz', 'Tỷ lệ màn hình': '16:09', 'Màu màn hình': '1.07 tỷ', 'Cổng giao tiếp': 'Đầu vào: HDMI 1.4\nĐầu vào: DisplayPort 1.4', 'Phụ kiện trong hộp': 'Dây nguồn\nDây HDMI'}"
Màn hình MSI MP251 E2/24.5 inch FullHD (1920x1080)/IPS 120Hz,https://fptshop.com.vn/man-hinh/msi-mp251-e2-24-5-inch-fullhd,MSI,"[{'color': 'Đen', 'price': 2290000}]","{'Model': 'MP251 E2', 'Xuất xứ': 'Trung Quốc', 'Thời gian bảo hành': '24', 'Màu sắc': 'Đen', 'Kích thước có chân đế': '557.5 x 207.2 x 422.1 mm', 'Trọng lượng sản phẩm có chân đế': '4 kg', 'Kiểu chân đế': 'Vuông', 'Góc nhìn': '178°(Dọc) / 178°(Ngang)', 'Thời gian phản hồi': '1ms', 'Điện áp': '220 - 240 V', 'Đầu ra âm thanh': 'Tai nghe, Loa PC (Internal Speaker)', 'Loại màn hình': 'Màn hình phẳng', 'Kích thước màn hình': '24.5 inch', 'Công nghệ màn hình': 'IPS', 'Độ phân giải': '1920 x 1080 Pixels', 'Chuẩn màn hình': 'FHD', 'Độ sáng': '300 nits', 'Độ tương phản': '1500:1', 'Tấm nền': 'IPS', 'Tần số quét': '120 Hz', 'Tỷ lệ màn hình': '16:09', 'Màu màn hình': '16.7 Triệu', 'Cổng giao tiếp': 'Đầu vào: HDMI\nĐầu vào: DisplayPort', 'Phụ kiện trong hộp': 'Dây nguồn\nDây HDMI'}"
Màn hình LG 27MR400-B/27 inch FullHD (1920x1080)/IPS 100Hz,https://fptshop.com.vn/man-hinh/lg-27mr400-b-27-inch,LG,"[{'color': 'Đen', 'price': 2650000}]","{'Model': '27MR400-B', 'Xuất xứ': 'Trung Quốc', 'Thời gian bảo hành': '24', 'Màu sắc': 'Đen', 'Kích thước có chân đế': '611,7 x 456,1 x 200,0 mm', 'Kích thước không chân đế': '611,7 x 362,3 x 50,5 mm', 'Trọng lượng sản phẩm có chân đế': '3.2 kg', 'Kiểu chân đế': 'Vuông', 'Thời gian phản hồi': '5ms', 'Điện áp': '220 - 240 V', 'Loại màn hình': 'Màn hình phẳng', 'Kích thước màn hình': '27 inch', 'Công nghệ màn hình': 'IPS', 'Độ phân giải': '1920 x 1080 Pixels', 'Chuẩn màn hình': 'FHD', 'Độ sáng': '250 nits', 'Độ tương phản': '1300:1', 'Tấm nền': 'IPS', 'Tần số quét': '100 Hz', 'Tỷ lệ màn hình': '16:09', 'Màu màn hình': '16.7 Triệu', 'Cổng giao tiếp': 'Đầu vào: HDMI\nĐầu vào: VGA/D-sub', 'Phụ kiện trong hộp': 'Dây nguồn'}"
Màn hình Gaming Acer Nitro KG270 M5/27inch/FHD (1920X1080)/IPS 180Hz,https://fptshop.com.vn/man-hinh/acer-nitro-kg270-m5-27inch-fhd,Acer,"[{'color': 'Đen', 'price': 3090000}]","{'Model': 'UM.HX0SV.501', 'Xuất xứ': 'Trung Quốc', 'Thời gian bảo hành': '36', 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Hướng dẫn sử dụng': 'Xem trong sách hướng dẫn sử dụng', 'Màu sắc': 'Đen', 'Kích thước có chân đế': '61.49 x 19.84 x 46.57 cm', 'Trọng lượng sản phẩm có chân đế': '3.3 kg', 'Kiểu chân đế': 'Chân chữ V', 'Góc nhìn': '178°(Dọc) / 178°(Ngang)', 'Thời gian phản hồi': '1ms', 'Tiêu thụ năng lượng': '21 W', 'Tiêu thụ năng lượng màn hình chờ': '0.5 W', 'Điện áp': '100 - 240 V / 50 - 60 Hz', 'Loại màn hình': 'LCD', 'Kích thước màn hình': '27 inch', 'Công nghệ màn hình': 'IPS LCD', 'Độ phân giải': '1920 x 1080 Pixels', 'Chuẩn màn hình': 'FHD', 'Độ sáng': '250 nits', 'Độ tương phản': '1000:1', 'Tấm nền': 'IPS', 'Tần số quét': '180 Hz', 'Tỷ lệ màn hình': '16:09', 'Màu màn hình': '16.7 Triệu', 'Cổng giao tiếp': 'Đầu vào: HDMI 2.0\nĐầu vào: DisplayPort 1.4', 'Phụ kiện trong hộp': 'Dây nguồn'}"
Màn hình Acer EK251Q G/24.5inch/FHD (1920X1080)/IPS 120Hz,https://fptshop.com.vn/man-hinh/acer-ek251q-g-24-5-inch,Acer,"[{'color': 'Đen', 'price': 2190000}]","{'Model': 'UM.KE1SV.G01', 'Xuất xứ': 'Trung Quốc', 'Thời gian bảo hành': '36', 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Hướng dẫn sử dụng': 'Xem trong sách hướng dẫn sử dụng', 'Màu sắc': 'Đen', 'Kích thước có chân đế': '55.75 x 42.24 x 19.20 cm', 'Trọng lượng sản phẩm có chân đế': '2.8 kg', 'Kiểu chân đế': 'Vuông', 'Góc nhìn': '178°(Dọc) / 178°(Ngang)', 'Thời gian phản hồi': '1ms', 'Tiêu thụ năng lượng': '18 W', 'Tiêu thụ năng lượng màn hình chờ': '0.5 W', 'Điện áp': '100 - 240 V / 50 - 60 Hz', 'Loại màn hình': 'LCD', 'Kích thước màn hình': '24.5 inch', 'Công nghệ màn hình': 'IPS LCD', 'Độ phân giải': '1920 x 1080 Pixels', 'Chuẩn màn hình': 'FHD', 'Độ sáng': '250 nits', 'Độ tương phản': '1500:1', 'Tấm nền': 'IPS', 'Tần số quét': '120 Hz', 'Tỷ lệ màn hình': '16:09', 'Màu màn hình': '16.7 Triệu', 'Cổng giao tiếp': 'Đầu vào: HDMI 1.4\nĐầu vào: VGA', 'Phụ kiện trong hộp': 'Dây nguồn'}"
Màn hình MSI Pro MP275Q/27 inch 2K(2560x1440)/IPS 100hz,https://fptshop.com.vn/man-hinh/msi-pro-mp275q-27-inch-2k,MSI,"[{'color': 'Đen', 'price': 3840000}]","{'Model': 'MP275Q', 'Xuất xứ': 'Trung Quốc', 'Thời gian bảo hành': '24', 'Màu sắc': 'Đen', 'Kích thước có chân đế': '614.0 x 456.7 x 207.2 mm', 'Trọng lượng sản phẩm có chân đế': '4.1 kg', 'Kiểu chân đế': 'Vuông', 'Góc nhìn': '178°(Dọc) / 178°(Ngang)', 'Thời gian phản hồi': '1ms', 'Điện áp': '220 - 240 V', 'Loại màn hình': 'Màn hình phẳng', 'Kích thước màn hình': '27 inch', 'Công nghệ màn hình': 'IPS', 'Độ phân giải': '2560 x 1440 Pixels', 'Chuẩn màn hình': 'WQHD', 'Độ sáng': '300 nits', 'Độ tương phản': '1300:1', 'Tấm nền': 'IPS', 'Tần số quét': '100 Hz', 'Tỷ lệ màn hình': '16:09', 'Màu màn hình': '16.7 Triệu', 'Cổng giao tiếp': 'Đầu vào: HDMI\nĐầu vào: DisplayPort', 'Phụ kiện trong hộp': 'Dây nguồn\nDây HDMI'}"
Màn hình Đồ họa Asus ProArt PA278QV/27 inch/2K/75Hz/5ms,https://fptshop.com.vn/man-hinh/asus-proart-pa278qv-27-inch-2k-75hz-5ms,Asus,"[{'color': 'Bạc', 'price': 7990000}]","{'Model': 'PA278QV', 'Xuất xứ': 'Trung Quốc', 'Thời điểm ra mắt': '2022', 'Thời gian bảo hành': '36', 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Hướng dẫn sử dụng': 'Xem trong sách hướng dẫn sử dụng', 'Màu sắc': 'Bạc', 'Kích thước có chân đế': '615 x (382~532) x 226 mm', 'Kích thước không chân đế': '615 x 372 x 51 mm', 'Trọng lượng sản phẩm có chân đế': '7.56 kg', 'Kiểu chân đế': 'Vuông', 'Góc nhìn': '178°(Dọc) / 178°(Ngang)', 'Thời gian phản hồi': '5ms', 'Tiêu thụ năng lượng': '18 W', 'Tiêu thụ năng lượng màn hình chờ': '0.5 W', 'Điện áp': '100 - 240 V / 50 - 60 Hz', 'Kích thước màn hình': '27 inch', 'Độ phân giải': '2560 x 1440 Pixels', 'Chuẩn màn hình': '2K', 'Độ sáng': '350 nits', 'Độ tương phản': '1000:1', 'Tấm nền': 'IPS', 'Tần số quét': '75 Hz', 'Tỷ lệ màn hình': '16:09', 'Màu màn hình': '16.7 Triệu', 'Cổng giao tiếp': '4 USB 3.2 Gen 1\n1 DisplayPort 1.2\n1 Mini Display Port\n1 HDMI 1.4\n1 DVI-D\n1 Jack 3.5 mm', 'Phụ kiện trong hộp': 'Cáp HDMI\nCáp DisplayPort'}"
