name,url,brand,prices,specifications
PC Gaming E-Power N3050 Core i5 12400F / RAM 16GB / SSD 512GB / 650W / RTX 3050 6GB,https://fptshop.com.vn/may-tinh-de-ban/pc-gaming-e-power-n3050-core-i5-12400f,E-Power,"[{'color': 'Đen', 'price': 14690000}]","{'Hãng CPU': 'Intel', 'Công nghệ CPU': 'Core i5', 'Loại CPU': '12400F', 'Số nhân': '6', 'Số luồng': '12', 'Đồ họa tổng hợp': 'NVIDIA RTX 3050 OC 6GB', 'Khe RAM tối đa': '2 khe', 'Số khe RAM còn lại': '0', 'Hỗ trợ RAM tối đa': '128GB', 'Dung lượng RAM': '16 GB (2 thanh 8 GB)', 'Loại RAM': 'DDR4', 'Tốc độ RAM': '3200 MHz', 'Kiểu ổ cứng': 'SSD', 'Tổng số khe cắm SSD/HDD': 'M.2 slot x 1', 'Số khe SSD/HDD còn lại': '1 SSD', 'Cổng giao tiếp': 'Audio Jack: USB 3.2', 'Dạng tản nhiệt': 'Tản khí', 'Chất liệu tản nhiệt': 'Copper, Aluminum', 'OS': 'Không', 'Chipset': 'AMD B450', 'Công suất': 'Tổng: 650 W', 'Kích thước': '299 x 310 x 345 mm', 'Trọng lượng sản phẩm': '5.5 kg', 'Loại Case': 'MID tower', 'Chất liệu': 'Khung máy: Kim loại', 'Kích thước Mainboard': 'm-ATX', 'Xuất xứ': 'Việt Nam / Trung Quốc', 'Thời điểm ra mắt': '2023', 'Thời gian bảo hành': '36 tháng', 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Hướng dẫn sử dụng': 'Xem trong sách hướng dẫn sử dụng', 'Màu sắc': 'Đen'}"
PC Gaming E-Power N3050 Ryzen 5 5500 / RAM 16GB / SSD 512GB / 650W / RTX 3050 6GB,https://fptshop.com.vn/may-tinh-de-ban/pc-gaming-e-power-n3050-ryzen-5-5500,E-Power,"[{'color': 'Đen', 'price': 12790000}]","{'Hãng CPU': 'AMD', 'Công nghệ CPU': 'Ryzen 5', 'Loại CPU': '5500', 'Số nhân': '6', 'Số luồng': '12', 'Đồ họa tổng hợp': 'NVIDIA RTX 3050 OC 6GB', 'Khe RAM tối đa': '4 khe', 'Số khe RAM còn lại': '2', 'Hỗ trợ RAM tối đa': '128GB', 'Dung lượng RAM': '16 GB (2 thanh 8 GB)', 'Loại RAM': 'DDR4', 'Tốc độ RAM': '3200 MHz', 'Kiểu ổ cứng': 'SSD', 'Tổng số khe cắm SSD/HDD': 'M.2 slot x 1', 'Số khe SSD/HDD còn lại': '1 SSD', 'Cổng giao tiếp': 'Audio Jack: USB 3.2', 'Dạng tản nhiệt': 'Tản khí', 'Chất liệu tản nhiệt': 'Copper, Aluminum', 'OS': 'Không', 'Chipset': 'AMD B450', 'Công suất': 'Tổng: 650 W', 'Kích thước': '299 x 310 x 345 mm', 'Trọng lượng sản phẩm': '5.5 kg', 'Loại Case': 'MID tower', 'Chất liệu': 'Khung máy: Kim loại', 'Kích thước Mainboard': 'm-ATX', 'Xuất xứ': 'Việt Nam / Trung Quốc', 'Thời điểm ra mắt': '2023', 'Thời gian bảo hành': '36 tháng', 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Hướng dẫn sử dụng': 'Xem trong sách hướng dẫn sử dụng', 'Màu sắc': 'Đen'}"
PC Gaming E-Power N4060 AMD Ryzen7 5700X/B550/RAM 16GB/SSD 500GB/PSU 750W/RTX 4060 Đen,https://fptshop.com.vn/may-tinh-de-ban/pc-gaming-e-power-n4060-amd-ryzen7-5700x,E-Power,"[{'color': 'Đen', 'price': 21040000}]","{'Hãng CPU': 'AMD', 'Công nghệ CPU': 'Ryzen 7', 'Loại CPU': '5700X', 'Số nhân': '8', 'Số luồng': '16', 'Đồ họa tổng hợp': 'Đang cập nhật', 'Khe RAM tối đa': '4 khe', 'Số khe RAM còn lại': '1', 'Hỗ trợ RAM tối đa': '128GB', 'Dung lượng RAM': '16 GB (2 thanh 8 GB)', 'Loại RAM': 'DDR4', 'Tốc độ RAM': '3200 MHz', 'Kiểu ổ cứng': 'SSD', 'Tổng số khe cắm SSD/HDD': 'M.2 slot x 1', 'Số khe SSD/HDD còn lại': '1 SSD', 'Cổng giao tiếp': 'Audio Jack: USB 3.2', 'Dạng tản nhiệt': 'Tản nước', 'Chất liệu tản nhiệt': 'Copper, Aluminum', 'OS': 'Không', 'Chipset': 'AMD B550', 'Công suất': 'Tổng: 750 W', 'Kích thước': '299 x 310 x 345 mm', 'Trọng lượng sản phẩm': '5.5 kg', 'Loại Case': 'MID tower', 'Chất liệu': 'Khung máy: Kim loại', 'Kích thước Mainboard': 'm-ATX', 'Xuất xứ': 'Việt Nam / Trung Quốc', 'Thời điểm ra mắt': '2024', 'Thời gian bảo hành': '36 tháng', 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Hướng dẫn sử dụng': 'Xem trong sách hướng dẫn sử dụng', 'Màu sắc': 'Đen'}"
PC Gaming E-Power N3060 B760 Core i5 12400F/16GB/500GB/650W/Geforce RTX 3060 12GB,https://fptshop.com.vn/may-tinh-de-ban/pc-gaming-e-power-n3060-b760-i5-12400f,E-Power,"[{'color': 'Đen', 'price': 16990000}]","{'Hãng CPU': 'Intel', 'Công nghệ CPU': 'Core i5', 'Loại CPU': '12400F', 'Số nhân': '6', 'Số luồng': '12', 'Đồ họa tổng hợp': 'NVIDIA GeForce RTX 3060 12GB', 'Khe RAM tối đa': '2 khe', 'Số khe RAM còn lại': '1', 'Hỗ trợ RAM tối đa': '64 GB', 'Dung lượng RAM': '16 GB (2 thanh 8 GB)', 'Loại RAM': 'DDR4', 'Tốc độ RAM': '3200 MHz', 'Kiểu ổ cứng': 'SSD', 'Tổng số khe cắm SSD/HDD': 'M.2 slot x 1', 'Số khe SSD/HDD còn lại': '1 SSD', 'Cổng giao tiếp': 'Audio Jack: USB 3.2', 'Dạng tản nhiệt': 'Tản khí', 'Chất liệu tản nhiệt': 'Lá tản nhiệt nhôm', 'OS': 'Không', 'Chipset': 'Intel B760', 'Công suất': 'Tổng: 650 W', 'Kích thước': '430 x 218 x 395 mm', 'Trọng lượng sản phẩm': '7 kg', 'Loại Case': 'MID tower', 'Chất liệu': 'Khung máy: Kim loại', 'Kích thước Mainboard': 'm-ATX', 'Xuất xứ': 'Việt Nam / Trung Quốc', 'Thời điểm ra mắt': '2025', 'Thời gian bảo hành': '36 tháng', 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Hướng dẫn sử dụng': 'Xem trong sách hướng dẫn sử dụng', 'Màu sắc': 'Đen'}"
PC E-Power Office 30 AMD Ryzen 3 3200G / RAM 16GB / SSD 256GB / 450W,https://fptshop.com.vn/may-tinh-de-ban/pc-e-power-office-30-amd-ryzen-3-3200g-ram-16gb,E-Power,"[{'color': 'Đen', 'price': 5490000}]","{'Hãng CPU': 'AMD', 'Công nghệ CPU': 'Ryzen 3', 'Loại CPU': '3200G', 'Đồ họa tổng hợp': 'AMD Radeon Graphics', 'Khe RAM tối đa': '2 khe', 'Số khe RAM còn lại': '0', 'Hỗ trợ RAM tối đa': '64 GB', 'Dung lượng RAM': '16 GB (2 thanh 8 GB)', 'Kiểu ổ cứng': 'SSD', 'Tổng số khe cắm SSD/HDD': '3', 'Số khe SSD/HDD còn lại': '1 SSD + 1 HDD', 'Cổng giao tiếp': 'Đầu ra: HDMI', 'Công suất': 'Bên trên: 450 W', 'Kích thước': '293 x 160 x 382 mm', 'Trọng lượng sản phẩm': '5 kg', 'Chất liệu': 'Khung máy: Kim loại', 'Xuất xứ': 'Việt Nam / Trung Quốc', 'Thời điểm ra mắt': '2024', 'Thời gian bảo hành': '36 tháng', 'Màu sắc': 'Đen'}"
PC E-Power Office 31 AMD Ryzen 5 4600G / RAM 16GB / SSD 512GB / 450W,https://fptshop.com.vn/may-tinh-de-ban/pc-e-power-office-31-amd-ryzen-5-4600g-ram-16gb,E-Power,"[{'color': 'Đen', 'price': 6990000}]","{'Hãng CPU': 'AMD', 'Công nghệ CPU': 'Ryzen 5', 'Loại CPU': '4600G', 'Đồ họa tổng hợp': 'AMD Radeon Graphics', 'Khe RAM tối đa': '2 khe', 'Số khe RAM còn lại': '0', 'Hỗ trợ RAM tối đa': '64 GB', 'Dung lượng RAM': '16 GB (2 thanh 8 GB)', 'Kiểu ổ cứng': 'SSD', 'Tổng số khe cắm SSD/HDD': '3', 'Số khe SSD/HDD còn lại': '1 SSD + 1 HDD', 'Cổng giao tiếp': 'Đầu ra: HDMI', 'Công suất': 'Bên trên: 450 W', 'Kích thước': '293 x 160 x 382 mm', 'Trọng lượng sản phẩm': '5 kg', 'Chất liệu': 'Khung máy: Kim loại', 'Xuất xứ': 'Việt Nam / Trung Quốc', 'Thời điểm ra mắt': '2024', 'Thời gian bảo hành': '36 tháng', 'Màu sắc': 'Đen'}"
PC E-Power Office 32 AMD Ryzen 5 5600G / RAM 16GB / SSD 512GB / 450W,https://fptshop.com.vn/may-tinh-de-ban/pc-e-power-office-32-amd-ryzen-5-5600g-ram-16gb,E-Power,"[{'color': 'Đen', 'price': 7890000}]","{'Hãng CPU': 'AMD', 'Công nghệ CPU': 'Ryzen 5', 'Loại CPU': '5600G', 'Đồ họa tổng hợp': 'AMD Radeon Graphics', 'Khe RAM tối đa': '2 khe', 'Số khe RAM còn lại': '0', 'Hỗ trợ RAM tối đa': '64 GB', 'Dung lượng RAM': '16 GB (2 thanh 8 GB)', 'Kiểu ổ cứng': 'SSD', 'Tổng số khe cắm SSD/HDD': '3', 'Số khe SSD/HDD còn lại': '1 SSD + 1 HDD', 'Cổng giao tiếp': 'Đầu ra: HDMI', 'Công suất': 'Bên trên: 450 W', 'Kích thước': '293 x 160 x 382 mm', 'Trọng lượng sản phẩm': '5 kg', 'Chất liệu': 'Khung máy: Kim loại', 'Xuất xứ': 'Việt Nam / Trung Quốc', 'Thời điểm ra mắt': '2024', 'Thời gian bảo hành': '36 tháng', 'Màu sắc': 'Đen'}"
PC E-Power Office 34 Intel Core i5 12400 / RAM 16GB / SSD 512GB / 450W,https://fptshop.com.vn/may-tinh-de-ban/pc-e-power-office-34-intel-core-i5-12400-ram-16gb,E-Power,"[{'color': 'Đen', 'price': 8290000}]","{'Hãng CPU': 'Intel', 'Công nghệ CPU': 'Core i5', 'Loại CPU': '12400', 'Đồ họa tổng hợp': 'Intel UHD Graphics 730', 'Khe RAM tối đa': '2 khe', 'Số khe RAM còn lại': '0', 'Hỗ trợ RAM tối đa': '64 GB', 'Dung lượng RAM': '16 GB (2 thanh 8 GB)', 'Kiểu ổ cứng': 'SSD', 'Tổng số khe cắm SSD/HDD': '3', 'Số khe SSD/HDD còn lại': '1 SSD + 1 HDD', 'Cổng giao tiếp': 'Đầu ra: HDMI', 'Công suất': 'Bên trên: 450 W', 'Kích thước': '293 x 160 x 382 mm', 'Trọng lượng sản phẩm': '5 kg', 'Chất liệu': 'Khung máy: Kim loại', 'Xuất xứ': 'Việt Nam / Trung Quốc', 'Thời điểm ra mắt': '2024', 'Thời gian bảo hành': '36 tháng', 'Màu sắc': 'Đen'}"
PC E-Power Office 35 AMD Ryzen 7 5700G / RAM 16GB / SSD 512GB / 550W,https://fptshop.com.vn/may-tinh-de-ban/pc-e-power-office-35-amd-ryzen-7-5700g,E-Power,"[{'color': 'Đen', 'price': 8640000}]","{'Hãng CPU': 'AMD', 'Công nghệ CPU': 'Ryzen 7', 'Loại CPU': '5700G', 'Đồ họa tổng hợp': 'AMD Radeon Graphics', 'Khe RAM tối đa': '2 khe', 'Số khe RAM còn lại': '0', 'Hỗ trợ RAM tối đa': '64 GB', 'Dung lượng RAM': '16 GB (2 thanh 8 GB)', 'Loại RAM': 'DDR4', 'Kiểu ổ cứng': 'SSD', 'Tổng số khe cắm SSD/HDD': '1', 'Số khe SSD/HDD còn lại': '2 SSD + 1 HDD', 'Cổng giao tiếp': 'Audio Jack: Jack 3.5 mm', 'Chipset': 'AMD B450', 'Công suất': 'Bên dưới: 550 W', 'Kích thước': '430 x 218 x 395 mm', 'Trọng lượng sản phẩm': '4 kg', 'Chất liệu': 'Khung máy: Kim loại', 'Xuất xứ': 'Việt Nam / Trung Quốc', 'Thời điểm ra mắt': '2024', 'Thời gian bảo hành': '36 tháng', 'Màu sắc': 'Đen'}"
PC Gaming E-Power A1650 AMD Ryzen 3 3200G / 16GB / 256GB / 500W / GTX 1650 4GB,https://fptshop.com.vn/may-tinh-de-ban/pc-gaming-e-power-a1650-amd-ryzen-3-3200g,E-Power,"[{'color': 'Đen', 'price': 9990000}]","{'Hãng CPU': 'AMD', 'Công nghệ CPU': 'Ryzen 3', 'Loại CPU': '3200G', 'Số nhân': '4', 'Số luồng': '4', 'Đồ họa tổng hợp': 'NVIDIA GeForce GTX 1650 4GB', 'Khe RAM tối đa': '2 khe', 'Số khe RAM còn lại': '0', 'Hỗ trợ RAM tối đa': '64 GB', 'Dung lượng RAM': '16 GB (2 thanh 8 GB)', 'Loại RAM': 'DDR4', 'Tốc độ RAM': '2933 MHz', 'Kiểu ổ cứng': 'SSD', 'Tổng số khe cắm SSD/HDD': 'M.2 slot x 1', 'Số khe SSD/HDD còn lại': '1 SSD', 'Cổng giao tiếp': 'Audio Jack: USB 3.2', 'Dạng tản nhiệt': 'Tản khí', 'Chất liệu tản nhiệt': 'Copper, Aluminum', 'OS': 'Không', 'Tốc độ CPU': 'Cơ bản 3.5 GHz', 'Chipset': 'AMD A320', 'Công suất': 'Tổng: 500 W', 'Kích thước': '299 x 310 x 345 mm', 'Trọng lượng sản phẩm': '5.5 kg', 'Loại Case': 'MID tower', 'Chất liệu': 'Khung máy: Kim loại', 'Kích thước Mainboard': 'm-ATX', 'Xuất xứ': 'Việt Nam / Trung Quốc', 'Thời điểm ra mắt': '02/2023', 'Thời gian bảo hành': '36 tháng', 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Hướng dẫn sử dụng': 'Xem trong sách hướng dẫn sử dụng', 'Màu sắc': 'Đen'}"
