name,url,category,brand,specifications,prices
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Win11 (NJ776W),https://www.thegioididong.com/laptop/asus-vivobook-go-15-e1504fa-r5-nj776w,laptop,Asus,"{'Công nghệ CPU': 'AMD Ryzen 5 - 7520U', 'Số nhân': '4', 'Số luồng': '8', 'Tốc độ CPU': '2.8GHz', 'Tốc độ tối đa': 'Turbo Boost 4.3 GHz', 'RAM': '16 GB', 'Loại RAM': 'LPDDR5 (Onboard)', 'Tốc độ Bus RAM': '5500 MHz', 'Hỗ trợ RAM tối đa': 'Không hỗ trợ nâng cấp', 'Ổ cứng': '512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)', 'Màn hình': '15.6""', 'Độ phân giải': 'Full HD (1920 x 1080)', 'Tần số quét': '60Hz', 'Độ phủ màu': '45% NTSC', 'Công nghệ màn hình': 'Tấm nền TN', 'Card màn hình': 'Card tích hợp - AMD Radeon Graphics', 'Công nghệ âm thanh': 'SonicMaster audio', 'Cổng giao tiếp': '1 x USB 2.0', 'Kết nối không dây': 'Wi-Fi 6E (802.11ax)', 'Webcam': 'HD webcam', 'Tính năng khác': 'Độ bền chuẩn quân đội MIL STD 810H', 'Đèn bàn phím': 'Không có đèn', 'Kích thước': 'Dài 360.3 mm - Rộng 232.5 mm - Dày 17.9 mm - 1.63 kg', 'Chất liệu': 'Vỏ nhựa', 'Thông tin Pin': '3-cell, 42Wh', 'Hệ điều hành': 'Windows 11 Home SL', 'Thời điểm ra mắt': '2023'}","[{'color': 'Bạc', 'price': 12390000.0}]"
Laptop HP 15 fc0085AU R5 7430U/16GB/512GB/Win11 (A6VV8PA),https://www.thegioididong.com/laptop/hp-15-fc0085au-r5-a6vv8pa,laptop,HP,"{'Công nghệ CPU': 'AMD Ryzen 5 - 7430U', 'Số nhân': '6', 'Số luồng': '12', 'Tốc độ CPU': '2.30 GHz', 'Tốc độ tối đa': 'Turbo Boost 4.3 GHz', 'RAM': '16 GB', 'Loại RAM': 'DDR4 2 khe (1 khe 8 GB + 1 khe 8 GB)', 'Tốc độ Bus RAM': '3200 MHz', 'Hỗ trợ RAM tối đa': '16 GB', 'Ổ cứng': '512 GB SSD NVMe PCIe', 'Màn hình': '15.6""', 'Độ phân giải': 'Full HD (1920 x 1080)', 'Tần số quét': '60Hz', 'Độ phủ màu': '45% NTSC', 'Công nghệ màn hình': 'Chống chói Anti Glare', 'Card màn hình': 'Card tích hợp - AMD Radeon Graphics', 'Công nghệ âm thanh': 'Loa kép (2 kênh)', 'Cổng giao tiếp': '2 x USB Type-A', 'Kết nối không dây': 'Wi-Fi 6 (802.11ax)', 'Webcam': 'HD webcam', 'Tính năng khác': 'Công tắc khóa camera', 'Đèn bàn phím': 'Không có đèn', 'Kích thước': 'Dài 359.8 mm - Rộng 236 mm - Dày 18.6 mm - 1.59 kg', 'Chất liệu': 'Vỏ nhựa', 'Thông tin Pin': '3-cell, 41Wh', 'Hệ điều hành': 'Windows 11 Home SL', 'Thời điểm ra mắt': '2023'}","[{'color': 'Vàng', 'price': 13390000.0}]"
Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (N5I5057W1),https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-n5i5057w1,laptop,Dell,"{'Công nghệ CPU': 'Intel Core i5 Alder Lake - 1235U', 'Số nhân': '10', 'Số luồng': '12', 'Tốc độ CPU': '1.3GHz', 'Tốc độ tối đa': 'Turbo Boost 4.4 GHz', 'RAM': '16 GB', 'Loại RAM': 'DDR4 2 khe (1 khe 8 GB + 1 khe 8 GB)', 'Tốc độ Bus RAM': '2666 MHz', 'Hỗ trợ RAM tối đa': '16 GB', 'Ổ cứng': '512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)', 'Màn hình': '15.6""', 'Độ phân giải': 'Full HD (1920 x 1080)', 'Tần số quét': '120Hz', 'Độ phủ màu': '45% NTSC', 'Công nghệ màn hình': 'Chống chói Anti Glare', 'Card màn hình': 'Card tích hợp - Intel Iris Xe Graphics', 'Công nghệ âm thanh': 'Realtek Audio', 'Cổng giao tiếp': '1 x USB 2.0', 'Kết nối không dây': 'Bluetooth 5.0', 'Khe đọc thẻ nhớ': 'SD', 'Webcam': 'HD webcam', 'Đèn bàn phím': 'Không có đèn', 'Kích thước': 'Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg', 'Chất liệu': 'Vỏ nhựa', 'Thông tin Pin': '3-cell, 41Wh', 'Hệ điều hành': 'Windows 11 Home SL + Office Home & Student 2024 vĩnh viễn + Microsoft 365 Basic'}","[{'color': 'Bạc', 'price': 16490000.0}]"
Laptop MacBook Air 13 inch M4 16GB/256GB,https://www.thegioididong.com/laptop/macbook-air-13-inch-m4-16gb-256gb,laptop,MacBook,"{'Công nghệ CPU': 'Apple M4 - Hãng không công bố', 'Số nhân': '10', 'Số luồng': 'Hãng không công bố', 'Tốc độ CPU': '120 GB/s memory bandwidth', 'Tốc độ tối đa': 'Hãng không công bố', 'RAM': '16 GB', 'Loại RAM': 'Hãng không công bố', 'Tốc độ Bus RAM': 'Hãng không công bố', 'Hỗ trợ RAM tối đa': 'Không hỗ trợ nâng cấp', 'Ổ cứng': '256 GB SSD', 'Màn hình': '13.6""', 'Độ phân giải': 'Liquid Retina (2560 x 1664)', 'Tần số quét': 'Hãng không công bố', 'Công nghệ màn hình': 'Wide color (P3)', 'Card màn hình': 'Card tích hợp - 8 nhân GPU', 'Công nghệ âm thanh': '3 microphones', 'Cổng giao tiếp': 'Jack tai nghe 3.5 mm', 'Kết nối không dây': 'Wi-Fi 6E (802.11ax)', 'Webcam': '1080p FaceTime HD camera', 'Tính năng khác': 'Bảo mật vân tay', 'Đèn bàn phím': 'Đơn sắc - Màu trắng', 'Kích thước': 'Dài 304.1 mm - Rộng 215 mm - Dày 11.3 mm - 1.24 kg', 'Chất liệu': 'Vỏ nhôm tái chế 100%', 'Thông tin Pin': 'Li-Po, 53.8 Wh', 'Hệ điều hành': 'macOS Sequoia', 'Thời điểm ra mắt': '03/2025'}","[{'color': 'Xanh da trời nhạt', 'price': 26990000.0}, {'color': 'Xanh đen', 'price': 26990000.0}, {'color': 'Vàng', 'price': 26990000.0}]"
Laptop Lenovo IdeaPad Slim 3 15IRH10 i5 13420H/16GB/512GB/Win11 (83K1000HVN),https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15irh10-i5-83k1000hvn,laptop,Lenovo,"{'Công nghệ CPU': 'Intel Core i5 Raptor Lake - 13420H', 'Số nhân': '8', 'Số luồng': '12', 'Tốc độ CPU': '2.1GHz', 'Tốc độ tối đa': 'Turbo Boost 4.6 GHz', 'RAM': '16 GB', 'Loại RAM': 'DDR5 2 khe (1 khe 8 GB onboard + 1 khe 8 GB)', 'Tốc độ Bus RAM': '4800 MHz', 'Hỗ trợ RAM tối đa': '24 GB', 'Ổ cứng': '512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)', 'Màn hình': '15.3""', 'Độ phân giải': 'WUXGA', 'Tần số quét': '60Hz', 'Độ phủ màu': '45% NTSC', 'Công nghệ màn hình': 'Tấm nền IPS', 'Card màn hình': 'Card tích hợp - Intel UHD Graphics', 'Công nghệ âm thanh': 'Dolby Audio', 'Cổng giao tiếp': 'USB Type-C (hỗ trợ truyền dữ liệu, Power Delivery 3.0 và DisplayPort 1.2)', 'Kết nối không dây': 'Bluetooth 5.2', 'Khe đọc thẻ nhớ': 'SD', 'Webcam': 'HD webcam', 'Tính năng khác': 'TPM 2.0', 'Đèn bàn phím': 'Không có đèn', 'Kích thước': 'Dài 343.4 mm - Rộng 239.5 mm - Dày 17.9 mm - 1.63 kg', 'Chất liệu': 'Vỏ nhựa - nắp lưng bằng kim loại', 'Thông tin Pin': '60 Wh', 'Hệ điều hành': 'Windows 11 Home SL', 'Thời điểm ra mắt': '2024'}","[{'color': 'Xám', 'price': 14990000.0}]"
Laptop Acer Aspire Go AG15 31P 30M4 i3 N305/8GB/256GB/Win11 (NX.KRPSV.004),https://www.thegioididong.com/laptop/acer-aspire-go-ag15-31p-30m4-i3-nxkrpsv004,laptop,Acer,"{'Công nghệ CPU': 'Intel Core i3 Alder Lake chuỗi N - N305', 'Số nhân': '8', 'Số luồng': '8', 'Tốc độ CPU': '1.8GHz', 'Tốc độ tối đa': 'Turbo Boost 3.8 GHz', 'RAM': '8 GB', 'Loại RAM': 'LPDDR5 (Onboard)', 'Tốc độ Bus RAM': '4800 MHz', 'Hỗ trợ RAM tối đa': 'Không hỗ trợ nâng cấp', 'Ổ cứng': '256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)', 'Màn hình': '15.6""', 'Độ phân giải': 'Full HD (1920 x 1080)', 'Tần số quét': '60Hz', 'Độ phủ màu': '45% NTSC', 'Công nghệ màn hình': '220 nits', 'Card màn hình': 'Card tích hợp - Intel UHD Graphics', 'Công nghệ âm thanh': 'Acer Purified Voice', 'Cổng giao tiếp': 'Jack tai nghe 3.5 mm', 'Kết nối không dây': 'Wi-Fi 6 (802.11ax)', 'Webcam': 'HD webcam', 'Đèn bàn phím': 'Không có đèn', 'Kích thước': 'Dài 362.9 mm - Rộng 239.69 mm - Dày 18.9 mm - 1.75 kg', 'Chất liệu': 'Vỏ nhựa', 'Thông tin Pin': '3-cell, 50Wh', 'Hệ điều hành': 'Windows 11 Home SL', 'Thời điểm ra mắt': '2024'}","[{'color': 'Bạc', 'price': 9790000.0}]"
Laptop HP 15 fd0234TU i5 1334U/16GB/512GB/Win11 (9Q969PA),https://www.thegioididong.com/laptop/hp-15-fd0234tu-i5-9q969pa,laptop,HP,"{'Công nghệ CPU': 'Intel Core i5 Raptor Lake - 1334U', 'Số nhân': '10', 'Số luồng': '12', 'Tốc độ CPU': '1.3GHz', 'Tốc độ tối đa': 'Turbo Boost 4.6 GHz', 'RAM': '16 GB', 'Loại RAM': 'DDR4 2 khe (1 khe 8 GB + 1 khe 8 GB)', 'Tốc độ Bus RAM': '3200 MHz', 'Hỗ trợ RAM tối đa': '32 GB', 'Ổ cứng': '512 GB SSD NVMe PCIe', 'Màn hình': '15.6""', 'Độ phân giải': 'Full HD (1920 x 1080)', 'Tần số quét': '60Hz', 'Độ phủ màu': '62.5% sRGB', 'Công nghệ màn hình': 'Chống chói Anti Glare', 'Card màn hình': 'Card tích hợp - Intel Iris Xe Graphics', 'Công nghệ âm thanh': 'Realtek High Definition Audio', 'Cổng giao tiếp': 'Jack tai nghe 3.5 mm', 'Kết nối không dây': 'Wi-Fi 6 (802.11ax)', 'Webcam': 'HD webcam', 'Tính năng khác': 'Công tắc khóa camera', 'Đèn bàn phím': 'Không có đèn', 'Kích thước': 'Dài 359.8 mm - Rộng 236 mm - Dày 18.6 mm - 1.59 kg', 'Chất liệu': 'Vỏ nhựa', 'Thông tin Pin': '3-cell, 41Wh', 'Hệ điều hành': 'Windows 11 Home SL', 'Thời điểm ra mắt': '2023'}","[{'color': 'Vàng', 'price': 15890000.0}]"
Laptop Asus Vivobook 15 X1504VA i3 1315U/8GB/512GB/Win11 (NJ1634W),https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-i3-nj1634w,laptop,Asus,"{'Công nghệ CPU': 'Intel Core i3 Raptor Lake - 1315U', 'Số nhân': '6', 'Số luồng': '8', 'Tốc độ CPU': '1.2GHz', 'Tốc độ tối đa': 'Turbo Boost 4.5 GHz', 'RAM': '8 GB', 'Loại RAM': 'DDR4 2 khe (1 khe 8 GB + 1 khe rời)', 'Tốc độ Bus RAM': '3200 MHz', 'Hỗ trợ RAM tối đa': '16 GB', 'Ổ cứng': '512 GB SSD NVMe PCIe', 'Màn hình': '15.6""', 'Độ phân giải': 'Full HD (1920 x 1080)', 'Tần số quét': '60Hz', 'Độ phủ màu': '45% NTSC', 'Công nghệ màn hình': 'Chống chói Anti Glare', 'Card màn hình': 'Card tích hợp - Intel UHD Graphics', 'Công nghệ âm thanh': 'SonicMaster audio', 'Cổng giao tiếp': '1 x USB 2.0', 'Kết nối không dây': 'Wi-Fi 6E (802.11ax)', 'Webcam': 'HD webcam', 'Tính năng khác': 'Độ bền chuẩn quân đội MIL STD 810H', 'Đèn bàn phím': 'Không có đèn', 'Kích thước': 'Dài 359.7 mm - Rộng 232.5 mm - Dày 17.9 mm - 1.7 kg', 'Chất liệu': 'Vỏ nhựa', 'Thông tin Pin': '3-cell, 42Wh', 'Hệ điều hành': 'Windows 11 Home SL', 'Thời điểm ra mắt': '2025'}","[{'color': 'Bạc', 'price': 10490000.0}]"
Laptop Acer Gaming Nitro V 15 ANV15 41 R2UP R5 6600H/16GB/512GB/4GB RTX2050/165Hz/Win11 (NH.QPGSV.004),https://www.thegioididong.com/laptop/acer-nitro-v-15-anv15-41-r2up-r5-nhqpgsv004,laptop,Acer,"{'Công nghệ CPU': 'AMD Ryzen 5 - 6600H', 'Số nhân': '6', 'Số luồng': '12', 'Tốc độ CPU': '3.3GHz', 'Tốc độ tối đa': 'Turbo Boost 4.5 GHz', 'RAM': '16 GB', 'Loại RAM': 'DDR5 2 khe (1 khe 16 GB + 1 khe rời)', 'Tốc độ Bus RAM': '4800 MHz', 'Hỗ trợ RAM tối đa': '96 GB', 'Ổ cứng': '512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)', 'Màn hình': '15.6""', 'Độ phân giải': 'Full HD (1920 x 1080)', 'Tần số quét': '165 Hz', 'Độ phủ màu': '45% NTSC', 'Công nghệ màn hình': 'Tấm nền IPS', 'Card màn hình': 'Card rời - NVIDIA GeForce RTX 2050, 4 GB', 'Công nghệ âm thanh': 'Spatial Audio', 'Cổng giao tiếp': 'Jack tai nghe 3.5 mm', 'Webcam': 'HD webcam', 'Đèn bàn phím': 'Đơn sắc - Màu trắng', 'Kích thước': 'Dài 362.3 mm - Rộng 239.89 mm - Dày 23.5 mm - 2.1 kg', 'Chất liệu': 'Vỏ nhựa', 'Thông tin Pin': '4-cell, 57Wh', 'Hệ điều hành': 'Windows 11 Home SL'}","[{'color': 'Đen', 'price': 17090000.0}]"
Laptop MSI Gaming Thin 15 B12UCX i5 12450H/16GB/512GB/4GB RTX2050/144Hz/Win11 (2046VN),https://www.thegioididong.com/laptop/msi-thin-15-b12ucx-i5-2046vn,laptop,MSI,"{'Công nghệ CPU': 'Intel Core i5 Alder Lake - 12450H', 'Số nhân': '8', 'Số luồng': '12', 'Tốc độ CPU': '2GHz', 'Tốc độ tối đa': 'Turbo Boost 4.4 GHz', 'RAM': '16 GB', 'Loại RAM': 'DDR4 2 khe (1 khe 8 GB + 1 khe 8 GB)', 'Tốc độ Bus RAM': '3200 MHz', 'Hỗ trợ RAM tối đa': '64 GB', 'Ổ cứng': '512 GB SSD NVMe PCIe Gen 4.0', 'Màn hình': '15.6""', 'Độ phân giải': 'Full HD (1920 x 1080)', 'Tần số quét': '144Hz', 'Độ phủ màu': '45% NTSC', 'Công nghệ màn hình': 'Tấm nền IPS', 'Card màn hình': 'Card rời - NVIDIA GeForce RTX 2050, 4 GB', 'Công nghệ âm thanh': '2 x 2W Speaker', 'Cổng giao tiếp': '1x Mic-in', 'Kết nối không dây': 'Wi-Fi 6E (802.11ax)', 'Webcam': 'HD webcam', 'Tản nhiệt': 'Cooler Boost', 'Đèn bàn phím': 'Đơn sắc - Màu xanh', 'Kích thước': 'Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - 1.86 kg', 'Chất liệu': 'Vỏ nhựa - nắp lưng bằng kim loại', 'Thông tin Pin': '3-cell Li-ion, 52.4 Wh', 'Hệ điều hành': 'Windows 11 Home SL', 'Thời điểm ra mắt': '2024'}","[{'color': 'Xám', 'price': 15690000.0}]"
