name,url,category,brand,specifications,prices
Màn hình Gaming Acer KB242Y P6 23.8 inch FHD/IPS/144Hz/1ms,https://www.thegioididong.com/man-hinh-may-tinh/acer-kb242y-p6-23-8fhd-ips-144hz-1ms,màn hình,Acer,"{'Loại màn hình': 'Phẳng', 'Kích thước màn hình': '23.8 inch', 'Độ phân giải': 'Full HD (1920 x 1080)', 'Màn hình cảm ứng': 'Không cảm ứng', 'Tấm nền': 'IPS', 'Tần số quét': '144 Hz', 'Thời gian đáp ứng': '1ms (VRB)', 'Công nghệ màn hình': 'Blue Light Shield', 'Độ phủ màu': '99% sRGB', 'Số lượng màu': '16.7 triệu màu', 'Độ sáng': '250 cd/m2', 'Độ tương phản tĩnh': '100.000.000:1', 'Góc nhìn': '178°(Dọc) / 178°(Ngang)', 'Gắn ARM chuẩn VESA': 'Có', 'Cổng kết nối': '1 x HDMI 1.4', 'Năm ra mắt': '2025', 'Công suất tiêu thụ điện': '12.9W', 'Kích thước (có chân đế)': 'Ngang 540.3 mm - Cao 423.1 mm - Dày 185 mm', 'Khối lượng có chân đế': '3.042 kg', 'Kích thước (không chân đế)': 'Ngang 540.3 mm - Cao 318 mm - Dày 47 mm', 'Khối lượng (không chân đế)': '2.714 kg'}","[{'color': 'default', 'price': 1990000.0}]"
Màn hình SingPC Q24F75-IPS 23.8 inch FHD/IPS/75Hz/4ms,https://www.thegioididong.com/man-hinh-may-tinh/singpc-q24f75-ips-23-8-inch-fhd-ips-75hz-4ms,màn hình,SingPC,"{'Loại màn hình': 'Phẳng', 'Kích thước màn hình': '23.8 inch', 'Độ phân giải': 'Full HD (1920 x 1080)', 'Màn hình cảm ứng': 'Không cảm ứng', 'Tấm nền': 'IPS', 'Tần số quét': '75 Hz', 'Thời gian đáp ứng': '4 ms', 'Công nghệ màn hình': 'Less Blue Light', 'Độ phủ màu': '72% NTSC', 'Số lượng màu': '16.7 triệu màu', 'Độ sáng': '250 cd/m2', 'Độ tương phản tĩnh': '1000:1', 'Góc nhìn': '178°(Dọc) / 178°(Ngang)', 'Gắn ARM chuẩn VESA': 'Có', 'Tiện ích': 'Gập màn hình lên xuống', 'Cổng kết nối': '1 x HDMI', 'Năm ra mắt': '2024', 'Công suất tiêu thụ điện': '36W', 'Kích thước (có chân đế)': 'Ngang 541 mm - Cao 407 mm - Dày 146 mm', 'Khối lượng có chân đế': '2.35 kg', 'Kích thước (không chân đế)': 'Ngang 541 mm - Cao 321 mm - Dày 39 mm', 'Khối lượng (không chân đế)': '2 kg'}","[{'color': 'default', 'price': 1490000.0}]"
Màn hình MSI PRO MP223 E2 21.45 inch FHD/VA/100Hz/1ms,https://www.thegioididong.com/man-hinh-may-tinh/msi-pro-mp223-e2-21-45-inch-fhd-va-100hz-1ms?utm_flashsale=1,màn hình,MSI,"{'Loại màn hình': 'Phẳng', 'Kích thước màn hình': '21.45""', 'Độ phân giải': 'Full HD (1920 x 1080)', 'Màn hình cảm ứng': 'Không cảm ứng', 'Tấm nền': 'VA', 'Tần số quét': '100 Hz', 'Thời gian đáp ứng': '1ms (MPRT)', 'Công nghệ màn hình': 'Công nghệ chống nháy - Flicker-free', 'Độ phủ màu': '99% sRGB', 'Số lượng màu': '16.7 triệu màu', 'Độ sáng': '250 cd/m2', 'Độ tương phản tĩnh': '3000:1', 'Góc nhìn': '178°(Dọc) / 178°(Ngang)', 'Gắn ARM chuẩn VESA': 'Có', 'Tiện ích': 'Gập màn hình lên xuống', 'Cổng kết nối': '1 x Headphone-out', 'Năm ra mắt': '2024', 'Công suất tiêu thụ điện': '15W', 'Kích thước (có chân đế)': 'Ngang 494.7 mm - Cao 385.5 mm - Dày 182.1 mm', 'Khối lượng có chân đế': '3.46 kg', 'Kích thước (không chân đế)': 'Ngang 494.7 mm - Cao 285.4 mm - Dày 38 mm', 'Khối lượng (không chân đế)': '2.4 kg'}","[{'color': 'default', 'price': 1590000.0}]"
Màn hình Samsung LS24F320GAEXXV 23.8 inch FHD/IPS/120Hz/5ms,https://www.thegioididong.com/man-hinh-may-tinh/samsung-ls24f320gaexxv-23-8-inch-full-hd?utm_flashsale=1,màn hình,Samsung,"{'Loại màn hình': 'Phẳng', 'Kích thước màn hình': '23.8 inch', 'Độ phân giải': 'Full HD (1920 x 1080)', 'Màn hình cảm ứng': 'Không cảm ứng', 'Tấm nền': 'IPS', 'Tần số quét': '120 Hz', 'Thời gian đáp ứng': '5ms (GTG)', 'Công nghệ màn hình': 'Eye Saver Mode', 'Độ phủ màu': '72% NTSC', 'Số lượng màu': '16.7 triệu màu', 'Độ sáng': '250 cd/m2', 'Độ tương phản tĩnh': '1000:1', 'Góc nhìn': '178°(Dọc) / 178°(Ngang)', 'Gắn ARM chuẩn VESA': 'Có', 'Cổng kết nối': '2 x HDMI', 'Năm ra mắt': '2025', 'Công suất tiêu thụ điện': '25W', 'Kích thước (có chân đế)': 'Ngang 540.7 mm - Cao 428.5 mm - Dày 175.1 mm', 'Khối lượng có chân đế': '2.4 kg', 'Kích thước (không chân đế)': 'Ngang 540.7 mm - Cao 320.4 mm - Dày 36.2 mm', 'Khối lượng (không chân đế)': '2 kg', 'Hãng': 'Samsung. Xem thông tin hãng'}","[{'color': 'default', 'price': 2490000.0}]"
Màn hình Samsung LS24D300GAEXXV 23.8 inch FHD/IPS/100Hz/1ms,https://www.thegioididong.com/man-hinh-may-tinh/samsung-ls24d300gaexxv-23-8-inch-fhd-ips-100hz-1ms,màn hình,Samsung,"{'Loại màn hình': 'Phẳng', 'Kích thước màn hình': '23.8 inch', 'Độ phân giải': 'Full HD (1920 x 1080)', 'Màn hình cảm ứng': 'Không cảm ứng', 'Tấm nền': 'IPS', 'Tần số quét': '100 Hz', 'Thời gian đáp ứng': '1ms (GTG)', 'Công nghệ màn hình': 'Eye Saver Mode', 'Độ phủ màu': '72% NTSC', 'Số lượng màu': '16.7 triệu màu', 'Độ sáng': '250 cd/m2', 'Độ tương phản tĩnh': '1000:1', 'Góc nhìn': '178°(Dọc) / 178°(Ngang)', 'Gắn ARM chuẩn VESA': 'Có', 'Tiện ích': 'Gập màn hình lên xuống', 'Cổng kết nối': '1 x HDMI 1.4', 'Năm ra mắt': '2025', 'Công suất tiêu thụ điện': '25W', 'Kích thước (có chân đế)': 'Ngang 540.7 mm - Cao 428.5 mm - Dày 175.1 mm', 'Khối lượng có chân đế': '2.4 kg', 'Kích thước (không chân đế)': 'Ngang 540.7 mm - Cao 320.4 mm - Dày 36.2 mm', 'Khối lượng (không chân đế)': '2 kg', 'Hãng': 'Samsung. Xem thông tin hãng'}","[{'color': 'default', 'price': 2390000.0}]"
Màn hình MSI PRO MP252L 24.5 inch FHD/IPS/100Hz/1ms,https://www.thegioididong.com/man-hinh-may-tinh/msi-pro-mp252l-24-5-inch-fhd-ips-100hz-1ms,màn hình,MSI,"{'Loại màn hình': 'Phẳng', 'Kích thước màn hình': '24.5 inch', 'Độ phân giải': 'Full HD (1920 x 1080)', 'Màn hình cảm ứng': 'Không cảm ứng', 'Tấm nền': 'IPS', 'Tần số quét': '100 Hz', 'Thời gian đáp ứng': '1ms (MPRT)', 'Công nghệ màn hình': 'HDR Ready', 'Độ phủ màu': '85% Adobe RGB', 'Số lượng màu': '16.7 triệu màu', 'Độ sáng': '250 cd/m2', 'Độ tương phản tĩnh': '1300:1', 'Góc nhìn': '178°(Dọc) / 178°(Ngang)', 'Tiện ích': 'Gập màn hình lên xuống', 'Cổng kết nối': '1 x DisplayPort 1.2a', 'Năm ra mắt': '2024', 'Công suất tiêu thụ điện': '24W', 'Kích thước (có chân đế)': 'Ngang 560 mm - Cao 174 mm - Dày 397 mm', 'Khối lượng có chân đế': '1.967 kg', 'Kích thước (không chân đế)': 'Ngang 560 mm - Cao 28 mm - Dày 328 mm', 'Khối lượng (không chân đế)': '1.76 kg'}","[{'color': 'default', 'price': 1990000.0}]"
Màn hình Viewsonic VA2708-2K-MHD 27 inch 2K/IPS/100Hz/1ms,https://www.thegioididong.com/man-hinh-may-tinh/man-hinh-viewsonic-va2708-2k-mhd-27-inch-2k-ips-100hz-1ms,màn hình,Viewsonic,"{'Loại màn hình': 'Phẳng', 'Kích thước màn hình': '27 inch', 'Độ phân giải': 'QHD (2560 x 1440)', 'Màn hình cảm ứng': 'Không cảm ứng', 'Tấm nền': 'IPS', 'Tần số quét': '100 Hz', 'Thời gian đáp ứng': '1ms (MPRT)', 'Công nghệ màn hình': 'Eye Protech+', 'Độ phủ màu': '80% NTSC', 'Số lượng màu': '16.7 triệu màu', 'Độ sáng': '250 cd/m2', 'Độ tương phản tĩnh': '50.000.000:1', 'Góc nhìn': '178°(Dọc) / 178°(Ngang)', 'Loa tích hợp': 'Có', 'Gắn ARM chuẩn VESA': 'Có', 'Tiện ích': 'Gập màn hình lên xuống', 'Cổng kết nối': '1 x DisplayPort', 'Năm ra mắt': '2024', 'Công suất tiêu thụ điện': '30W', 'Kích thước (có chân đế)': 'Ngang 613.19 mm - Cao 449.89 mm - Dày 190 mm', 'Khối lượng có chân đế': '4.1 kg', 'Kích thước (không chân đế)': 'Ngang 613.19 mm - Cao 362.99 mm - Dày 52.74 mm', 'Khối lượng (không chân đế)': '3.3 kg'}","[{'color': 'default', 'price': 3690000.0}]"
Màn hình Dell UltraSharp U2424H 23.8 inch FHD/IPS/120Hz/5ms,https://www.thegioididong.com/man-hinh-may-tinh/dell-ultrasharp-u2424h-23-8-inch-fhd-ips-120hz-5ms,màn hình,Dell,"{'Loại màn hình': 'Phẳng', 'Kích thước màn hình': '23.8 inch', 'Độ phân giải': 'Full HD (1920 x 1080)', 'Màn hình cảm ứng': 'Không cảm ứng', 'Tấm nền': 'IPS', 'Tần số quét': '120 Hz', 'Thời gian đáp ứng': '5 ms', 'Công nghệ màn hình': 'Chống ánh sáng xanh', 'Độ phủ màu': '100% sRGB', 'Số lượng màu': '16.7 triệu màu', 'Độ sáng': '250 cd/m2', 'Độ tương phản tĩnh': '1000:1', 'Góc nhìn': '178°(Dọc) / 178°(Ngang)', 'Gắn ARM chuẩn VESA': 'Có', 'Tiện ích': 'Thay đổi được chiều cao', 'Cổng kết nối': '1 x USB Type-A downstream (USB SuperSpeed \u200b\u200b10 Gbps, USB 3.2 Gen 2) với sạc nguồn BC1.2', 'Năm ra mắt': '2024', 'Công suất tiêu thụ điện': '72W', 'Kích thước (có chân đế)': 'Ngang 538.64 mm - Cao 364 mm ~ 496.53 mm - Dày 181.75 mm', 'Khối lượng có chân đế': '5.38 kg', 'Kích thước (không chân đế)': 'Ngang 538.64 mm - Cao 311.21 mm - Dày 49.1 mm', 'Khối lượng (không chân đế)': '3.52 kg'}","[{'color': 'default', 'price': 5590000.0}]"
Màn hình Xiaomi A27i 27 inch FHD/IPS/100Hz/6ms/HDMI (ELA5345EU),https://www.thegioididong.com/man-hinh-may-tinh/xiaomi-a27i-27-inch-fhd,màn hình,Xiaomi,"{'Loại màn hình': 'Phẳng', 'Kích thước màn hình': '27 inch', 'Độ phân giải': 'Full HD (1920 x 1080)', 'Màn hình cảm ứng': 'Không cảm ứng', 'Tấm nền': 'IPS', 'Tần số quét': '100 Hz', 'Thời gian đáp ứng': '6ms (GTG)', 'Công nghệ màn hình': 'Giảm ánh sáng xanh', 'Độ phủ màu': '99% sRGB', 'Số lượng màu': '16.7 triệu màu', 'Độ sáng': '250 cd/m2', 'Độ tương phản tĩnh': '1000:1', 'Góc nhìn': '178°(Dọc) / 178°(Ngang)', 'Gắn ARM chuẩn VESA': 'Có', 'Tiện ích': 'Gập màn hình lên xuống', 'Cổng kết nối': '1 x DisplayPort', 'Năm ra mắt': '2023', 'Công suất tiêu thụ điện': '24 W', 'Kích thước (có chân đế)': 'Ngang 612.3 mm - Cao 451.7 mm - Dày 170 mm', 'Khối lượng có chân đế': '3.6 kg', 'Kích thước (không chân đế)': 'Ngang 612.3 mm - Cao 357 mm - Dày 37 mm', 'Khối lượng (không chân đế)': '3 kg'}","[{'color': 'default', 'price': 2390000.0}]"
Màn hình Gaming Asus TUF VG249Q3A 23.8 inch FHD/IPS/180Hz/1ms/FreeSync/DisplayPort/HDMI,https://www.thegioididong.com/man-hinh-may-tinh/asus-vg249q3a-23-8-inch-fhd,màn hình,Asus,"{'Loại màn hình': 'Phẳng', 'Kích thước màn hình': '23.8 inch', 'Độ phân giải': 'Full HD (1920 x 1080)', 'Màn hình cảm ứng': 'Không cảm ứng', 'Tấm nền': 'IPS', 'Tần số quét': '180 Hz', 'Thời gian đáp ứng': '1ms (GTG)', 'Công nghệ màn hình': 'Công nghệ chống nháy - Flicker-free', 'Độ phủ màu': '99% sRGB', 'Số lượng màu': '16.7 triệu màu', 'Độ sáng': '250 cd/m2', 'Độ tương phản tĩnh': '1000:1', 'Góc nhìn': '178°(Dọc) / 178°(Ngang)', 'Loa tích hợp': 'Có', 'Gắn ARM chuẩn VESA': 'Có', 'Tiện ích': 'Gập màn hình lên xuống', 'Cổng kết nối': '2 x HDMI 2.0', 'Năm ra mắt': '2023', 'Công suất tiêu thụ điện': '< 18 W', 'Kích thước (có chân đế)': 'Ngang 541 mm - Cao 394 mm - Dày 174 mm', 'Khối lượng có chân đế': '3.5 kg', 'Kích thước (không chân đế)': 'Ngang 541 mm - Cao 323 mm - Dày 58 mm', 'Khối lượng (không chân đế)': '2.9 kg'}","[{'color': 'default', 'price': 2890000.0}]"
