name,url,category,brand,specifications,prices
MiniPC SingPC i12450H682-W i5 12450H/8GB/256GB/Win11Pro,https://www.thegioididong.com/may-tinh-de-ban/minipc-singpc-i12450h682-w-i5-12450h?utm_flashsale=1,pc,SingPC,"{'Công nghệ CPU': 'i5', 'Loại CPU': '12450H', 'Tốc độ CPU': '2.00 GHz', 'Tốc độ tối đa': '4.40 GHz', 'Chipset': 'Hãng không công bố', 'RAM': '8 GB', 'Loại RAM': 'DDR4', 'Số khe RAM': '2 khe', 'Tốc độ Bus RAM': '3200 MHz', 'Hỗ trợ RAM tối đa': '64 GB', 'Ổ cứng': 'SSD 256 GB M.2 NVMe', 'Khe cắm mở rộng': 'SSD 2.5 inch SATA 3 hoặc HDD 2.5 inch SATA 3', 'Thiết kế card': 'Card đồ hoạ tích hợp', 'Card màn hình': 'Intel UHD', 'Công nghệ âm thanh': 'Realtek ALC897 7.1 CH HD Audio', 'Cổng kết nối - Mặt sau': '1 x LAN (RJ45)', 'Cổng kết nối - Mặt trước': '1 x USB-C', 'Giao tiếp mạng': 'Wi-Fi 6 (2x2) 802.11 b/g/n/ac/ax', 'Kích thước, khối lượng': 'Dài 205 mm - Rộng 193 mm - Dày 55 mm - Nặng 2.2 kg', 'Bộ nguồn điện': '90 W', 'Hệ điều hành': 'Windows 11 Pro', 'Thời gian ra mắt': '2025'}","[{'color': 'default', 'price': 8490000.0}]"
ROSA Crystal A10 Ryzen 3 3200G/8GB/256GB/Win11 Pro,https://www.thegioididong.com/may-tinh-de-ban/rosa-crystal-a10-ryzen-3-3200g-8gb-256gb-win11,pc,ROSA,"{'Công nghệ CPU': 'Ryzen 3', 'Loại CPU': '3200G', 'Tốc độ CPU': '3.60 GHz', 'Tốc độ tối đa': '4.00 GHz', 'Số nhân - số luồng': '4 nhân - 4 luồng', 'Bộ nhớ đệm': '6 MB', 'Socket': 'AM4', 'Chipset': 'AMD A520', 'RAM': '8 GB', 'Loại RAM': 'DDR4', 'Số khe RAM': '1 khe', 'Tốc độ Bus RAM': '3200 MHz', 'Ổ cứng': '256 GB', 'Chuẩn kết nối ổ cứng': 'SSD SATA III', 'Model': 'PRIME A520M-K', 'Form Factor': 'Micro-ATX', 'CPU hỗ trợ': 'AMD Ryzen 5000 series', 'Loại RAM hỗ trợ': 'DDR4 Non-ECC', 'Tổng số khe RAM': '2 x DIMM', 'Tốc độ Bus RAM hỗ trợ': '3200 MHz', 'Hỗ trợ dung lượng RAM tối đa': '64 GB', 'Hỗ trợ thêm khe cắm SSD M.2/HDD': '4 x SATA 6Gb/s ports', 'Số khe cắm mở rộng': '2 x PCIe 3.0 x1 slot', 'Cổng I/O mặt sau': '1 x HDMI', 'Card đồ hoạ onboard': 'Có', 'Card đồ họa': 'Readon VGA 8 Graphic', 'Công nghệ âm thanh': 'Realtek ALC887/897 7.1 Surround Sound CODEC', 'Loại Case': 'Mid Tower', 'Hỗ trợ mainboard': 'Mini-ITX', 'Cổng giao tiếp mặt trước': '1 x Khe thẻ nhớ SD', 'Chất liệu': 'Kim loại', 'Hỗ trợ ổ cứng tối đa': '2 x SSD 2.5 inch', 'Số lượng quạt kèm theo': '2 quạt', 'Hỗ trợ tản nhiệt nước': 'Kích thước tối đa 240 mm', 'Kích thước, khối lượng': 'Dài 350 mm - Rộng 310 mm - Dày 183 mm - Nặng 2.17 kg', 'Bộ nguồn điện': '400 W', 'Hệ điều hành': 'Windows 11 Pro', 'Thời gian ra mắt': '2024'}","[{'color': 'default', 'price': 5990000.0}]"
SingPC i713H695SF-W i7 13620H/16GB/512GB/Bàn phím/Chuột/Win11Pro,https://www.thegioididong.com/may-tinh-de-ban/singpc-i713h695sf-w-i7-13620h,pc,SingPC,"{'Công nghệ CPU': 'i7', 'Loại CPU': '13620H', 'Tốc độ CPU': '2.40 GHz', 'Tốc độ tối đa': '4.90 GHz', 'Chipset': 'Hãng không công bố', 'RAM': '16 GB', 'Loại RAM': 'DDR4', 'Số khe RAM': '2 khe', 'Tốc độ Bus RAM': '3200 MHz', 'Hỗ trợ RAM tối đa': '64 GB', 'Ổ cứng': '512 GB SSD M.2 NVMe', 'Khe cắm mở rộng': 'SSD 2.5 inch SATA 3 hoặc HDD 2.5 inch SATA 3', 'Thiết kế card': 'Card đồ hoạ tích hợp', 'Card màn hình': 'Intel UHD', 'Công nghệ âm thanh': 'Realtek ALC897', 'Cổng kết nối - Mặt sau': '1 x LAN (RJ45)', 'Cổng kết nối - Mặt trước': '1 x Headphone', 'Giao tiếp mạng': 'Wi-Fi 6 (2x2) 802.11 b/g/n/ac/ax', 'Kích thước, khối lượng': 'Dài 373 mm - Rộng 302 mm - Dày 160 mm - Nặng 7 kg', 'Bộ nguồn điện': '550 W', 'Hệ điều hành': 'Windows 11 Pro'}","[{'color': 'default', 'price': 12390000.0}]"
ROSA Crystal I10 i3 13100/8GB/256GB/Win11 Pro,https://www.thegioididong.com/may-tinh-de-ban/rosa-crystal-i10-i3-13100-8gb-256gb-win11?utm_flashsale=1,pc,ROSA,"{'Công nghệ CPU': 'i3', 'Loại CPU': '13100', 'Tốc độ CPU': '3.40 GHz', 'Tốc độ tối đa': '4.50 GHz', 'Số nhân - số luồng': '4 nhân - 8 luồng', 'Bộ nhớ đệm': '5 MB', 'Socket': 'Intel LGA 1700', 'Chipset': 'Intel H610', 'RAM': '8 GB', 'Loại RAM': 'DDR4', 'Tốc độ Bus RAM': '3200 MHz', 'Ổ cứng': '256 GB', 'Chuẩn kết nối ổ cứng': 'SSD SATA III', 'Model': 'PRIME H610M-K', 'Form Factor': 'Micro-ATX', 'CPU hỗ trợ': 'Intel Core thế hệ 13', 'Loại RAM hỗ trợ': 'DDR4 Non-ECC', 'Tổng số khe RAM': '2 x DIMM', 'Tốc độ Bus RAM hỗ trợ': '3200 MHz', 'Hỗ trợ dung lượng RAM tối đa': '64 GB', 'Hỗ trợ thêm khe cắm SSD M.2/HDD': '4 x SATA 6Gb/s ports', 'Số khe cắm mở rộng': '1 x PCIe 4.0 x16 slot', 'Cổng I/O mặt sau': '2 x USB 3.2', 'Card đồ hoạ onboard': 'Có', 'Card đồ họa': 'Intel UHD Graphics 730', 'Công nghệ âm thanh': 'Realtek 7.1 Surround Sound High Definition Audio CODEC', 'Loại Case': 'Mid Tower', 'Hỗ trợ mainboard': 'Mini-ITX', 'Cổng giao tiếp mặt trước': '1 x Khe thẻ nhớ SD', 'Chất liệu': 'Kim loại', 'Hỗ trợ ổ cứng tối đa': '2 x SSD 2.5 inch', 'Số lượng quạt kèm theo': '2 quạt', 'Hỗ trợ tản nhiệt nước': 'Kích thước tối đa 240 mm', 'Kích thước, khối lượng': 'Dài 350 mm - Rộng 310 mm - Dày 183 mm - Nặng 2.17 kg', 'Bộ nguồn điện': '400 W', 'Hệ điều hành': 'Windows 11 Pro', 'Thời gian ra mắt': '2024'}","[{'color': 'default', 'price': 8490000.0}]"
ASUS S500SE i3 13100/8GB/256GB/Bàn phím/Chuột/Win11 (S500SE-313100069W),https://www.thegioididong.com/may-tinh-de-ban/asus-s500se-i3-13100-8gb-256gb-s500se-313100069w,pc,Asus,"{'Công nghệ CPU': 'i3', 'Loại CPU': '13100', 'Tốc độ CPU': '3.40 GHz', 'Tốc độ tối đa': '4.50 GHz', 'Chipset': 'Intel B760', 'RAM': '8 GB', 'Loại RAM': 'DDR4 U-DIMM', 'Số khe RAM': '2 khe', 'Tốc độ Bus RAM': '3200 MHz', 'Hỗ trợ RAM tối đa': '64 GB', 'Ổ cứng': '256 GB SSD M.2 2280 NVMe PCIe 4.0', 'Khe cắm mở rộng': '2 x M.2', 'Cổng kết nối - Mặt sau': '1 x LAN (RJ45)', 'Cổng kết nối - Mặt trước': '1 x Headphone', 'Giao tiếp mạng': 'Wi-Fi 6(802.11ax) (Dual band) 2*2', 'Tính năng khác': 'Đi kèm chuột & bàn phím', 'Kích thước, khối lượng': 'Dài 946 mm - Rộng 339.6 mm - Dày 292.7 mm - Nặng 5 kg', 'Bộ nguồn điện': '180 W', 'Hệ điều hành': 'Windows 11 Home SL', 'Thời gian ra mắt': '2024'}","[{'color': 'default', 'price': 9390000.0}]"
"ASUS AIO V440VAK i3 1315U/8GB/512GB/23.8""Full HD/Bàn phím/Chuột/Win11 (WPC066W)",https://www.thegioididong.com/may-tinh-de-ban/aio-asus-v440vak-i3-1315u-8gb-512gb?utm_flashsale=1,pc,Asus,"{'Công nghệ CPU': 'i3', 'Loại CPU': '1315U', 'Tốc độ CPU': '1.20 GHz', 'Tốc độ tối đa': '4.50 GHz', 'Chipset': 'Hãng không công bố', 'RAM': '8 GB (1 thanh)', 'Loại RAM': 'DDR5 SO-DIMM', 'Số khe RAM': '2 khe', 'Tốc độ Bus RAM': '4800 MHz', 'Hỗ trợ RAM tối đa': '64 GB', 'Ổ cứng': '512 GB SSD M.2 NVMe PCIe 4.0', 'Kích thước màn hình': '23.8""', 'Công nghệ màn hình': '100 Hz', 'Độ phân giải': 'Full HD', 'Thiết kế card': 'Card đồ hoạ tích hợp', 'Card màn hình': 'Intel Graphics', 'Công nghệ âm thanh': 'Công nghệ khử tiếng ồn AI', 'Cổng giao tiếp': '1 x LAN (RJ45)', 'Giao tiếp mạng': 'Wi-Fi 6E(802.11ax) (Dual band) 2*2', 'Webcam': '1080p FHD, IR Camera', 'Tính năng khác': 'Đi kèm chuột & bàn phím không dây', 'Kích thước, khối lượng': 'Dài 541 mm - Rộng 416 mm - Dày 210 mm - Nặng 6.9 kg', 'Bộ nguồn điện': '120 W', 'Hệ điều hành': 'Windows 11 Home SL', 'Thời gian ra mắt': '2025'}","[{'color': 'default', 'price': 15690000.0}]"
SingPC i512H682SF-W i5 12450H/8GB/256GB/Bàn phím/Chuột/Win11Pro,https://www.thegioididong.com/may-tinh-de-ban/singpc-i512h682sf-w-i5-12450h,pc,SingPC,"{'Công nghệ CPU': 'i5', 'Loại CPU': '12450H', 'Tốc độ CPU': '2.00 GHz', 'Tốc độ tối đa': '4.40 GHz', 'Chipset': 'Hãng không công bố', 'RAM': '8 GB', 'Loại RAM': 'DDR4', 'Số khe RAM': '2 khe', 'Tốc độ Bus RAM': '3200 MHz', 'Hỗ trợ RAM tối đa': '64 GB', 'Ổ cứng': 'SSD 256 GB M.2 NVMe', 'Khe cắm mở rộng': 'SSD 2.5 inch SATA 3 hoặc HDD 2.5 inch SATA 3', 'Thiết kế card': 'Card đồ hoạ tích hợp', 'Card màn hình': 'Intel UHD', 'Công nghệ âm thanh': 'Realtek ALC897', 'Cổng kết nối - Mặt sau': '1 x LAN (RJ45)', 'Cổng kết nối - Mặt trước': '1 x Headphone', 'Giao tiếp mạng': 'Wi-Fi 6 (2x2) 802.11 b/g/n/ac/ax', 'Tính năng khác': 'Đi kèm chuột & bàn phím không dây', 'Kích thước, khối lượng': 'Dài 373 mm - Rộng 302 mm - Dày 160 mm - Nặng 7 kg', 'Bộ nguồn điện': '550 W', 'Hệ điều hành': 'Windows 11 Pro'}","[{'color': 'default', 'price': 9090000.0}]"
"ASUS AIO V440VAK i5 13420H/16GB/512GB/23.8""FullHD/Bàn phím/Chuột/Win11 (WPC065W)",https://www.thegioididong.com/may-tinh-de-ban/asus-aio-v440vak-i5-13420h-16gb-512g,pc,Asus,"{'Công nghệ CPU': 'i5', 'Loại CPU': '13420H', 'Tốc độ CPU': '2.10 GHz', 'Tốc độ tối đa': '4.60 GHz', 'Chipset': 'Hãng không công bố', 'RAM': '16 GB (1 thanh)', 'Loại RAM': 'DDR5 SO-DIMM', 'Số khe RAM': '2 khe', 'Tốc độ Bus RAM': '4800 MHz', 'Hỗ trợ RAM tối đa': '64 GB', 'Ổ cứng': '512 GB SSD M.2 NVMe PCIe 4.0', 'Kích thước màn hình': '23.8""', 'Công nghệ màn hình': '100 Hz', 'Độ phân giải': 'Full HD', 'Thiết kế card': 'Card đồ hoạ tích hợp', 'Card màn hình': 'Intel UHD', 'Công nghệ âm thanh': 'Công nghệ khử tiếng ồn AI', 'Cổng giao tiếp': '1 x LAN (RJ45)', 'Giao tiếp mạng': 'Wi-Fi 6E(802.11ax) (Dual band) 2*2', 'Webcam': '1080p FHD, IR Camera', 'Tính năng khác': 'Đi kèm chuột & bàn phím không dây', 'Kích thước, khối lượng': 'Dài 541 mm - Rộng 416 mm - Dày 210 mm - Nặng 6.9 kg', 'Bộ nguồn điện': '120 W', 'Hệ điều hành': 'Windows 11 Home SL', 'Thời gian ra mắt': '2025'}","[{'color': 'default', 'price': 20490000.0}]"
"ASUS AIO V440VAT i5 13420H/16GB/512GB/23.8""Full HD/Bàn phím/Chuột/Win11 (WPD010W)",https://www.thegioididong.com/may-tinh-de-ban/asus-aio-v440vat-i5-13420h-16gb-512gb?utm_flashsale=1,pc,Asus,"{'Công nghệ CPU': 'i5', 'Loại CPU': '13420H', 'Tốc độ CPU': '2.10 GHz', 'Tốc độ tối đa': '4.60 GHz', 'Chipset': 'Hãng không công bố', 'RAM': '16 GB (1 thanh)', 'Loại RAM': 'DDR5 SO-DIMM', 'Số khe RAM': '2 khe', 'Tốc độ Bus RAM': '4800 MHz', 'Hỗ trợ RAM tối đa': '64 GB', 'Ổ cứng': '512 GB SSD M.2 NVMe PCIe 4.0', 'Kích thước màn hình': '23.8""', 'Công nghệ màn hình': '250 cd/m2', 'Độ phân giải': 'Full HD', 'Màn hình cảm ứng': 'Cảm ứng', 'Thiết kế card': 'Card đồ hoạ tích hợp', 'Card màn hình': 'Intel UHD', 'Công nghệ âm thanh': 'Công nghệ khử tiếng ồn AI', 'Cổng giao tiếp': '1 x LAN (RJ45)', 'Giao tiếp mạng': 'Wi-Fi 6E(802.11ax) (Dual band) 2*2', 'Webcam': '1080p FHD, IR Camera', 'Tính năng khác': 'Đi kèm chuột & bàn phím không dây', 'Kích thước, khối lượng': 'Dài 541 mm - Rộng 416 mm - Dày 210 mm - Nặng 6.9 kg', 'Bộ nguồn điện': '120 W', 'Hệ điều hành': 'Windows 11 Home SL', 'Thời gian ra mắt': '2025'}","[{'color': 'default', 'price': 21490000.0}]"
ROSA Rezo I20 i5 13400F/16GB/500GB/RTX3050 6GB/Win11 Pro,https://www.thegioididong.com/may-tinh-de-ban/rosa-rezo-i20-i5-13400f-16gb-500gb-rtx3050-6gb-win11,pc,ROSA,"{'Công nghệ CPU': 'i5', 'Loại CPU': '13400F', 'Tốc độ CPU': '2.50 GHz', 'Tốc độ tối đa': '4.60 GHz', 'Số nhân - số luồng': '10 nhân - 16 luồng', 'Bộ nhớ đệm': '20 MB', 'Socket': 'Intel LGA 1700', 'Chipset': 'Intel B760', 'RAM': '16 GB', 'Loại RAM': 'DDR4', 'Số khe RAM': '1 khe', 'Tốc độ Bus RAM': '3200 MHz', 'Ổ cứng': '500 GB', 'Chuẩn kết nối ổ cứng': 'SSD NVMe M.2', 'Model': 'DUAL-RTX3050-6G', 'Form Factor': 'Micro-ATX', 'CPU hỗ trợ': 'Intel Core thế hệ 13', 'Loại RAM hỗ trợ': 'DDR4 Non-ECC', 'Tổng số khe RAM': '2 x DIMM', 'Tốc độ Bus RAM hỗ trợ': '3200 MHz', 'Hỗ trợ dung lượng RAM tối đa': '64 GB', 'Hỗ trợ thêm khe cắm SSD M.2/HDD': '4 x SATA 6Gb/s ports', 'Số khe cắm mở rộng': '1 x PCIe 4.0 x16 slot', 'Cổng I/O mặt sau': '1 x HDMI', 'Công nghệ âm thanh': 'Realtek 7.1 Surround Sound High Definition Audio CODEC', 'Chip đồ hoạ': 'NVIDIA GeForce RTX 3050', 'Bộ nhớ': '6 GB DDR6', 'Bus bộ nhớ': '96 Bit', 'Chuẩn giao tiếp': 'PCI Express 4.0', 'Hỗ trợ OC': 'Có', 'Cổng xuất hình ảnh': '1 x DVI-D', 'Số lượng quạt': '2 quạt', 'Loại Case': 'MORAX 3FA BLACK', 'Hỗ trợ mainboard': 'Micro-ATX', 'Cổng giao tiếp mặt trước': '1 x Jack Micro', 'Chất liệu': 'Khung kim loại', 'Hỗ trợ ổ cứng tối đa': '2 x SSD 2.5 inch', 'Số lượng quạt kèm theo': '3 quạt', 'Đèn LED': 'Có', 'Hỗ trợ tản nhiệt nước': 'Kích thước tối đa 175 mm', 'Tản nhiệt CPU': 'Tản Nhiệt Khí CPU', 'Tốc độ (RPM)': '650-1800 RPM ± 5%', 'Loại LED': 'LED RGB', 'Kích thước, khối lượng': 'Dài 405 mm - Rộng 375 mm - Dày 216 mm - Nặng 4.5 kg', 'Bộ nguồn điện': '650W', 'Số cổng cắm': '2 x 4+4 PIN', 'Hệ điều hành': 'Windows 11 Pro', 'Thời gian ra mắt': '2024'}","[{'color': 'default', 'price': 16990000.0}]"
