name,url,category,brand,specifications,prices
realme C71 4GB/128GB,https://www.thegioididong.com/dtdd/realme-c71,điện thoại,realme,"{'Hệ điều hành': 'Android 15', 'Chip xử lý (CPU)': 'Unisoc T7250 8 nhân', 'Tốc độ CPU': '1.8 GHz', 'Chip đồ họa (GPU)': 'Mali-G57 MP1', 'RAM': '4 GB', 'Dung lượng lưu trữ': '128 GB', 'Dung lượng còn lại (khả dụng) khoảng': '105 GB', 'Thẻ nhớ': 'MicroSD, hỗ trợ tối đa 256 GB', 'Danh bạ': 'Không giới hạn', 'Độ phân giải camera sau': 'Chính 50 MP & Cảm biến Flicker', 'Quay phim camera sau': 'HD 720p@30fps', 'Đèn Flash camera sau': 'Có', 'Tính năng camera sau': 'Xóa phông', 'Độ phân giải camera trước': '5 MP', 'Tính năng camera trước': 'Xóa phông', 'Công nghệ màn hình': 'TFT LCD', 'Độ phân giải màn hình': 'HD+ (720 x 1604 Pixels)', 'Màn hình rộng': '6.67"" - Tần số quét 120 Hz', 'Độ sáng tối đa': '725 nits', 'Mặt kính cảm ứng': 'Kính cường lực Panda', 'Dung lượng pin': '6300 mAh', 'Loại pin': 'Li-Ion', 'Hỗ trợ sạc tối đa': '45 W', 'Sạc kèm theo máy': '45 W', 'Công nghệ pin': 'Tiết kiệm pin', 'Bảo mật nâng cao': 'Mở khoá vân tay cạnh viền', 'Tính năng đặc biệt': 'Xoá vật thể AI', 'Kháng nước, bụi': 'IP64', 'Ghi âm': 'Ghi âm mặc định', 'Xem phim': 'MP4', 'Nghe nhạc': 'MP3', 'Mạng di động': 'Hỗ trợ 4G', 'SIM': '2 Nano SIM', 'Wifi': 'Wi-Fi hotspot', 'GPS': 'GPS', 'Bluetooth': 'v5.2', 'Cổng kết nối/sạc': 'Type-C', 'Jack tai nghe': '3.5 mm', 'Kết nối khác': 'OTG', 'Thiết kế': 'Nguyên khối', 'Chất liệu': 'Khung nhôm & Mặt lưng nhựa', 'Kích thước, khối lượng': 'Dài 165.8 mm - Ngang 75.9 mm - Dày 7.79 mm - Nặng 196 g', 'Thời điểm ra mắt': '06/2025', 'Hãng': 'realme. Xem thông tin hãng'}","[{'color': 'default', 'price': 3990000.0}]"
Xiaomi Redmi Note 14 Pro 5G 8GB/256GB,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-pro-5g,điện thoại,Xiaomi,"{'Hệ điều hành': 'Xiaomi HyperOS (Android 14)', 'Chip xử lý (CPU)': 'MediaTek Dimensity 7300-Ultra 8 nhân', 'Tốc độ CPU': '4 nhân 2.5 GHz & 4 nhân 2 GHz', 'Chip đồ họa (GPU)': 'Mali-G615 MC2', 'RAM': '8 GB', 'Dung lượng lưu trữ': '256 GB', 'Dung lượng còn lại (khả dụng) khoảng': '228 GB', 'Danh bạ': 'Không giới hạn', 'Độ phân giải camera sau': 'Chính 200 MP & Phụ 8 MP, 2 MP', 'Quay phim camera sau': 'HD 720p@30fps', 'Đèn Flash camera sau': 'Có', 'Tính năng camera sau': 'Zoom kỹ thuật số', 'Độ phân giải camera trước': '20 MP', 'Tính năng camera trước': 'Xóa phông', 'Công nghệ màn hình': 'AMOLED', 'Độ phân giải màn hình': '1.5K (1220 x 2712 Pixels)', 'Màn hình rộng': '6.67"" - Tần số quét 120 Hz', 'Độ sáng tối đa': '3000 nits', 'Mặt kính cảm ứng': 'Kính cường lực Corning Gorilla Glass Victus 2', 'Dung lượng pin': '5110 mAh', 'Loại pin': 'Li-Po', 'Hỗ trợ sạc tối đa': '45 W', 'Sạc kèm theo máy': '45 W', 'Công nghệ pin': 'Tiết kiệm pin', 'Bảo mật nâng cao': 'Mở khoá vân tay dưới màn hình', 'Tính năng đặc biệt': 'Âm thanh Dolby Atmos', 'Kháng nước, bụi': 'IP68', 'Ghi âm': 'Ghi âm mặc định', 'Xem phim': 'Có', 'Nghe nhạc': 'Có', 'Mạng di động': 'Hỗ trợ 5G', 'SIM': '2 Nano SIM', 'Wifi': 'Wi-Fi 6E', 'GPS': 'QZSS', 'Bluetooth': 'v5.4', 'Cổng kết nối/sạc': 'Type-C', 'Jack tai nghe': 'Type-C', 'Kết nối khác': 'NFC', 'Thiết kế': 'Nguyên khối', 'Chất liệu': 'Khung kim loại & Mặt lưng nhựa (Đen, Xanh) | Da nhân tạo (Tím)', 'Kích thước, khối lượng': 'Dài 162.33 mm - Ngang 74.42 mm - Dày 8.4 mm (Đen, Xanh) | 8.55 mm (Tím) - Nặng 190 g', 'Thời điểm ra mắt': '01/2025', 'Hãng': 'Xiaomi. Xem thông tin hãng'}","[{'color': 'default', 'price': 9490000.0}]"
iPhone 16 Pro Max 256GB,https://www.thegioididong.com/dtdd/iphone-16-pro-max,điện thoại,iPhone (Apple),"{'Hệ điều hành': 'iOS 18', 'Chip xử lý (CPU)': 'Apple A18 Pro 6 nhân', 'Tốc độ CPU': 'Hãng không công bố', 'Chip đồ họa (GPU)': 'Apple GPU 6 nhân', 'RAM': '8 GB', 'Dung lượng lưu trữ': '256 GB', 'Dung lượng còn lại (khả dụng) khoảng': '241 GB', 'Danh bạ': 'Không giới hạn', 'Độ phân giải camera sau': 'Chính 48 MP & Phụ 48 MP, 12 MP', 'Quay phim camera sau': 'HD 720p@30fps', 'Đèn Flash camera sau': 'Có', 'Tính năng camera sau': 'Ảnh Raw', 'Độ phân giải camera trước': '12 MP', 'Tính năng camera trước': 'Smart HDR 5', 'Công nghệ màn hình': 'OLED', 'Độ phân giải màn hình': 'Super Retina XDR (1320 x 2868 Pixels)', 'Màn hình rộng': '6.9"" - Tần số quét 120 Hz', 'Độ sáng tối đa': '2000 nits', 'Mặt kính cảm ứng': 'Kính cường lực Ceramic Shield', 'Dung lượng pin': '33 giờ', 'Loại pin': 'Li-Ion', 'Hỗ trợ sạc tối đa': '20 W', 'Công nghệ pin': 'Tiết kiệm pin', 'Bảo mật nâng cao': 'Mở khoá khuôn mặt Face ID', 'Tính năng đặc biệt': 'Âm thanh Dolby Atmos', 'Kháng nước, bụi': 'IP68', 'Ghi âm': 'Ghi âm mặc định', 'Xem phim': 'MP4', 'Nghe nhạc': 'MP3', 'Mạng di động': 'Hỗ trợ 5G', 'SIM': '1 Nano SIM & 1 eSIM', 'Wifi': 'Wi-Fi MIMO', 'GPS': 'QZSS', 'Bluetooth': 'v5.3', 'Cổng kết nối/sạc': 'Type-C', 'Jack tai nghe': 'Type-C', 'Kết nối khác': 'NFC', 'Thiết kế': 'Nguyên khối', 'Chất liệu': 'Khung Titan & Mặt lưng kính cường lực', 'Kích thước, khối lượng': 'Dài 163 mm - Ngang 77.6 mm - Dày 8.25 mm - Nặng 227 g', 'Thời điểm ra mắt': '09/2024', 'Hãng': 'iPhone (Apple). Xem thông tin hãng'}","[{'color': 'Titan Sa Mạc', 'price': 30590000.0}, {'color': 'Titan trắng', 'price': 30790000.0}, {'color': 'Titan đen', 'price': 30590000.0}, {'color': 'Titan tự nhiên', 'price': 30590000.0}]"
iPhone 16 Pro 128GB,https://www.thegioididong.com/dtdd/iphone-16-pro,điện thoại,iPhone (Apple),"{'Hệ điều hành': 'iOS 18', 'Chip xử lý (CPU)': 'Apple A18 Pro 6 nhân', 'Tốc độ CPU': 'Hãng không công bố', 'Chip đồ họa (GPU)': 'Apple GPU 6 nhân', 'RAM': '8 GB', 'Dung lượng lưu trữ': '128 GB', 'Dung lượng còn lại (khả dụng) khoảng': '113 GB', 'Danh bạ': 'Không giới hạn', 'Độ phân giải camera sau': 'Chính 48 MP & Phụ 48 MP, 12 MP', 'Quay phim camera sau': 'HD 720p@30fps', 'Đèn Flash camera sau': 'Có', 'Tính năng camera sau': 'Ảnh Raw', 'Độ phân giải camera trước': '12 MP', 'Tính năng camera trước': 'Smart HDR 5', 'Công nghệ màn hình': 'OLED', 'Độ phân giải màn hình': 'Super Retina XDR (1206 x 2622 Pixels)', 'Màn hình rộng': '6.3"" - Tần số quét 120 Hz', 'Độ sáng tối đa': '2000 nits', 'Mặt kính cảm ứng': 'Kính cường lực Ceramic Shield', 'Dung lượng pin': '27 giờ', 'Loại pin': 'Li-Ion', 'Hỗ trợ sạc tối đa': '20 W', 'Công nghệ pin': 'Tiết kiệm pin', 'Bảo mật nâng cao': 'Mở khoá khuôn mặt Face ID', 'Tính năng đặc biệt': 'Âm thanh Dolby Atmos', 'Kháng nước, bụi': 'IP68', 'Ghi âm': 'Ghi âm mặc định', 'Xem phim': 'MP4', 'Nghe nhạc': 'MP3', 'Mạng di động': 'Hỗ trợ 5G', 'SIM': '1 Nano SIM & 1 eSIM', 'Wifi': 'Wi-Fi MIMO', 'GPS': 'QZSS', 'Bluetooth': 'v5.3', 'Cổng kết nối/sạc': 'Type-C', 'Jack tai nghe': 'Type-C', 'Kết nối khác': 'NFC', 'Thiết kế': 'Nguyên khối', 'Chất liệu': 'Khung Titan & Mặt lưng kính cường lực', 'Kích thước, khối lượng': 'Dài 149.6 mm - Ngang 71.5 mm - Dày 8.25 mm - Nặng 199 g', 'Thời điểm ra mắt': '09/2024', 'Hãng': 'iPhone (Apple). Xem thông tin hãng'}","[{'color': 'Titan trắng', 'price': 25090000.0}, {'color': 'Titan tự nhiên', 'price': 25490000.0}, {'color': 'Titan đen', 'price': 25090000.0}, {'color': 'Titan Sa Mạc', 'price': 25290000.0}]"
Samsung Galaxy S25 Edge 5G 12GB/512GB,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-edge-5g-512gb,điện thoại,Samsung,"{'Hệ điều hành': 'Android 15', 'Chip xử lý (CPU)': 'Qualcomm Snapdragon 8 Elite For Galaxy 8 nhân', 'Tốc độ CPU': '4.47 GHz', 'Chip đồ họa (GPU)': 'Adreno 830', 'RAM': '12 GB', 'Dung lượng lưu trữ': '512 GB', 'Dung lượng còn lại (khả dụng) khoảng': '478 GB', 'Danh bạ': 'Không giới hạn', 'Độ phân giải camera sau': 'Chính 200 MP & Phụ 12 MP', 'Quay phim camera sau': 'FullHD 1080p@240fps', 'Đèn Flash camera sau': 'Có', 'Tính năng camera sau': 'Zoom quang học', 'Độ phân giải camera trước': '12 MP', 'Công nghệ màn hình': 'Dynamic AMOLED 2X', 'Độ phân giải màn hình': '2K+ (1440 x 3120 Pixels)', 'Màn hình rộng': '6.7"" - Tần số quét 120 Hz', 'Độ sáng tối đa': '2600 nits', 'Mặt kính cảm ứng': 'Kính cường lực Corning Gorilla Glass Ceramic 2', 'Dung lượng pin': '3900 mAh', 'Loại pin': 'Li-Ion', 'Hỗ trợ sạc tối đa': '25 W', 'Công nghệ pin': 'Tiết kiệm pin', 'Bảo mật nâng cao': 'Mở khoá vân tay dưới màn hình', 'Tính năng đặc biệt': 'Trợ lý ảo Google Gemini', 'Kháng nước, bụi': 'IP68', 'Ghi âm': 'Ghi âm mặc định', 'Xem phim': 'WEBM', 'Nghe nhạc': 'XMF', 'Mạng di động': 'Hỗ trợ 5G', 'SIM': '2 Nano SIM hoặc 2 eSIM hoặc 1 Nano SIM + 1 eSIM', 'Wifi': 'Wi-Fi MIMO', 'GPS': 'QZSS', 'Bluetooth': 'v5.4', 'Cổng kết nối/sạc': 'Type-C', 'Jack tai nghe': 'Type-C', 'Kết nối khác': 'NFC', 'Thiết kế': 'Nguyên khối', 'Chất liệu': 'Khung Titan & Mặt lưng kính cường lực', 'Kích thước, khối lượng': 'Dài 158.2 mm - Ngang 75.6 mm - Dày 5.8 mm - Nặng 163 g', 'Thời điểm ra mắt': '05/2025', 'Hãng': 'Samsung. Xem thông tin hãng'}","[{'color': 'Bạc', 'price': 29990000.0}, {'color': 'Đen', 'price': 29990000.0}, {'color': 'Xanh Dương', 'price': 29990000.0}]"
Samsung Galaxy A56 5G 12GB/256GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a56,điện thoại,Samsung,"{'Hệ điều hành': 'Android 15', 'Chip xử lý (CPU)': 'Exynos 1580 8 nhân', 'Tốc độ CPU': '2.9 GHz', 'Chip đồ họa (GPU)': 'AMD Ariel 2WGP-1RB 1.3 GHz', 'RAM': '12 GB', 'Dung lượng lưu trữ': '256 GB', 'Dung lượng còn lại (khả dụng) khoảng': '234 GB', 'Danh bạ': 'Không giới hạn', 'Độ phân giải camera sau': 'Chính 50 MP & Phụ 12 MP, 5 MP', 'Quay phim camera sau': 'HD 720p@240fps', 'Đèn Flash camera sau': 'Có', 'Tính năng camera sau': 'Zoom kỹ thuật số', 'Độ phân giải camera trước': '12 MP', 'Tính năng camera trước': 'Xóa phông', 'Công nghệ màn hình': 'Super AMOLED', 'Độ phân giải màn hình': 'Full HD+ (1080 x 2340 Pixels)', 'Màn hình rộng': '6.7"" - Tần số quét 120 Hz', 'Độ sáng tối đa': '1200 nits', 'Mặt kính cảm ứng': 'Kính cường lực Corning Gorilla Glass Victus+', 'Dung lượng pin': '5000 mAh', 'Loại pin': 'Li-Ion', 'Hỗ trợ sạc tối đa': '45 W', 'Công nghệ pin': 'Tiết kiệm pin', 'Bảo mật nâng cao': 'Mở khoá vân tay dưới màn hình', 'Tính năng đặc biệt': 'Khoanh vùng search đa năng', 'Kháng nước, bụi': 'IP67', 'Ghi âm': 'Ghi âm mặc định', 'Xem phim': 'WEBM', 'Nghe nhạc': 'XMF', 'Mạng di động': 'Hỗ trợ 5G', 'SIM': '2 Nano SIM hoặc 2 eSIM hoặc 1 Nano SIM + 1 eSIM', 'Wifi': 'Wi-Fi MIMO', 'GPS': 'QZSS', 'Bluetooth': 'v5.3', 'Cổng kết nối/sạc': 'Type-C', 'Jack tai nghe': 'Type-C', 'Kết nối khác': 'NFC', 'Thiết kế': 'Nguyên khối', 'Chất liệu': 'Khung kim loại & Mặt lưng kính', 'Kích thước, khối lượng': 'Dài 162.2 mm - Ngang 77.5 mm - Dày 7.4 mm - Nặng 198 g', 'Thời điểm ra mắt': '03/2025', 'Hãng': 'Samsung. Xem thông tin hãng'}","[{'color': 'Xám', 'price': 11690000.0}, {'color': 'Xanh lá', 'price': 11690000.0}, {'color': 'Đen', 'price': 11690000.0}]"
vivo V50 Lite 8GB/256GB,https://www.thegioididong.com/dtdd/vivo-v50-lite,điện thoại,vivo,"{'Hệ điều hành': 'Android 15', 'Chip xử lý (CPU)': 'Snapdragon 685 8 nhân', 'Tốc độ CPU': '4 nhân 2.8 GHz & 4 nhân 1.9 GHz', 'Chip đồ họa (GPU)': 'Adreno 610', 'RAM': '8 GB', 'Dung lượng lưu trữ': '256 GB', 'Dung lượng còn lại (khả dụng) khoảng': '241 GB', 'Danh bạ': 'Không giới hạn', 'Độ phân giải camera sau': 'Chính 50 MP & Phụ 2 MP', 'Đèn Flash camera sau': 'Có', 'Tính năng camera sau': 'Zoom kỹ thuật số', 'Độ phân giải camera trước': '32 MP', 'Tính năng camera trước': 'Xóa phông', 'Công nghệ màn hình': 'AMOLED', 'Độ phân giải màn hình': 'Full HD+ (1080 x 2392 Pixels)', 'Màn hình rộng': '6.77 "" - Tần số quét 120 Hz', 'Độ sáng tối đa': '1800 nits', 'Mặt kính cảm ứng': 'Kính cường lực Shield', 'Dung lượng pin': '6500 mAh', 'Loại pin': 'Li-Ion', 'Hỗ trợ sạc tối đa': '90 W', 'Sạc kèm theo máy': '90 W', 'Công nghệ pin': 'Tiết kiệm pin', 'Bảo mật nâng cao': 'Mở khoá vân tay dưới màn hình', 'Tính năng đặc biệt': 'Ứng dụng kép (Nhân bản ứng dụng)', 'Kháng nước, bụi': 'IP65', 'Ghi âm': 'Ghi âm mặc định', 'Xem phim': 'WEBM', 'Nghe nhạc': 'WAV', 'Mạng di động': 'Hỗ trợ 4G', 'SIM': '2 Nano SIM', 'Wifi': 'Wi-Fi hotspot', 'GPS': 'GPS', 'Bluetooth': 'v5.0', 'Cổng kết nối/sạc': 'Type-C', 'Jack tai nghe': 'Type-C', 'Kết nối khác': 'OTG', 'Thiết kế': 'Nguyên khối', 'Chất liệu': 'Khung & Mặt lưng nhựa', 'Kích thước, khối lượng': 'Dài 163.77 mm - Ngang 76.28 mm - Dày 7.79 mm - Nặng 196 g', 'Thời điểm ra mắt': '05/2025', 'Hãng': 'vivo. Xem thông tin hãng'}","[{'color': 'Tím', 'price': 8990000.0}, {'color': 'Đen', 'price': 8990000.0}, {'color': 'Vàng', 'price': 8990000.0}]"
Xiaomi Redmi Note 14 Pro 8GB/256GB,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-pro,điện thoại,Xiaomi,"{'Hệ điều hành': 'Xiaomi HyperOS (Android 14)', 'Chip xử lý (CPU)': 'MediaTek Helio G100-Ultra 8 nhân', 'Tốc độ CPU': '2 nhân 2.2 GHz & 6 nhân 2.0 GHz', 'Chip đồ họa (GPU)': 'Mali-G57 MC2', 'RAM': '8 GB', 'Dung lượng lưu trữ': '256 GB', 'Dung lượng còn lại (khả dụng) khoảng': '228 GB', 'Thẻ nhớ': 'MicroSD, hỗ trợ tối đa 1 TB', 'Danh bạ': 'Không giới hạn', 'Độ phân giải camera sau': 'Chính 200 MP & Phụ 8 MP, 2 MP', 'Quay phim camera sau': 'HD 720p@30fps', 'Đèn Flash camera sau': 'Có', 'Tính năng camera sau': 'Zoom kỹ thuật số', 'Độ phân giải camera trước': '32 MP', 'Tính năng camera trước': 'Xóa phông', 'Công nghệ màn hình': 'AMOLED', 'Độ phân giải màn hình': 'Full HD+ (1080 x 2400 Pixels)', 'Màn hình rộng': '6.67"" - Tần số quét 120 Hz', 'Độ sáng tối đa': '1800 nits', 'Mặt kính cảm ứng': 'Kính cường lực Corning Gorilla Glass Victus 2', 'Dung lượng pin': '5500 mAh', 'Loại pin': 'Li-Po', 'Hỗ trợ sạc tối đa': '45 W', 'Sạc kèm theo máy': '45 W', 'Công nghệ pin': 'Tiết kiệm pin', 'Bảo mật nâng cao': 'Mở khoá vân tay dưới màn hình', 'Tính năng đặc biệt': 'Âm thanh Dolby Atmos', 'Kháng nước, bụi': 'IP64', 'Ghi âm': 'Ghi âm mặc định', 'Xem phim': 'Có', 'Nghe nhạc': 'Có', 'Mạng di động': 'Hỗ trợ 4G', 'SIM': '2 Nano SIM (SIM 2 chung khe thẻ nhớ)', 'Wifi': 'Wi-Fi hotspot', 'GPS': 'QZSS', 'Bluetooth': 'v5.3', 'Cổng kết nối/sạc': 'Type-C', 'Jack tai nghe': '3.5 mm', 'Kết nối khác': 'NFC', 'Thiết kế': 'Nguyên khối', 'Chất liệu': 'Khung & Mặt lưng nhựa', 'Kích thước, khối lượng': 'Dài 162.16 mm - Ngang 74.92 mm - Dày 8.24 mm - Nặng 180 g', 'Thời điểm ra mắt': '01/2025', 'Hãng': 'Xiaomi. Xem thông tin hãng'}","[{'color': 'default', 'price': 7990000.0}]"
OPPO Find N5 5G 16GB/512GB,https://www.thegioididong.com/dtdd/oppo-find-n5,điện thoại,OPPO,"{'Hệ điều hành': 'Android 15', 'Chip xử lý (CPU)': 'Qualcomm Snapdragon 8 Elite 8 nhân', 'Tốc độ CPU': '4.32 GHz', 'Chip đồ họa (GPU)': 'Adreno 830', 'RAM': '16 GB', 'Dung lượng lưu trữ': '512 GB', 'Dung lượng còn lại (khả dụng) khoảng': '489 GB', 'Danh bạ': 'Không giới hạn', 'Độ phân giải camera sau': 'Chính 50 MP & Phụ 50 MP, 8 MP', 'Quay phim camera sau': 'HD 720p@480fps', 'Đèn Flash camera sau': 'Có', 'Tính năng camera sau': 'Zoom quang học', 'Độ phân giải camera trước': '8 MP', 'Tính năng camera trước': 'Xóa phông', 'Công nghệ màn hình': 'LTPO AMOLED', 'Độ phân giải màn hình': 'Chính: QXGA+ (2248 x 2480 Pixels) & Phụ: FHD+ (1140x 2616 Pixels)', 'Màn hình rộng': 'Chính 8.12"" & Phụ 6.62"" - Tần số quét 120 Hz', 'Độ sáng tối đa': 'Chính 1400 nits & Phụ 1600 nits', 'Mặt kính cảm ứng': 'Chính: Ultra Thin Glass & Phụ: Kính siêu mỏng Nanocrystal', 'Dung lượng pin': '5600 mAh', 'Loại pin': 'Li-Po', 'Hỗ trợ sạc tối đa': '80 W', 'Sạc kèm theo máy': '80 W', 'Công nghệ pin': 'Tiết kiệm pin', 'Bảo mật nâng cao': 'Mở khoá vân tay cạnh viền', 'Tính năng đặc biệt': 'Đa cửa sổ (chia đôi màn hình)', 'Kháng nước, bụi': 'IPX6, IPX8, IPX9', 'Ghi âm': 'Ghi âm mặc định', 'Xem phim': 'Có', 'Nghe nhạc': 'Có', 'Mạng di động': 'Hỗ trợ 5G', 'SIM': '2 Nano SIM hoặc 1 Nano SIM + 1 eSIM', 'Wifi': 'Wi-Fi MIMO', 'GPS': 'QZSS', 'Bluetooth': 'v5.4', 'Cổng kết nối/sạc': 'Type-C', 'Jack tai nghe': 'Type-C', 'Kết nối khác': 'OTG', 'Thiết kế': 'Nguyên khối', 'Chất liệu': 'Khung nhôm & Mặt lưng sợi thuỷ tinh', 'Kích thước, khối lượng': 'Dài 160.87 mm - Ngang 146.58 mm (Khi mở) | 74.42 mm (Khi gập) - Dày 4.21 mm (Khi mở) | 8.93 mm (Khi gập) - Nặng 229g', 'Thời điểm ra mắt': '04/2025', 'Hãng': 'OPPO. Xem thông tin hãng'}","[{'color': 'Đen', 'price': 44990000.0}, {'color': 'Trắng', 'price': 44990000.0}]"
OPPO Reno13 5G 12GB/256GB,https://www.thegioididong.com/dtdd/oppo-reno13-5g?utm_flashsale=1,điện thoại,OPPO,"{'Hệ điều hành': 'Android 15', 'Chip xử lý (CPU)': 'MediaTek Dimensity 8350 5G 8 nhân', 'Tốc độ CPU': '1 nhân 3.35 GHz, 3 nhân 3.2 GHz & 4 nhân 2.2 GHz', 'Chip đồ họa (GPU)': 'Mali-G615', 'RAM': '12 GB', 'Dung lượng lưu trữ': '256 GB', 'Dung lượng còn lại (khả dụng) khoảng': '210 GB', 'Danh bạ': 'Không giới hạn', 'Độ phân giải camera sau': 'Chính 50 MP & Phụ 8 MP, 2 MP', 'Quay phim camera sau': 'HD 720p@960fps', 'Đèn Flash camera sau': 'Có', 'Tính năng camera sau': 'Xóa phông', 'Độ phân giải camera trước': '50 MP', 'Tính năng camera trước': 'Xóa phông', 'Công nghệ màn hình': 'AMOLED', 'Độ phân giải màn hình': '1.5K (1256 x 2760 Pixles)', 'Màn hình rộng': '6.59"" - Tần số quét 120 Hz', 'Độ sáng tối đa': '1200 nits', 'Mặt kính cảm ứng': 'Kính cường lực Corning Gorilla Glass 7i', 'Dung lượng pin': '5600 mAh', 'Loại pin': 'Li-Ion', 'Hỗ trợ sạc tối đa': '80 W', 'Sạc kèm theo máy': '80 W', 'Công nghệ pin': 'Tiết kiệm pin', 'Bảo mật nâng cao': 'Mở khoá vân tay dưới màn hình', 'Tính năng đặc biệt': 'Ứng dụng kép (Nhân bản ứng dụng)', 'Kháng nước, bụi': 'IP66, IP68, IP69', 'Ghi âm': 'Ghi âm mặc định', 'Xem phim': 'MP4', 'Nghe nhạc': 'OGG', 'Mạng di động': 'Hỗ trợ 5G', 'SIM': '2 Nano SIM', 'Wifi': 'Wi-Fi hotspot', 'GPS': 'QZSS', 'Bluetooth': 'v5.4', 'Cổng kết nối/sạc': 'Type-C', 'Jack tai nghe': 'Type-C', 'Kết nối khác': 'OTG', 'Thiết kế': 'Nguyên khối', 'Chất liệu': 'Khung kim loại & Mặt lưng kính', 'Kích thước, khối lượng': 'Dài 157.9 mm - Ngang 74.73 mm - Dày 7.24 mm (Trắng) | 7.29 mm (Xanh) - Nặng 181 g', 'Thời điểm ra mắt': '01/2025', 'Hãng': 'OPPO. Xem thông tin hãng'}","[{'color': 'Xanh Dương', 'price': 14690000.0}, {'color': 'Trắng', 'price': 14690000.0}]"
