name,url,category,brand,specifications,prices
iPad A16 WiFi 128GB,https://www.thegioididong.com/may-tinh-bang/ipad-11-wifi-128gb,máy tính bảng,iPad (Apple),"{'Công nghệ màn hình': 'Retina IPS LCD', 'Độ phân giải': '12 MP', 'Màn hình rộng': '11"" - Tần số quét 60 Hz', 'Hệ điều hành': 'iPadOS 18', 'Chip xử lý (CPU)': 'Apple A16 5 nhân', 'Tốc độ CPU': 'Hãng không công bố', 'Chip đồ hoạ (GPU)': 'Apple GPU 4 nhân', 'RAM': '6 GB', 'Dung lượng lưu trữ': '128 GB', 'Dung lượng còn lại (khả dụng) khoảng': '113 GB', 'Quay phim': '4K 2160p@30fps', 'Tính năng': 'Trôi nhanh thời gian (Time Lapse)', 'Thực hiện cuộc gọi': 'Nghe gọi qua FaceTime', 'Wifi': 'Wi-Fi 6', 'GPS': 'iBeacon', 'Bluetooth': 'v5.3', 'Cổng kết nối/sạc': 'Type-C', 'Jack tai nghe': 'Type-C', 'Tính năng đặc biệt': 'Âm thanh Dolby Atmos', 'Ghi âm': 'Có', 'Dung lượng pin': '28.93 Wh', 'Loại pin': 'Li-Po', 'Công nghệ pin': 'Sạc pin nhanh', 'Hỗ trợ sạc tối đa': '20 W', 'Sạc kèm theo máy': '20 W', 'Chất liệu': 'Nhôm nguyên khối', 'Kích thước, khối lượng': 'Dài 248.6 mm - Ngang 179.5 mm - Dày 7 mm - Nặng 477 g', 'Thời điểm ra mắt': '03/2025', 'Hãng': 'iPad (Apple). Xem thông tin hãng'}","[{'color': 'Xanh Dương', 'price': 8690000.0}, {'color': 'Bạc', 'price': 8690000.0}, {'color': 'Hồng', 'price': 8690000.0}, {'color': 'Vàng', 'price': 8690000.0}]"
iPad Air M3 11 inch WiFi 128GB,https://www.thegioididong.com/may-tinh-bang/ipad-air-m3-11-inch-wifi-128gb,máy tính bảng,iPad (Apple),"{'Công nghệ màn hình': 'Retina IPS LCD', 'Độ phân giải': '12 MP', 'Màn hình rộng': '11"" - Tần số quét Hãng không công bố', 'Hệ điều hành': 'iPadOS 18', 'Chip xử lý (CPU)': 'Apple M3 8 nhân', 'Tốc độ CPU': 'Hãng không công bố', 'Chip đồ hoạ (GPU)': 'Apple GPU 9 nhân', 'RAM': '8 GB', 'Dung lượng lưu trữ': '128 GB', 'Dung lượng còn lại (khả dụng) khoảng': '113 GB', 'Quay phim': '4K 2160p@30fps', 'Tính năng': 'Trôi nhanh thời gian (Time Lapse)', 'Thực hiện cuộc gọi': 'Nghe gọi qua FaceTime', 'Wifi': 'Wi-Fi 6E', 'GPS': 'iBeacon', 'Bluetooth': 'v5.3', 'Cổng kết nối/sạc': 'Type-C', 'Jack tai nghe': 'Type-C', 'Tính năng đặc biệt': 'Âm thanh Dolby Atmos', 'Ghi âm': 'Có', 'Dung lượng pin': '28.93 Wh', 'Loại pin': 'Li-Po', 'Công nghệ pin': 'Sạc pin nhanh', 'Hỗ trợ sạc tối đa': '20 W', 'Sạc kèm theo máy': '20 W', 'Chất liệu': 'Nhôm nguyên khối', 'Kích thước, khối lượng': 'Dài 247.6 mm - Ngang 178.5 mm - Dày 6.1 mm - Nặng 460 g', 'Thời điểm ra mắt': '03/2025', 'Hãng': 'iPad (Apple). Xem thông tin hãng'}","[{'color': 'Tím', 'price': 16990000.0}, {'color': 'Xanh Dương', 'price': 16990000.0}, {'color': 'Trắng Starlight', 'price': 16990000.0}, {'color': 'Đen - Xám', 'price': 16990000.0}]"
Xiaomi Pad 7 WiFi 8GB/256GB,https://www.thegioididong.com/may-tinh-bang/xiaomi-pad-7-8gb-256gb,máy tính bảng,Xiaomi,"{'Công nghệ màn hình': 'IPS LCD', 'Độ phân giải': '8 MP', 'Màn hình rộng': '11.2"" - Tần số quét 144 Hz', 'Hệ điều hành': 'Xiaomi HyperOS 2', 'Chip xử lý (CPU)': 'Snapdragon 7+ Gen 3 8 nhân', 'Tốc độ CPU': '2.8 GHz', 'Chip đồ hoạ (GPU)': 'Andreno 732', 'RAM': '8 GB', 'Dung lượng lưu trữ': '256 GB', 'Dung lượng còn lại (khả dụng) khoảng': '241 GB', 'Tính năng': 'Làm đẹp', 'Wifi': 'Wi-Fi Direct', 'Bluetooth': 'v5.4', 'Cổng kết nối/sạc': 'Type-C', 'Jack tai nghe': 'Type-C', 'Ghi âm': 'Có', 'Radio': 'Có', 'Dung lượng pin': '8850 mAh', 'Loại pin': 'Li-Po', 'Hỗ trợ sạc tối đa': '45 W', 'Sạc kèm theo máy': '45 W', 'Chất liệu': 'Nhôm nguyên khối', 'Kích thước, khối lượng': 'Dài 251.22 mm - Ngang 173.42 mm - Dày 6.18 mm - Nặng 500 g', 'Thời điểm ra mắt': '03/2025', 'Hãng': 'Xiaomi. Xem thông tin hãng'}","[{'color': 'Xanh Dương', 'price': 11490000.0}, {'color': 'Xanh lá', 'price': 11490000.0}, {'color': 'Xám', 'price': 11490000.0}]"
OPPO Pad 3 8GB/256GB,https://www.thegioididong.com/may-tinh-bang/oppo-pad-3,máy tính bảng,OPPO,"{'Công nghệ màn hình': 'LTPS LCD', 'Độ phân giải': '8 MP', 'Màn hình rộng': '11.61"" - Tần số quét 144 Hz', 'Hệ điều hành': 'Android 15', 'Chip xử lý (CPU)': 'MediaTek Dimensity 8350 8 nhân', 'Tốc độ CPU': '3.35 GHz', 'Chip đồ hoạ (GPU)': 'Mali-G615 MC6', 'RAM': '8 GB', 'Dung lượng lưu trữ': '256 GB', 'Dung lượng còn lại (khả dụng) khoảng': '230 GB', 'Quay phim': '4K 2160p@30fps', 'Tính năng': 'Trôi nhanh thời gian (Time Lapse)', 'Wifi': 'Wi-Fi 6', 'Bluetooth': 'v5.4', 'Cổng kết nối/sạc': 'Type-C', 'Jack tai nghe': 'Type-C', 'Kết nối khác': 'OTG', 'Tính năng đặc biệt': 'Mở khóa bằng khuôn mặt', 'Kháng nước, bụi': 'IPX2', 'Dung lượng pin': '9520 mAh', 'Loại pin': 'Li-Po', 'Công nghệ pin': 'SUPERVOOC', 'Hỗ trợ sạc tối đa': '67 W', 'Chất liệu': 'Kim loại nguyên khối', 'Kích thước, khối lượng': 'Dài 257.75 mm - Ngang 189.11 mm - Dày 6.29 mm - Nặng 536 g', 'Thời điểm ra mắt': '01/2025', 'Hãng': 'OPPO. Xem thông tin hãng'}","[{'color': 'Bạc', 'price': 11390000.0}]"
Samsung Galaxy Tab S10 FE 5G 8GB/128GB,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s10-fe-5g,máy tính bảng,Samsung,"{'Công nghệ màn hình': 'TFT LCD', 'Độ phân giải': '12 MP', 'Màn hình rộng': '10.9"" - Tần số quét 90 Hz', 'Hệ điều hành': 'Android 15', 'Chip xử lý (CPU)': 'Exynos 1580 8 nhân', 'Tốc độ CPU': '2.9 GHz', 'Chip đồ hoạ (GPU)': 'Xclipse 540', 'RAM': '8 GB', 'Dung lượng lưu trữ': '128 GB', 'Dung lượng còn lại (khả dụng) khoảng': '106.2 GB', 'Thẻ nhớ ngoài': 'Micro SD, hỗ trợ tối đa 2 TB', 'Quay phim': '4K 2160p@30fps', 'Tính năng': 'Xóa phông', 'Mạng di động': '5G', 'SIM': '1 Nano SIM & 1 eSIM', 'Thực hiện cuộc gọi': 'Có nghe gọi', 'Wifi': 'Wi-Fi Direct', 'GPS': 'QZSS', 'Bluetooth': 'v5.3', 'Cổng kết nối/sạc': 'Type-C', 'Jack tai nghe': 'Type-C', 'Tính năng đặc biệt': 'Xoá vật thể AI', 'Kháng nước, bụi': 'IP68', 'Ghi âm': 'Có', 'Dung lượng pin': '8000 mAh', 'Loại pin': 'Li-Ion', 'Công nghệ pin': 'Sạc pin nhanh', 'Hỗ trợ sạc tối đa': '45 W', 'Chất liệu': 'Nhôm nguyên khối', 'Kích thước, khối lượng': 'Dài 254.3 mm - Ngang 165.8 mm - Dày 6 mm - Nặng 500 g', 'Thời điểm ra mắt': '04/2025', 'Hãng': 'Samsung. Xem thông tin hãng'}","[{'color': 'Bạc', 'price': 14590000.0}, {'color': 'Xám', 'price': 14590000.0}, {'color': 'Xanh Dương', 'price': 14590000.0}]"
Samsung Galaxy Tab S10+ WiFi 12GB/256GB,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s10-plus,máy tính bảng,Samsung,"{'Công nghệ màn hình': 'Dynamic AMOLED 2X', 'Độ phân giải': '12 MP', 'Màn hình rộng': '12.4"" - Tần số quét 120 Hz', 'Hệ điều hành': 'Android 14', 'Chip xử lý (CPU)': 'MediaTek Dimensity 9300+ 8 nhân', 'Tốc độ CPU': '3.4 GHz', 'Chip đồ hoạ (GPU)': 'ARM Immortalis G720', 'RAM': '12 GB', 'Dung lượng lưu trữ': '256 GB', 'Dung lượng còn lại (khả dụng) khoảng': '218.2 GB', 'Thẻ nhớ ngoài': 'Micro SD, hỗ trợ tối đa 1.5 TB', 'Quay phim': '4K 2160p@30fps', 'Tính năng': 'Trôi nhanh thời gian (Time Lapse)', 'Wifi': 'Wi-Fi Direct', 'GPS': 'QZSS', 'Bluetooth': 'v5.3', 'Cổng kết nối/sạc': 'Type-C', 'Jack tai nghe': 'Type-C', 'Tính năng đặc biệt': 'Trợ lý phiên dịch', 'Kháng nước, bụi': 'IP68', 'Ghi âm': 'Có', 'Radio': 'Có', 'Dung lượng pin': '10090 mAh', 'Loại pin': 'Li-Ion', 'Công nghệ pin': 'Sạc pin nhanh', 'Hỗ trợ sạc tối đa': '45 W', 'Chất liệu': 'Nhôm nguyên khối', 'Kích thước, khối lượng': 'Dài 285.4 mm - Ngang 185.4 mm - Dày 5.7 mm - Nặng 571 g', 'Thời điểm ra mắt': '10/2024', 'Hãng': 'Samsung. Xem thông tin hãng'}","[{'color': 'Xám', 'price': 21290000.0}, {'color': 'Bạc', 'price': 21290000.0}]"
Xiaomi Redmi Pad SE WiFi 4GB/128GB,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-se-4gb,máy tính bảng,Xiaomi,"{'Công nghệ màn hình': 'IPS LCD', 'Độ phân giải': '5 MP', 'Màn hình rộng': '11"" - Tần số quét 90 Hz', 'Hệ điều hành': 'Android 13', 'Chip xử lý (CPU)': 'Snapdragon 680 8 nhân', 'Tốc độ CPU': '2.4 GHz', 'Chip đồ hoạ (GPU)': 'Adreno 610', 'RAM': '4 GB', 'Dung lượng lưu trữ': '128 GB', 'Dung lượng còn lại (khả dụng) khoảng': '115 GB', 'Thẻ nhớ ngoài': 'Micro SD, hỗ trợ tối đa 1 TB', 'Quay phim': 'HD 720p@30fps', 'Tính năng': 'Quay video HD', 'Wifi': 'Wi-Fi 802.11 a/b/g/n/ac', 'Bluetooth': 'v5.0', 'Cổng kết nối/sạc': 'Type-C', 'Jack tai nghe': '3.5 mm', 'Kết nối khác': 'OTG', 'Tính năng đặc biệt': 'Ứng dụng kép (Nhân bản ứng dụng)', 'Ghi âm': 'Có', 'Dung lượng pin': '8000 mAh', 'Loại pin': 'Li-Po', 'Công nghệ pin': 'Tiết kiệm pin', 'Hỗ trợ sạc tối đa': '10 W', 'Sạc kèm theo máy': '10 W', 'Chất liệu': 'Kim loại nguyên khối', 'Kích thước, khối lượng': 'Dài 255.53 mm - Ngang 167.08 mm - Dày 7.36 mm - Nặng 478 g', 'Thời điểm ra mắt': '09/2023', 'Hãng': 'Xiaomi. Xem thông tin hãng'}","[{'color': 'Xanh lá', 'price': 4490000.0}, {'color': 'Xám', 'price': 4490000.0}, {'color': 'Tím', 'price': 4490000.0}]"
Xiaomi Redmi Pad Pro WiFi 6GB/128GB,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-pro-6gb-128gb,máy tính bảng,Xiaomi,"{'Công nghệ màn hình': 'IPS LCD', 'Độ phân giải': '8 MP', 'Màn hình rộng': '12.1"" - Tần số quét 120 Hz', 'Hệ điều hành': 'Xiaomi HyperOS (Android 14)', 'Chip xử lý (CPU)': 'Snapdragon 7s Gen 2 8 nhân', 'Tốc độ CPU': '4 nhân 2.3 GHz & 4 nhân 1.95 GHz', 'Chip đồ hoạ (GPU)': 'Adreno 710', 'RAM': '6 GB', 'Dung lượng lưu trữ': '128 GB', 'Dung lượng còn lại (khả dụng) khoảng': '103 GB', 'Thẻ nhớ ngoài': 'Micro SD, hỗ trợ tối đa 1.5 TB', 'Quay phim': 'HD 720p@30fps', 'Tính năng': 'Vẫy tay chụp ảnh', 'Wifi': 'Wi-Fi Direct', 'GPS': 'Hãng không công bố', 'Bluetooth': 'v5.2', 'Cổng kết nối/sạc': 'Type-C', 'Jack tai nghe': '3.5 mm', 'Tính năng đặc biệt': 'Ứng dụng kép (Nhân bản ứng dụng)', 'Ghi âm': 'Có', 'Dung lượng pin': '10000 mAh', 'Loại pin': 'Li-Po', 'Công nghệ pin': 'Sạc pin nhanh', 'Hỗ trợ sạc tối đa': '33 W', 'Sạc kèm theo máy': '33 W', 'Chất liệu': 'Kim loại nguyên khối', 'Kích thước, khối lượng': 'Dài 280 mm - Ngang 181.85 mm - Dày 7.52 mm - Nặng 571 g', 'Thời điểm ra mắt': '06/2024', 'Hãng': 'Xiaomi. Xem thông tin hãng'}","[{'color': 'Xám', 'price': 7290000.0}, {'color': 'Xanh Dương', 'price': 7290000.0}, {'color': 'Xanh lá', 'price': 7290000.0}]"
OPPO Pad Neo WiFi 6GB/128GB,https://www.thegioididong.com/may-tinh-bang/oppo-pad-neo-6gb,máy tính bảng,OPPO,"{'Công nghệ màn hình': 'IPS LCD', 'Độ phân giải': '8 MP', 'Màn hình rộng': '11.4"" - Tần số quét 90 Hz', 'Hệ điều hành': 'Android 13', 'Chip xử lý (CPU)': 'MediaTek Helio G99', 'Tốc độ CPU': '2.2 GHz', 'Chip đồ hoạ (GPU)': 'Mali-G57 MC2', 'RAM': '6 GB', 'Dung lượng lưu trữ': '128 GB', 'Dung lượng còn lại (khả dụng) khoảng': '109 GB', 'Thẻ nhớ ngoài': 'Micro SD, hỗ trợ tối đa 1 TB', 'Quay phim': 'HD 720p@30fps', 'Tính năng': 'Trôi nhanh thời gian (Time Lapse)', 'Wifi': 'Wi-Fi Direct', 'GPS': 'GPS', 'Bluetooth': 'v5.2', 'Cổng kết nối/sạc': 'Type-C', 'Jack tai nghe': 'Type-C', 'Kết nối khác': 'OTG', 'Tính năng đặc biệt': 'Ứng dụng kép (Nhân bản ứng dụng)', 'Ghi âm': 'Có', 'Dung lượng pin': '8000 mAh', 'Loại pin': 'Li-Po', 'Công nghệ pin': 'SUPERVOOC', 'Hỗ trợ sạc tối đa': '33 W', 'Sạc kèm theo máy': '33 W', 'Chất liệu': 'Khung kim loại & Mặt lưng kính, nhôm', 'Kích thước, khối lượng': 'Dài 255.12 mm - Ngang 188.04 mm - Dày 6.89 mm - Nặng 538 g', 'Thời điểm ra mắt': '01/2024', 'Hãng': 'OPPO. Xem thông tin hãng'}","[{'color': 'Xám', 'price': 6690000.0}]"
TCL Tab 10L Gen 3 WiFi 4GB/64GB,https://www.thegioididong.com/may-tinh-bang/tcl-tab-10l-gen-3,máy tính bảng,TCL,"{'Công nghệ màn hình': 'IPS LCD', 'Độ phân giải': '5 MP', 'Màn hình rộng': '10.1"" - Tần số quét 60 Hz', 'Hệ điều hành': 'Android 14', 'Chip xử lý (CPU)': 'MediaTek Helio G36 8 nhân', 'Tốc độ CPU': '2.2 GHz', 'Chip đồ hoạ (GPU)': 'IMG GE8320', 'RAM': '4 GB', 'Dung lượng lưu trữ': '64 GB', 'Dung lượng còn lại (khả dụng) khoảng': '45 GB', 'Thẻ nhớ ngoài': 'Micro SD, hỗ trợ tối đa 1 TB', 'Quay phim': 'FullHD 1080p@30fps', 'Tính năng': 'Quay video Full HD', 'Wifi': 'Wi-Fi 802.11 a/b/g/n/ac', 'Bluetooth': 'v5.0', 'Cổng kết nối/sạc': 'Type-C', 'Jack tai nghe': '3.5 mm', 'Kết nối khác': 'OTG', 'Tính năng đặc biệt': 'Loa kép', 'Ghi âm': 'Có', 'Radio': 'Có', 'Dung lượng pin': '6000 mAh', 'Loại pin': 'Li-Po', 'Công nghệ pin': 'Tiết kiệm pin', 'Hỗ trợ sạc tối đa': '10 W', 'Sạc kèm theo máy': '10 W', 'Chất liệu': 'Kim loại nguyên khối', 'Kích thước, khối lượng': 'Dài 241.2 mm - Ngang 156.6 mm - Dày 7.99 mm - Nặng 472 g', 'Thời điểm ra mắt': '11/2024'}","[{'color': 'Đen', 'price': 2790000.0}]"
