[2025-06-09 22:10:27,748] [INFO] == BẮT ĐẦU TOÀN BỘ QUÁ TRÌNH CRAWL ==
[2025-06-09 22:10:27,748] [INFO] >>> Bắt đầu crawl từ Thế Giới Di Động
[2025-06-09 22:10:27,749] [INFO] Khởi tạo trình duyệt và bắt đầu quá trình crawl
[2025-06-09 22:10:29,076] [INFO] Đang lấy danh sách sản phẩm cho: điện thoại
[2025-06-09 22:10:48,028] [INFO] Appended 1 name: Điện thoại realme C71 6GB/128GB, url: https://www.thegioididong.com/dtdd/realme-c71-6gb
[2025-06-09 22:10:48,061] [INFO] Appended 4 name: Điện thoại Xiaomi Redmi Note 14 Pro 5G 8GB/256GB, url: https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-pro-5g
[2025-06-09 22:10:48,095] [INFO] Appended 7 name: Điện thoại iPhone 16 Pro Max 256GB, url: https://www.thegioididong.com/dtdd/iphone-16-pro-max
[2025-06-09 22:10:48,155] [INFO] Appended 11 name: Điện thoại iPhone 16 Pro 128GB, url: https://www.thegioididong.com/dtdd/iphone-16-pro
[2025-06-09 22:10:48,207] [INFO] Appended 16 name: Điện thoại Samsung Galaxy S25 Edge 5G 12GB/512GB, url: https://www.thegioididong.com/dtdd/samsung-galaxy-s25-edge-5g-512gb
[2025-06-09 22:10:48,251] [INFO] Appended 19 name: Điện thoại Samsung Galaxy A56 5G 12GB/256GB, url: https://www.thegioididong.com/dtdd/samsung-galaxy-a56
[2025-06-09 22:10:48,290] [INFO] Appended 23 name: Điện thoại vivo V50 Lite 8GB/256GB, url: https://www.thegioididong.com/dtdd/vivo-v50-lite
[2025-06-09 22:10:48,307] [INFO] Appended 24 name: Điện thoại Xiaomi Redmi Note 14 Pro 8GB/256GB, url: https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-pro
[2025-06-09 22:10:48,336] [INFO] Appended 27 name: Điện thoại OPPO Find N5 5G 16GB/512GB, url: https://www.thegioididong.com/dtdd/oppo-find-n5
[2025-06-09 22:10:48,355] [INFO] Appended 28 name: Điện thoại OPPO Reno13 5G 12GB/256GB, url: https://www.thegioididong.com/dtdd/oppo-reno13-5g
[2025-06-09 22:10:48,387] [INFO] Appended 31 name: Điện thoại vivo V50 Lite 5G 8GB/256GB, url: https://www.thegioididong.com/dtdd/vivo-v50-lite-5g
[2025-06-09 22:10:48,418] [INFO] Appended 34 name: Điện thoại realme 14T 5G 8GB/256GB, url: https://www.thegioididong.com/dtdd/realme-14t-5g-8gb
[2025-06-09 22:10:48,447] [INFO] Appended 37 name: Điện thoại HONOR X8c 8GB/256GB, url: https://www.thegioididong.com/dtdd/honor-x8c?utm_flashsale=1
[2025-06-09 22:10:48,479] [INFO] Appended 40 name: Điện thoại Tecno Spark 30 8GB/128GB, url: https://www.thegioididong.com/dtdd/tecno-spark-30
[2025-06-09 22:10:48,507] [INFO] Appended 41 name: Điện thoại Masstel S9 6GB/256GB, url: https://www.thegioididong.com/dtdd/masstel-s9
[2025-06-09 22:10:48,524] [INFO] Appended 42 name: Điện thoại iPhone 16 Plus 128GB, url: https://www.thegioididong.com/dtdd/iphone-16-plus
[2025-06-09 22:10:48,642] [INFO] Appended 46 name: Điện thoại iPhone 16 128GB, url: https://www.thegioididong.com/dtdd/iphone-16
[2025-06-09 22:10:48,676] [INFO] Appended 50 name: Điện thoại Samsung Galaxy A06 5G 6GB/128GB, url: https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g-6gb-128gb
[2025-06-09 22:10:48,712] [INFO] Appended 53 name: Điện thoại Samsung Galaxy A36 5G 12GB/256GB, url: https://www.thegioididong.com/dtdd/samsung-galaxy-a36
[2025-06-09 22:10:48,757] [INFO] Appended 57 name: Điện thoại Xiaomi Redmi Note 14 Pro+ 5G 8GB/256GB, url: https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-pro-plus
